thresh%,bucket,n,mean_gross_pct,mean_net_pct,tstat,win_pct,symbol
0.3,gap_up,1705,0.00884053543386261,-0.031159464566137392,0.3334640317408978,52.19941348973607,SPY
0.3,gap_down,1317,0.0014229041059096276,-0.03857709589409037,0.03955761345341213,51.86028853454822,SPY
0.3,flat,3718,-0.00022277731654071523,-0.04022277731654072,-0.018611736464091862,51.61377084454008,SPY
0.3,unconditioned (baseline),6740,0.0023915121007893688,-0.03760848789921063,0.20363539462968686,51.810089020771514,SPY
0.5,gap_up,940,0.050259301907996524,0.010259301907996524,1.2493878991100067,54.8936170212766,SPY
0.5,gap_down,790,0.0026281745463442073,-0.03737182545365579,0.04936807406555511,50.37974683544304,SPY
0.5,flat,5010,-0.006626988049063537,-0.04662698804906354,-0.5994333062276935,51.45708582834332,SPY
0.5,unconditioned (baseline),6740,0.0023915121007893688,-0.03760848789921063,0.20363539462968686,51.810089020771514,SPY
0.8,gap_up,426,0.09745088869915006,0.057450888699150056,1.30851676960235,56.33802816901409,SPY
0.8,gap_down,401,0.01638379381029034,-0.023616206189709662,0.1773080976242975,50.374064837905244,SPY
0.8,flat,5913,-0.005405917189995604,-0.04540591718999561,-0.5126910946388603,51.58126162692373,SPY
0.8,unconditioned (baseline),6740,0.0023915121007893688,-0.03760848789921063,0.20363539462968686,51.810089020771514,SPY
0.3,gap_up,119,0.3209356560884651,0.30093565608846506,1.5281486306301977,55.46218487394958,ES
0.3,gap_down,176,0.07395135898215968,0.05395135898215968,0.4588058798878024,56.81818181818182,ES
0.3,flat,4924,0.03406653847685415,0.014066538476854146,2.1121094463768006,54.346060113728676,ES
0.3,unconditioned (baseline),5219,0.041952561355703626,0.021952561355703625,2.4891980893469428,54.45487641310596,ES
0.5,gap_up,60,0.5454587712093821,0.5254587712093821,1.7083786146861506,56.666666666666664,ES
0.5,gap_down,90,0.22444672987749673,0.20444672987749674,0.8418242959364429,55.55555555555556,ES
0.5,flat,5069,0.03275255193408554,0.012752551934085542,2.015107796017136,54.40915367922668,ES
0.5,unconditioned (baseline),5219,0.041952561355703626,0.021952561355703625,2.4891980893469428,54.45487641310596,ES
0.8,gap_up,23,1.126663017998159,1.106663017998159,1.787377686846228,60.86956521739131,ES
0.8,gap_down,56,0.17732022673295994,0.15732022673295995,0.44721088913870777,55.35714285714286,ES
0.8,flat,5140,0.03562397579852409,0.015623975798524089,2.184913607392513,54.41634241245136,ES
0.8,unconditioned (baseline),5219,0.041952561355703626,0.021952561355703625,2.4891980893469428,54.45487641310596,ES
