family,config,tf,stop%,target%,max_hold_h,tr_n,tr_exp,tr_win%,tr_ret%,tr_dd%,va_n,va_exp,va_win%,va_ret%,va_dd%,med_hold_h,mean_hold_h,verdict,n_long_events,n_short_events,realized_cost_bps,gross_edge_bps
A-absorption-fade,K>=4 m<=1.0 stop1.0xATR tgt2xstop hold8h,15m,0.36130660519972224,0.7226132103994445,8,909,-6.9952481296887665,32.34323432343234,-63.58680549887089,-65.85476871028638,292,-8.693363508780894,32.534246575342465,-25.38462144564021,-25.64933053738006,0.5,1.3536636136552873,FAIL,950,940,5.854613134370798,-1.5534990175451988
A-absorption-fade,K>=4 m<=1.0 stop1.0xATR tgt2xstop hold24h,15m,0.36130660519972224,0.7226132103994445,24,628,-8.841316714738731,29.936305732484076,-55.52346896855924,-57.160462876936954,221,-8.284443841702856,33.03167420814479,-18.308620890163308,-20.932368040840394,0.5,1.6051236749116609,FAIL,950,940,6.362018275211658,-2.334340954319855
A-absorption-fade,K>=4 m<=1.0 stop1.0xATR tgt3xstop hold8h,15m,0.36130660519972224,1.0839198155991667,8,909,-6.532319943502841,27.61276127612761,-59.37878828644083,-62.30396175043379,292,-9.623761211225474,25.34246575342466,-28.10138273677839,-29.70818960218352,0.75,1.7912156536219817,FAIL,950,940,6.469012911251281,-0.8149313871016943
A-absorption-fade,K>=4 m<=1.0 stop1.0xATR tgt3xstop hold24h,15m,0.36130660519972224,1.0839198155991667,24,628,-7.837424125741463,24.522292993630572,-49.21902350965639,-51.34562745862708,221,-10.202742293197087,23.981900452488688,-22.54806046796556,-25.768715354632864,0.5,2.2818021201413425,FAIL,950,940,7.228628997185531,-1.2245022133706467
A-absorption-fade,K>=4 m<=1.0 stop1.5xATR tgt2xstop hold8h,15m,0.5419599077995834,1.0839198155991667,8,909,-5.908838425279077,36.633663366336634,-53.71134128578681,-57.17523397229007,292,-10.452135142864831,32.534246575342465,-30.520234617165308,-31.36769709260551,1.25,2.4950041631973354,FAIL,950,940,6.175789180054615,-0.8376642673185843
A-absorption-fade,K>=4 m<=1.0 stop1.5xATR tgt2xstop hold24h,15m,0.5419599077995834,1.0839198155991667,24,628,-5.896630250351042,34.87261146496815,-37.030837972204544,-41.635595447970104,221,-12.782726051986302,29.86425339366516,-28.249824574889725,-30.77147855135683,1.25,3.214369846878681,FAIL,950,940,7.218840306627275,-0.4702836682954894
A-absorption-fade,K>=4 m<=1.0 stop1.5xATR tgt3xstop hold8h,15m,0.5419599077995834,1.62587972339875,8,909,-4.75797361399306,33.223322332233224,-43.24998015119691,-49.910172807493744,292,-11.052481014893038,29.10958904109589,-32.273244563487665,-33.06554813247105,1.75,3.023938384679434,FAIL,950,940,6.702305801049486,0.41394404295751386
A-absorption-fade,K>=4 m<=1.0 stop1.5xATR tgt3xstop hold24h,15m,0.5419599077995834,1.62587972339875,24,628,-2.4828874857574013,30.254777070063692,-15.592533410556475,-32.24354451297766,221,-12.203103166102643,23.981900452488688,-26.968857997086847,-30.536794195983564,1.5,4.386925795053004,FAIL,950,940,8.44890217867493,3.4357818715320176
A-absorption-fade,K>=4 m<=1.5 stop1.0xATR tgt2xstop hold8h,15m,0.36130660519972224,0.7226132103994445,8,1164,-5.850340565491348,33.161512027491405,-68.09796418231929,-71.08162805446987,381,-8.26470754610082,32.54593175853018,-31.488535750644118,-33.802557728954305,0.5,1.4166666666666667,FAIL,1488,1475,5.760792486035288,-0.6849356649655806
A-absorption-fade,K>=4 m<=1.5 stop1.0xATR tgt2xstop hold24h,15m,0.36130660519972224,0.7226132103994445,24,764,-8.536493182539806,29.05759162303665,-65.21880791460411,-66.75781368821883,265,-10.879047707943364,29.81132075471698,-28.829476426049915,-30.845274754691104,0.5,1.619290573372206,FAIL,1488,1475,6.141611167460366,-2.9981637927586844
A-absorption-fade,K>=4 m<=1.5 stop1.0xATR tgt3xstop hold8h,15m,0.36130660519972224,1.0839198155991667,8,1164,-5.62308924228713,28.006872852233677,-65.45275878022218,-70.44416881865992,381,-9.434404969249519,25.196850393700785,-35.94508293284066,-37.908618784596854,0.75,1.861326860841424,FAIL,1488,1475,6.228736316596735,-0.334230784572382
A-absorption-fade,K>=4 m<=1.5 stop1.0xATR tgt3xstop hold24h,15m,0.36130660519972224,1.0839198155991667,24,764,-7.999338966445668,23.298429319371728,-61.1149497036449,-63.75064741845877,265,-12.093099171007339,21.88679245283019,-32.046712803169456,-34.16421583810858,0.5,2.2733236151603498,FAIL,1488,1475,6.746624387987798,-2.3069871287094186
A-absorption-fade,K>=4 m<=1.5 stop1.5xATR tgt2xstop hold8h,15m,0.5419599077995834,1.0839198155991667,8,1164,-5.0029020685523085,37.11340206185567,-58.23378007794886,-63.012377893334715,381,-9.39467933022199,33.07086614173229,-35.79372824814578,-38.26557431005547,1.25,2.5024271844660193,FAIL,1488,1475,6.0520500622158995,-0.03387280678699067
A-absorption-fade,K>=4 m<=1.5 stop1.5xATR tgt2xstop hold24h,15m,0.5419599077995834,1.0839198155991667,24,764,-7.588737283870366,31.93717277486911,-57.9779528487696,-61.41085393464045,265,-11.880905767122393,30.566037735849054,-31.484400282874336,-33.97125274642393,1.0,3.2206025267249756,FAIL,1488,1475,6.374088236694459,-2.3200179957296365
A-absorption-fade,K>=4 m<=1.5 stop1.5xATR tgt3xstop hold8h,15m,0.5419599077995834,1.62587972339875,8,1164,-4.095643394225013,33.59106529209622,-47.67328910877915,-57.70252990462309,381,-8.400635311367363,29.92125984251969,-32.006420536309655,-36.58067545464297,1.75,3.0278317152103558,FAIL,1488,1475,6.854212744660969,1.696949984461047
A-absorption-fade,K>=4 m<=1.5 stop1.5xATR tgt3xstop hold24h,15m,0.5419599077995834,1.62587972339875,24,764,-6.575635918180717,26.96335078534031,-50.237858414900685,-57.18240901942777,265,-10.424798964436436,25.28301886792453,-27.625717255756555,-33.295597056979375,1.5,4.410106899902818,FAIL,1488,1475,7.079443532327115,-0.48747344246950686
A-absorption-fade,K>=6 m<=1.0 stop1.0xATR tgt2xstop hold8h,15m,0.36130660519972224,0.7226132103994445,8,415,-9.564812460599638,31.32530120481928,-39.69397171148851,-41.1118940087308,126,-14.713825507151803,27.77777777777778,-18.539420139011277,-19.918224220253197,0.25,1.299445471349353,FAIL,334,350,7.118024246162184,-3.646003822322063
A-absorption-fade,K>=6 m<=1.0 stop1.0xATR tgt2xstop hold24h,15m,0.36130660519972224,0.7226132103994445,24,337,-10.563057942487118,29.970326409495552,-35.597505266181585,-36.77217207678481,109,-12.482935413638655,29.357798165137616,-13.606399600866137,-16.1065561222453,0.25,1.5291479820627802,FAIL,334,350,7.5407786153209,-3.4914870499364357
A-absorption-fade,K>=6 m<=1.0 stop1.0xATR tgt3xstop hold8h,15m,0.36130660519972224,1.0839198155991667,8,415,-9.68822949647312,26.746987951807228,-40.20615241036345,-41.495534867936826,126,-13.395208440573077,23.015873015873016,-16.877962635122078,-16.957450189045318,0.5,1.798521256931608,FAIL,334,350,7.4176842577481255,-3.133908172101324
A-absorption-fade,K>=6 m<=1.0 stop1.0xATR tgt3xstop hold24h,15m,0.36130660519972224,1.0839198155991667,24,337,-9.966434645698937,24.03560830860534,-33.58688475600542,-36.454254937995,109,-11.772970281294933,22.93577981651376,-12.83253760661147,-14.733417666552368,0.5,2.2841928251121075,FAIL,334,350,8.249904893907928,-2.158037339862677
A-absorption-fade,K>=6 m<=1.0 stop1.5xATR tgt2xstop hold8h,15m,0.5419599077995834,1.0839198155991667,8,415,-8.640048810111553,35.66265060240964,-35.856202561962945,-39.281857628773,126,-16.229162765961778,29.365079365079367,-20.44874508511184,-20.44874508511184,1.0,2.391866913123845,FAIL,334,350,7.013149271066477,-3.3944196100933732
A-absorption-fade,K>=6 m<=1.0 stop1.5xATR tgt2xstop hold24h,15m,0.5419599077995834,1.0839198155991667,24,337,-7.703716685003581,34.124629080118694,-25.96152522846207,-33.23568213363633,109,-16.537400625772527,27.522935779816514,-18.025766682092048,-19.08129193973056,1.0,3.2208520179372195,FAIL,334,350,8.000634019561657,-1.8619874850468907
A-absorption-fade,K>=6 m<=1.0 stop1.5xATR tgt3xstop hold8h,15m,0.5419599077995834,1.62587972339875,8,415,-6.210635053061755,33.01204819277108,-25.774135470206282,-31.613471988907982,126,-14.612257551571712,27.77777777777778,-18.411444514980357,-18.629271731032045,1.25,2.8142329020332717,FAIL,334,350,7.644170592912292,-0.5232194228338534
A-absorption-fade,K>=6 m<=1.0 stop1.5xATR tgt3xstop hold24h,15m,0.5419599077995834,1.62587972339875,24,337,-1.7291972668851543,30.56379821958457,-5.827394789402973,-28.013304271219468,109,-11.623644792350364,23.853211009174313,-12.669772823661896,-16.11896224621898,1.25,4.099775784753363,FAIL,334,350,9.362954911139322,5.215607912694285
A-absorption-fade,K>=6 m<=1.5 stop1.0xATR tgt2xstop hold8h,15m,0.36130660519972224,0.7226132103994445,8,570,-6.156025531521654,35.08771929824561,-35.08934552967343,-38.12351180856092,201,-13.490748252073095,27.860696517412936,-27.116403986666914,-28.739524694581686,0.25,1.3842412451361867,FAIL,531,547,7.235550798472443,-0.8326398002746833
