symbol,level_kind,n_formed,formed_per_week,pct_swept,pct_broken,pct_untouched,sweeps_per_week,median_hours_to_sweep,median_overshoot_pct
SPY,5-minute swing,167092,379.06533575317604,75.9635410432576,20.437244152921743,3.5992148038206495,287.95145190562613,0.3333333333333333,0.04308815329244586
SPY,15-minute swing,62665,142.1619782214156,72.31788079470198,21.44737891965212,6.234740285645895,102.80852994555353,0.8333333333333334,0.04595669466747141
SPY,1-hour swing,16121,36.57214156079855,64.42528379132808,22.715712424787544,12.859003783884374,23.561705989110706,2.1666666666666665,0.05329026635828646
SPY,4-hour swing,4368,9.909255898366606,55.494505494505496,20.42124542124542,24.084249084249084,5.499092558983666,5.166666666666667,0.0535833901109114
SPY,asia session,3489,7.915154264972776,53.654342218400686,38.09114359415305,8.25451418744626,4.246823956442831,5.0,0.05052569438706182
SPY,london session,3533,8.01497277676951,69.31786017548825,18.765921313331447,11.9162185111803,5.555807622504537,6.5,0.049351381838686675
SPY,ny session,3662,8.307622504537205,56.22610595303114,23.10212998361551,20.671764063353358,4.671052631578947,15.416666666666666,0.04548476260452589
SPY,prior day,4254,9.650635208711433,46.85002350728726,21.932299012693935,31.217677480018807,4.521324863883847,7.666666666666667,0.053576212161797115
QQQ,5-minute swing,159437,361.6991833030853,75.24414031874659,20.908572037858214,3.847287643395197,272.1574410163339,0.3333333333333333,0.05824790307548597
QQQ,15-minute swing,59701,135.43784029038113,71.29026314467094,22.210683238136713,6.4990536171923425,96.55399274047187,0.75,0.06265664160399262
QQQ,1-hour swing,16019,36.34074410163339,63.53080716648979,23.515824957862538,12.953367875647666,23.087568058076226,2.3333333333333335,0.07291402485417772
QQQ,4-hour swing,4259,9.661978221415607,53.58065273538389,21.812632073256633,24.606715191359473,5.176950998185117,5.083333333333333,0.07802156737842597
QQQ,asia session,3426,7.772232304900181,52.74372446001168,39.433741973146525,7.822533566841798,4.099364791288566,4.833333333333333,0.07256934715605429
QQQ,london session,3594,8.153357531760435,68.83695047301057,19.81079577072899,11.352253756260435,5.612522686025408,6.5,0.07352836864402154
QQQ,ny session,3716,8.430127041742287,53.90204520990313,24.407965554359524,21.689989235737354,4.5440108892921955,15.083333333333334,0.059481322864617124
QQQ,prior day,4217,9.566696914700545,45.93312781598293,22.07730614180697,31.989566042210104,4.394283121597096,7.333333333333333,0.06888475580353676
BTCUSDT,5-minute swing,266159,1010.364967462039,78.78486168042411,18.52764700799146,2.687491311584429,796.0146420824294,0.4166666666666667,0.11975927379586579
BTCUSDT,15-minute swing,92245,350.17082429501085,76.5526586806873,18.805355303810504,4.641986015502195,268.0650759219089,1.0833333333333333,0.13867431041706058
BTCUSDT,1-hour swing,23467,89.08297180043384,70.67797332424254,19.644607320918738,9.67741935483871,62.96203904555314,3.4166666666666665,0.19477999880343422
BTCUSDT,4-hour swing,6023,22.863882863340564,60.33538103934916,20.35530466544911,19.309314295201727,13.795010845986983,9.916666666666666,0.2799712774098311
BTCUSDT,asia session,3681,13.973427331887201,65.52567237163814,18.364574843792447,16.109752784569412,9.156182212581344,15.5,0.22045955607173717
BTCUSDT,london session,2706,10.27223427331887,80.00739098300073,13.488543976348854,6.504065040650407,8.218546637744033,6.916666666666667,0.19296920882624383
BTCUSDT,ny session,2765,10.496203904555314,72.80289330922243,15.840867992766727,11.35623869801085,7.641540130151843,14.25,0.22315965273478558
BTCUSDT,prior day,3654,13.870932754880693,51.231527093596064,19.51286261631089,29.25561029009305,7.106290672451193,16.75,0.3248547200291313
