symbol,n_sessions,session_mean_pct,session_t,session_over_cost,dark_mean_pct,dark_t,dark_over_cost,session_sd,dark_sd,cost_pct,tradeable
NVDA,1592,0.04925918473384478,0.8178797491893603,2.442270379104518,0.1968807951318945,4.4006373501174805,9.761349822641304,2.403085905952046,1.7845259347594689,0.0201694231544937,DARK WINDOW only
AMD,1592,0.052198497228425546,0.6712149910478614,2.0991299404596417,0.2357373060287012,4.545676590904591,9.480028419260101,3.1029007486668787,2.0685445184100715,0.0248667298876199,DARK WINDOW only
AVGO,1592,0.019954790796724325,0.47868712804099983,0.29225605193689763,0.09057278638534344,2.8003626849407035,1.326520795509904,1.6632861122533231,1.29008562606303,0.068278451941289,neither
MU,1592,-0.019962850765389072,-0.34667465338387604,-0.7676714261831921,0.16454491641413133,3.681851072604002,6.3275747607067,2.297587193496766,1.7825976985632763,0.0260044207515225,DARK WINDOW only
MSFT,1592,0.034954068976277244,1.0697484797692265,2.5724447063090374,0.08423003294945777,3.2195956286263105,6.198909274915136,1.3037298003342852,1.0435198899932716,0.0135878796113871,DARK WINDOW only
GOOGL,1592,0.019513760538868222,0.5990735480509481,1.3049827360380064,0.06625064530683926,2.4156955318402624,4.430511904898929,1.299667799883205,1.0939135620383087,0.0149532710280237,neither
META,1592,0.03699500077831331,0.9295676535056057,1.603812558741707,0.032376961225589834,0.8251309884574664,1.4036106483320832,1.5879381016709504,1.565122292530389,0.0230669105168613,neither
AMZN,1592,-0.02574219813303484,-0.6642288962975759,-1.742189065980184,0.13868974879287685,4.464245356110359,9.386291048720265,1.5463200794015322,1.239171441221333,0.0147757775752954,DARK WINDOW only
TSLA,1592,0.06400007946586336,0.8834786436494194,1.929922396292813,0.18880916774808879,3.297176559011795,5.693540453442742,2.89038695951612,2.284104472191879,0.0331619963521855,DARK WINDOW only
SMH,1592,0.009646437717715126,0.27048414155200473,0.49862436562879436,0.10304620314020445,3.576595288175495,5.326458240318231,1.422973095205111,1.1492044104348254,0.0193461017604914,DARK WINDOW only
SPY,1592,0.018158721867872537,0.8999666919328431,5.176052874832539,0.03565655559290936,1.8712991510404002,10.163722888990296,0.8050639356879115,0.7600309140960521,0.0035082180006633,neither
QQQ,1592,0.027394845723326344,1.028545298927712,4.968192246144305,0.05090996903380909,2.3880860384954166,9.23277743410871,1.0627153831307252,0.8503308843374444,0.0055140470348318,DARK WINDOW only
