entry_idx,exit_idx,entry_time,exit_time,direction,entry_price,exit_price,stop_price,stop_dist_pct,notional,leverage,pnl,reason,hold_hours
100,112,2020-04-11 00:00:00+00:00,2020-04-13 00:00:00+00:00,1,6859.0571,6757.972000000001,6680.0,2.6105206209757315,7661.30703557692,0.766130703557692,-126.63083644267564,"stop:stop_structure_trailing(buffer_pct=0.0,fallback_pct=8.0)",48.0
144,166,2020-04-18 08:00:00+00:00,2020-04-22 00:00:00+00:00,1,7087.62565,6858.44185,6465.5,8.777631335537592,2249.665948849656,0.22785190258591656,-73.23914356019785,target:target_opposite_signal(...),88.0
178,274,2020-04-24 00:00:00+00:00,2020-05-10 00:00:00+00:00,1,7485.7450499999995,8522.442500000001,6750.0,9.828614855110509,1994.2036928838309,0.20348747300440567,264.3342809534211,"stop:stop_structure_trailing(buffer_pct=0.0,fallback_pct=8.0)",384.0
300,337,2020-05-14 08:00:00+00:00,2020-05-20 12:00:00+00:00,1,9507.351349999999,9467.159,8182.0,13.940279486988763,1443.940103258944,0.143469146502171,-10.504614912146794,"stop:stop_structure_trailing(buffer_pct=0.0,fallback_pct=8.0)",148.0
401,415,2020-05-31 04:00:00+00:00,2020-06-02 12:00:00+00:00,1,9582.37385,9387.682850000001,9327.5,2.659819518521498,7559.881124285494,0.7519307178825919,-167.34565132759764,"stop:stop_structure_trailing(buffer_pct=0.0,fallback_pct=8.0)",56.0
747,779,2020-07-27 20:00:00+00:00,2020-08-02 04:00:00+00:00,1,10793.737149999999,10831.7495,9276.5,14.056643486079325,1406.6820495948102,0.14228147722325418,1.0122360634111924,"stop:stop_structure_trailing(buffer_pct=0.0,fallback_pct=8.0)",128.0
973,974,2020-09-03 12:00:00+00:00,2020-09-03 16:00:00+00:00,1,11231.3684,10678.7954,11171.0,0.5374981734193617,36791.29254662522,3.7209428773994726,-1855.0008271527827,"stop:stop_structure_trailing(buffer_pct=0.0,fallback_pct=8.0)",4.0
1264,1290,2020-10-22 00:00:00+00:00,2020-10-26 08:00:00+00:00,1,12823.846,12841.1465,11260.5,12.190929304671934,1317.8036297106712,0.16405640210164613,-11.45358640432046,"stop:stop_structure_trailing(buffer_pct=0.0,fallback_pct=8.0)",104.0
1502,1548,2020-11-30 16:00:00+00:00,2020-12-08 08:00:00+00:00,1,19358.8059,18860.340200000002,16202.0,16.306821383027554,983.7811635768204,0.12264805954651822,-29.670460281711303,"stop:stop_structure_trailing(buffer_pct=0.0,fallback_pct=8.0)",184.0
1598,1710,2020-12-16 16:00:00+00:00,2021-01-04 08:00:00+00:00,1,20676.70115,28645.4038,17567.0,15.039638709485342,1062.7251826063139,0.1329819178926566,374.6939386827935,"stop:stop_structure_trailing(buffer_pct=0.0,fallback_pct=8.0)",448.0
1876,1960,2021-02-01 00:00:00+00:00,2021-02-15 00:00:00+00:00,1,33137.9384,46286.11,29273.0,11.663183005977219,1434.633295444414,0.17147977520159186,492.14947644936746,"stop:stop_structure_trailing(buffer_pct=0.0,fallback_pct=8.0)",336.0
2092,2130,2021-03-09 00:00:00+00:00,2021-03-15 08:00:00+00:00,1,52355.702,55140.452900000004,46411.0,11.354449989038438,1560.3300592489088,0.17614239368096168,50.12694935532544,"stop:stop_structure_trailing(buffer_pct=0.0,fallback_pct=8.0)",152.0
