family,variant,config,tf,asset,tr_n,tr_exp,tr_win%,tr_ret%,tr_dd%,va_n,va_exp,va_win%,va_ret%,va_dd%,med_hold_h,mean_hold_h,verdict,stop_pct,target_pct,trades_yr,osc,k,tmult,M,N_pct,gate,max_wait,ext_thresh,W,config_name,vmult,hold_days,disp_mult,tgt_tag,H,direction
A-divergence,after-level,RSI14 k8 regular LEVEL-GATE M50 N0.5% tgt3x,4h,BTC,58,-26.8652,41.38,-15.58,-36.61,21,-38.8142,42.86,-8.15,-21.18,88.0,67.18987341772151,FAIL,3.5813823912279568,10.74414717368387,15.6,RSI14,8.0,3.0,50.0,0.5,level,,,,,,,,,,
A-divergence,after-level,RSI14 k8 regular LEVEL-GATE M50 N1.0% tgt3x,4h,BTC,69,-11.4639,40.58,-7.91,-38.92,23,-74.4832,39.13,-17.13,-22.43,76.0,62.91304347826087,FAIL,3.5647313616438834,10.69419408493165,18.2,RSI14,8.0,3.0,50.0,1.0,level,,,,,,,,,,
A-divergence,after-level,RSI14 k8 regular LEVEL-GATE M50 N2.0% tgt3x,4h,BTC,72,-2.4431,41.67,-1.76,-38.68,24,-73.2089,37.5,-17.57,-22.25,78.0,64.25,FAIL,3.5401626616025306,10.620487984807593,19.0,RSI14,8.0,3.0,50.0,2.0,level,,,,,,,,,,
A-divergence,after-level,RSI14 k8 regular LEVEL-GATE M100 N0.5% tgt3x,4h,BTC,57,-33.0571,40.35,-18.84,-36.2,21,-37.0883,42.86,-7.79,-20.97,86.0,66.2051282051282,FAIL,3.5392262187465207,10.617678656239562,15.4,RSI14,8.0,3.0,100.0,0.5,level,,,,,,,,,,
A-divergence,after-level,RSI14 k8 regular LEVEL-GATE M100 N1.0% tgt3x,4h,BTC,67,-1.1643,41.79,-0.78,-38.85,23,-74.1822,39.13,-17.06,-22.38,76.0,63.82222222222222,FAIL,3.5574159223437807,10.672247767031342,17.8,RSI14,8.0,3.0,100.0,1.0,level,,,,,,,,,,
A-divergence,after-level,RSI14 k8 regular LEVEL-GATE M100 N2.0% tgt3x,4h,BTC,69,-9.2434,40.58,-6.38,-38.79,24,-73.6521,37.5,-17.68,-22.33,76.0,63.956989247311824,FAIL,3.5514767295597487,10.654430188679246,18.4,RSI14,8.0,3.0,100.0,2.0,level,,,,,,,,,,
A-divergence,after-level,RSI14 k8 regular LEVEL-GATE M200 N0.5% tgt3x,4h,BTC,54,-13.6662,42.59,-7.38,-32.62,21,-32.3283,42.86,-6.79,-20.41,84.0,66.13333333333334,FAIL,3.422835446735062,10.268506340205185,14.8,RSI14,8.0,3.0,200.0,0.5,level,,,,,,,,,,
A-divergence,after-level,RSI14 k8 regular LEVEL-GATE M200 N1.0% tgt3x,4h,BTC,64,11.0349,43.75,7.06,-38.76,23,-73.8384,39.13,-16.98,-22.32,76.0,64.55172413793103,FAIL,3.5490669517442206,10.647200855232661,17.2,RSI14,8.0,3.0,200.0,1.0,level,,,,,,,,,,
A-divergence,after-level,RSI14 k8 regular LEVEL-GATE M200 N2.0% tgt3x,4h,BTC,67,-0.8572,41.79,-0.57,-38.75,24,-73.4929,37.5,-17.64,-22.3,76.0,64.17582417582418,FAIL,3.5474103859504416,10.642231157851324,18.0,RSI14,8.0,3.0,200.0,2.0,level,,,,,,,,,,
A-divergence,after-confirm,RSI14 k8 regular CONFIRM-GATE wait10 tgt3x,4h,BTC,34,-1.0024,41.18,-0.34,-24.36,8,167.7656,75.0,13.42,-6.19,96.0,68.76190476190476,FAIL,4.0,12.0,8.3,RSI14,8.0,3.0,,,confirm,10.0,,,,,,,,,
A-divergence,after-confirm,RSI14 k8 regular CONFIRM-GATE wait30 tgt3x,4h,BTC,45,-24.8616,42.22,-11.19,-24.27,10,72.3534,60.0,7.24,-9.32,96.0,67.34545454545454,FAIL,4.0,12.0,10.9,RSI14,8.0,3.0,,,confirm,30.0,,,,,,,,,
A-divergence,after-extreme,RSI14 k8 regular TREND-EXTREME>=2.0ATR tgt3x,4h,BTC,44,-6.8772,40.91,-3.03,-39.37,12,-167.9117,25.0,-20.15,-21.84,62.0,57.07142857142857,FAIL,3.41259559453155,10.23778678359465,11.1,RSI14,8.0,3.0,,,extreme,,2.0,,,,,,,,
A-divergence,after-extreme,RSI14 k8 regular TREND-EXTREME>=3.0ATR tgt3x,4h,BTC,33,-97.3896,30.3,-32.14,-39.26,10,-140.3819,30.0,-14.04,-17.15,52.0,53.86046511627907,FAIL,3.361957283715304,10.085871851145912,8.5,RSI14,8.0,3.0,,,extreme,,3.0,,,,,,,,
A-divergence,after-all3,RSI14 k8 regular ALL3-COMBINED M100 N1.0% wait30 ext>=2.0ATR tgt3x,4h,BTC,13,-26.0073,46.15,-3.38,-18.18,2,-171.9636,50.0,-3.44,-6.44,72.0,61.86666666666667,FAIL,4.0,12.0,3.0,RSI14,8.0,3.0,100.0,1.0,all3,30.0,2.0,,,,,,,,
A-divergence,after-all3,RSI14 k8 regular ALL3-COMBINED M100 N1.0% wait30 ext>=3.0ATR tgt3x,4h,BTC,7,-113.5765,42.86,-7.95,-13.65,2,-171.9636,50.0,-3.44,-6.44,96.0,68.44444444444444,FAIL,4.0,12.0,1.8,RSI14,8.0,3.0,100.0,1.0,all3,30.0,3.0,,,,,,,,
A-divergence,before,MACDhist k5 regular UNCONDITIONAL tgt2x,4h,BTC,131,-23.1124,35.88,-30.28,-49.31,40,-49.9778,37.5,-19.99,-26.58,44.0,49.77777777777778,FAIL,3.0335607317137296,6.067121463427459,33.8,MACDhist,5.0,2.0,,,,,,,,,,,,,
A-divergence,after-level,MACDhist k5 regular LEVEL-GATE M50 N0.5% tgt2x,4h,BTC,100,-37.2326,32.0,-37.23,-46.94,33,-39.2394,36.36,-12.95,-21.65,40.0,47.097744360902254,FAIL,2.791477926982163,5.582955853964326,26.3,MACDhist,5.0,2.0,50.0,0.5,level,,,,,,,,,,
A-divergence,after-level,MACDhist k5 regular LEVEL-GATE M50 N1.0% tgt2x,4h,BTC,111,-23.5332,36.04,-26.12,-40.95,35,-12.4286,42.86,-4.35,-21.48,46.0,50.73972602739726,FAIL,2.9406195857517647,5.8812391715035295,28.9,MACDhist,5.0,2.0,50.0,1.0,level,,,,,,,,,,
A-divergence,after-level,MACDhist k5 regular LEVEL-GATE M50 N2.0% tgt2x,4h,BTC,116,-20.9463,37.07,-24.3,-41.65,38,-28.5889,39.47,-10.86,-25.54,44.0,50.467532467532465,FAIL,2.9822328485135605,5.964465697027121,30.4,MACDhist,5.0,2.0,50.0,2.0,level,,,,,,,,,,
A-divergence,after-level,MACDhist k5 regular LEVEL-GATE M100 N0.5% tgt2x,4h,BTC,95,-43.2975,30.53,-41.13,-51.13,32,-31.949,37.5,-10.22,-19.68,40.0,45.98425196850393,FAIL,2.7888492899778567,5.5776985799557135,25.1,MACDhist,5.0,2.0,100.0,0.5,level,,,,,,,,,,
A-divergence,after-level,MACDhist k5 regular LEVEL-GATE M100 N1.0% tgt2x,4h,BTC,105,-24.8879,36.19,-26.13,-42.41,35,-29.3815,40.0,-10.28,-25.36,46.0,51.114285714285714,FAIL,2.9640278081514455,5.928055616302891,27.7,MACDhist,5.0,2.0,100.0,1.0,level,,,,,,,,,,
A-divergence,after-level,MACDhist k5 regular LEVEL-GATE M100 N2.0% tgt2x,4h,BTC,111,-20.8056,36.94,-23.09,-40.28,37,-22.2187,40.54,-8.22,-25.76,44.0,51.37837837837838,FAIL,3.0058947081420047,6.011789416284009,29.2,MACDhist,5.0,2.0,100.0,2.0,level,,,,,,,,,,
A-divergence,after-level,MACDhist k5 regular LEVEL-GATE M200 N0.5% tgt2x,4h,BTC,87,-47.3809,31.03,-41.22,-50.48,31,-48.962,35.48,-15.18,-19.86,40.0,47.76271186440678,FAIL,2.8199838827913206,5.639967765582641,23.3,MACDhist,5.0,2.0,200.0,0.5,level,,,,,,,,,,
A-divergence,after-level,MACDhist k5 regular LEVEL-GATE M200 N1.0% tgt2x,4h,BTC,98,-25.2196,36.73,-24.72,-38.9,32,-39.5461,37.5,-12.65,-25.32,46.0,50.98461538461538,FAIL,2.9598007614498507,5.919601522899701,25.7,MACDhist,5.0,2.0,200.0,1.0,level,,,,,,,,,,
A-divergence,after-level,MACDhist k5 regular LEVEL-GATE M200 N2.0% tgt2x,4h,BTC,106,-23.1849,36.79,-24.58,-41.91,35,-29.2589,40.0,-10.24,-25.45,44.0,51.57446808510638,FAIL,2.9733270988197393,5.946654197639479,27.9,MACDhist,5.0,2.0,200.0,2.0,level,,,,,,,,,,
A-divergence,after-confirm,MACDhist k5 regular CONFIRM-GATE wait10 tgt2x,4h,BTC,64,5.9131,40.62,3.78,-20.0,16,163.8527,56.25,26.22,-8.85,72.0,63.65,SURVIVOR,4.0,8.0,15.8,MACDhist,5.0,2.0,,,confirm,10.0,,,,,,,,,
A-divergence,after-confirm,MACDhist k5 regular CONFIRM-GATE wait30 tgt2x,4h,BTC,81,-9.5494,43.21,-7.74,-20.33,24,263.9377,66.67,63.35,-8.85,88.0,66.97142857142858,FAIL,4.0,8.0,20.8,MACDhist,5.0,2.0,,,confirm,30.0,,,,,,,,,
A-divergence,after-extreme,MACDhist k5 regular TREND-EXTREME>=2.0ATR tgt2x,4h,BTC,78,-43.068,33.33,-33.59,-38.7,23,-90.2444,34.78,-20.76,-25.77,36.0,46.13861386138614,FAIL,2.949507241225022,5.899014482450044,20.0,MACDhist,5.0,2.0,,,extreme,,2.0,,,,,,,,
A-divergence,after-extreme,MACDhist k5 regular TREND-EXTREME>=3.0ATR tgt2x,4h,BTC,58,-65.2711,29.31,-37.86,-41.98,14,-108.0269,35.71,-15.12,-15.77,36.0,45.22222222222222,FAIL,2.9987757889228948,5.9975515778457895,14.2,MACDhist,5.0,2.0,,,extreme,,3.0,,,,,,,,
A-divergence,after-all3,MACDhist k5 regular ALL3-COMBINED M100 N1.0% wait30 ext>=2.0ATR tgt2x,4h,BTC,34,-19.506,47.06,-6.63,-21.09,11,194.9068,63.64,21.44,-8.38,96.0,69.6,FAIL,4.0,8.0,8.9,MACDhist,5.0,2.0,100.0,1.0,all3,30.0,2.0,,,,,,,,
A-divergence,after-all3,MACDhist k5 regular ALL3-COMBINED M100 N1.0% wait30 ext>=3.0ATR tgt2x,4h,BTC,23,-101.2271,39.13,-23.28,-28.01,6,202.6564,66.67,12.16,-7.29,96.0,65.79310344827586,FAIL,4.0,8.0,5.7,MACDhist,5.0,2.0,100.0,1.0,all3,30.0,3.0,,,,,,,,
A-divergence,before,MACDhist k5 regular UNCONDITIONAL tgt3x,4h,BTC,131,-24.2671,35.11,-31.79,-49.19,40,-47.8704,37.5,-19.15,-24.86,56.0,55.43859649122807,FAIL,3.0335607317137296,9.10068219514119,33.8,MACDhist,5.0,3.0,,,,,,,,,,,,,
A-divergence,after-level,MACDhist k5 regular LEVEL-GATE M50 N0.5% tgt3x,4h,BTC,100,-44.4613,30.0,-44.46,-54.18,33,-60.7488,33.33,-20.05,-26.28,52.0,53.92481203007519,FAIL,2.791477926982163,8.37443378094649,26.3,MACDhist,5.0,3.0,50.0,0.5,level,,,,,,,,,,
A-divergence,after-level,MACDhist k5 regular LEVEL-GATE M50 N1.0% tgt3x,4h,BTC,111,-31.042,34.23,-34.46,-46.1,35,-25.9156,40.0,-9.07,-25.32,62.0,57.013698630136986,FAIL,2.9406195857517647,8.821858757255294,28.9,MACDhist,5.0,3.0,50.0,1.0,level,,,,,,,,,,
A-divergence,after-level,MACDhist k5 regular LEVEL-GATE M50 N2.0% tgt3x,4h,BTC,116,-27.0762,35.34,-31.41,-45.94,38,-19.644,39.47,-7.46,-25.83,58.0,56.12987012987013,FAIL,2.9822328485135605,8.94669854554068,30.4,MACDhist,5.0,3.0,50.0,2.0,level,,,,,,,,,,
