family,variant,config,tf,asset,tr_n,tr_exp,tr_win%,tr_ret%,tr_dd%,va_n,va_exp,va_win%,va_ret%,va_dd%,med_hold_h,mean_hold_h,verdict,stop_pct,target_pct,trades_yr,osc,k,tmult,M,N_pct,gate,max_wait,ext_thresh,W,config_name,vmult,hold_days,disp_mult,tgt_tag,H,direction
A-divergence,after-all3,MACDhist k5 regular ALL3-COMBINED M100 N1.0% wait30 ext>=2.0ATR tgt3x,4h,BTC,34,12.8242,47.06,4.36,-21.09,11,235.7568,63.64,25.93,-8.38,96.0,72.35555555555555,SURVIVOR,4.0,12.0,8.9,MACDhist,5.0,3.0,100.0,1.0,all3,30.0,2.0,,,,,,,,
A-divergence,after-all3,MACDhist k5 regular ALL3-COMBINED M100 N1.0% wait30 ext>=3.0ATR tgt3x,4h,BTC,23,-88.7996,39.13,-20.42,-28.01,6,271.8247,66.67,16.31,-7.29,96.0,66.20689655172414,FAIL,4.0,12.0,5.7,MACDhist,5.0,3.0,100.0,1.0,all3,30.0,3.0,,,,,,,,
A-divergence,before,MACDhist k8 regular UNCONDITIONAL tgt2x,4h,BTC,110,30.5195,44.55,33.57,-31.47,37,-62.5856,43.24,-23.16,-29.33,64.0,58.857142857142854,FAIL,3.509834351948745,7.01966870389749,29.1,MACDhist,8.0,2.0,,,,,,,,,,,,,
A-divergence,after-level,MACDhist k8 regular LEVEL-GATE M50 N0.5% tgt2x,4h,BTC,73,-14.1458,41.1,-10.33,-38.69,29,-72.7282,41.38,-21.09,-25.49,60.0,58.03921568627451,FAIL,3.2033930007387115,6.406786001477423,20.2,MACDhist,8.0,2.0,50.0,0.5,level,,,,,,,,,,
A-divergence,after-level,MACDhist k8 regular LEVEL-GATE M50 N1.0% tgt2x,4h,BTC,89,16.9253,44.94,15.06,-29.96,32,-56.6107,43.75,-18.12,-26.72,64.0,58.90909090909091,FAIL,3.3313632270573796,6.662726454114759,23.9,MACDhist,8.0,2.0,50.0,1.0,level,,,,,,,,,,
A-divergence,after-level,MACDhist k8 regular LEVEL-GATE M50 N2.0% tgt2x,4h,BTC,95,43.7602,47.37,41.57,-30.44,35,-59.6419,42.86,-20.87,-27.16,70.0,61.23076923076923,FAIL,3.3899660975805213,6.7799321951610425,25.7,MACDhist,8.0,2.0,50.0,2.0,level,,,,,,,,,,
A-divergence,after-level,MACDhist k8 regular LEVEL-GATE M100 N0.5% tgt2x,4h,BTC,69,-14.8751,40.58,-10.26,-39.3,28,-59.5063,42.86,-16.66,-24.9,60.0,58.144329896907216,FAIL,3.293112128982372,6.586224257964744,19.2,MACDhist,8.0,2.0,100.0,0.5,level,,,,,,,,,,
A-divergence,after-level,MACDhist k8 regular LEVEL-GATE M100 N1.0% tgt2x,4h,BTC,83,31.6626,45.78,26.28,-30.65,31,-50.6787,45.16,-15.71,-25.81,68.0,59.29824561403509,FAIL,3.4156630228423115,6.831326045684623,22.5,MACDhist,8.0,2.0,100.0,1.0,level,,,,,,,,,,
A-divergence,after-level,MACDhist k8 regular LEVEL-GATE M100 N2.0% tgt2x,4h,BTC,91,43.3827,47.25,39.48,-31.48,35,-62.445,42.86,-21.86,-28.14,72.0,61.96825396825397,FAIL,3.5067823903505237,7.0135647807010475,24.9,MACDhist,8.0,2.0,100.0,2.0,level,,,,,,,,,,
A-divergence,after-level,MACDhist k8 regular LEVEL-GATE M200 N0.5% tgt2x,4h,BTC,64,0.8363,43.75,0.54,-34.35,27,-57.8632,44.44,-15.62,-24.35,64.0,58.54945054945055,FAIL,3.2233387741738015,6.446677548347603,18.0,MACDhist,8.0,2.0,200.0,0.5,level,,,,,,,,,,
A-divergence,after-level,MACDhist k8 regular LEVEL-GATE M200 N1.0% tgt2x,4h,BTC,75,48.6764,48.0,36.51,-29.63,30,-49.5611,46.67,-14.87,-25.52,64.0,58.89523809523809,FAIL,3.378040399198334,6.756080798396668,20.8,MACDhist,8.0,2.0,200.0,1.0,level,,,,,,,,,,
A-divergence,after-level,MACDhist k8 regular LEVEL-GATE M200 N2.0% tgt2x,4h,BTC,83,48.0732,48.19,39.9,-30.12,32,-58.432,43.75,-18.7,-26.15,72.0,61.321739130434786,FAIL,3.458596875341107,6.917193750682214,22.7,MACDhist,8.0,2.0,200.0,2.0,level,,,,,,,,,,
A-divergence,after-confirm,MACDhist k8 regular CONFIRM-GATE wait10 tgt2x,4h,BTC,42,41.2283,45.24,17.32,-22.85,10,170.4883,70.0,17.05,-7.45,86.0,67.15384615384616,SURVIVOR,4.0,8.0,10.3,MACDhist,8.0,2.0,,,confirm,10.0,,,,,,,,,
A-divergence,after-confirm,MACDhist k8 regular CONFIRM-GATE wait30 tgt2x,4h,BTC,59,-18.4212,44.07,-10.87,-32.77,14,292.4398,71.43,40.94,-7.45,88.0,66.52054794520548,FAIL,4.0,8.0,14.4,MACDhist,8.0,2.0,,,confirm,30.0,,,,,,,,,
A-divergence,after-extreme,MACDhist k8 regular TREND-EXTREME>=2.0ATR tgt2x,4h,BTC,58,1.1099,41.38,0.64,-38.45,15,-161.3775,26.67,-24.21,-28.3,48.0,52.38356164383562,FAIL,3.3463412088134836,6.692682417626967,14.4,MACDhist,8.0,2.0,,,extreme,,2.0,,,,,,,,
A-divergence,after-extreme,MACDhist k8 regular TREND-EXTREME>=3.0ATR tgt2x,4h,BTC,41,-63.0612,34.15,-25.86,-41.75,11,-219.7871,18.18,-24.18,-25.78,36.0,47.38461538461539,FAIL,3.3916513159109676,6.783302631821935,10.3,MACDhist,8.0,2.0,,,extreme,,3.0,,,,,,,,
A-divergence,after-all3,MACDhist k8 regular ALL3-COMBINED M100 N1.0% wait30 ext>=2.0ATR tgt2x,4h,BTC,18,-78.8221,38.89,-14.19,-27.79,4,442.9419,100.0,17.72,-3.0,82.0,65.63636363636364,FAIL,4.0,8.0,4.3,MACDhist,8.0,2.0,100.0,1.0,all3,30.0,2.0,,,,,,,,
A-divergence,after-all3,MACDhist k8 regular ALL3-COMBINED M100 N1.0% wait30 ext>=3.0ATR tgt2x,4h,BTC,10,-112.4549,40.0,-11.25,-16.64,2,276.4141,100.0,5.53,-3.0,96.0,75.66666666666667,FAIL,4.0,8.0,2.4,MACDhist,8.0,2.0,100.0,1.0,all3,30.0,3.0,,,,,,,,
A-divergence,before,MACDhist k8 regular UNCONDITIONAL tgt3x,4h,BTC,110,50.3129,43.64,55.34,-30.04,37,-57.7283,43.24,-21.36,-28.5,76.0,64.78911564625851,FAIL,3.509834351948745,10.529503055846234,29.1,MACDhist,8.0,3.0,,,,,,,,,,,,,
A-divergence,after-level,MACDhist k8 regular LEVEL-GATE M50 N0.5% tgt3x,4h,BTC,73,-21.1483,39.73,-15.44,-38.63,29,-59.5835,41.38,-17.28,-24.17,72.0,63.84313725490196,FAIL,3.2033930007387115,9.610179002216135,20.2,MACDhist,8.0,3.0,50.0,0.5,level,,,,,,,,,,
A-divergence,after-level,MACDhist k8 regular LEVEL-GATE M50 N1.0% tgt3x,4h,BTC,89,28.6829,43.82,25.53,-29.08,32,-48.8698,43.75,-15.64,-25.6,76.0,64.29752066115702,FAIL,3.3313632270573796,9.994089681172138,23.9,MACDhist,8.0,3.0,50.0,1.0,level,,,,,,,,,,
A-divergence,after-level,MACDhist k8 regular LEVEL-GATE M50 N2.0% tgt3x,4h,BTC,95,61.4219,46.32,58.35,-29.55,35,-53.3142,42.86,-18.66,-26.13,88.0,66.95384615384616,FAIL,3.3899660975805213,10.169898292741564,25.7,MACDhist,8.0,3.0,50.0,2.0,level,,,,,,,,,,
A-divergence,after-level,MACDhist k8 regular LEVEL-GATE M100 N0.5% tgt3x,4h,BTC,69,-22.4605,39.13,-15.5,-39.38,28,-50.062,42.86,-14.02,-23.7,80.0,64.57731958762886,FAIL,3.293112128982372,9.879336386947116,19.2,MACDhist,8.0,3.0,100.0,0.5,level,,,,,,,,,,
A-divergence,after-level,MACDhist k8 regular LEVEL-GATE M100 N1.0% tgt3x,4h,BTC,83,43.6788,44.58,36.25,-29.76,31,-43.3371,45.16,-13.43,-24.8,78.0,64.94736842105263,FAIL,3.4156630228423115,10.246989068526934,22.5,MACDhist,8.0,3.0,100.0,1.0,level,,,,,,,,,,
A-divergence,after-level,MACDhist k8 regular LEVEL-GATE M100 N2.0% tgt3x,4h,BTC,91,54.643,46.15,49.73,-30.54,35,-57.1971,42.86,-20.02,-27.28,88.0,68.03174603174604,FAIL,3.5067823903505237,10.520347171051572,24.9,MACDhist,8.0,3.0,100.0,2.0,level,,,,,,,,,,
A-divergence,after-level,MACDhist k8 regular LEVEL-GATE M200 N0.5% tgt3x,4h,BTC,64,-6.7273,42.19,-4.31,-34.32,27,-47.1008,44.44,-12.72,-23.04,84.0,65.31868131868131,FAIL,3.2233387741738015,9.670016322521406,18.0,MACDhist,8.0,3.0,200.0,0.5,level,,,,,,,,,,
A-divergence,after-level,MACDhist k8 regular LEVEL-GATE M200 N1.0% tgt3x,4h,BTC,75,57.9751,46.67,43.48,-29.63,30,-41.4879,46.67,-12.45,-24.45,80.0,65.1047619047619,FAIL,3.378040399198334,10.134121197595002,20.8,MACDhist,8.0,3.0,200.0,1.0,level,,,,,,,,,,
A-divergence,after-level,MACDhist k8 regular LEVEL-GATE M200 N2.0% tgt3x,4h,BTC,83,54.8523,46.99,45.53,-30.12,32,-51.9911,43.75,-16.64,-25.2,88.0,67.30434782608695,FAIL,3.458596875341107,10.37579062602332,22.7,MACDhist,8.0,3.0,200.0,2.0,level,,,,,,,,,,
A-divergence,after-confirm,MACDhist k8 regular CONFIRM-GATE wait10 tgt3x,4h,BTC,42,47.7371,42.86,20.05,-22.85,10,169.2455,70.0,16.92,-7.45,96.0,71.3076923076923,SURVIVOR,4.0,12.0,10.3,MACDhist,8.0,3.0,,,confirm,10.0,,,,,,,,,
A-divergence,after-confirm,MACDhist k8 regular CONFIRM-GATE wait30 tgt3x,4h,BTC,59,-14.9009,42.37,-8.79,-33.29,14,327.759,71.43,45.89,-7.45,96.0,69.64383561643835,FAIL,4.0,12.0,14.4,MACDhist,8.0,3.0,,,confirm,30.0,,,,,,,,,
A-divergence,after-extreme,MACDhist k8 regular TREND-EXTREME>=2.0ATR tgt3x,4h,BTC,58,12.9263,41.38,7.5,-34.62,15,-161.3775,26.67,-24.21,-28.3,68.0,58.3013698630137,FAIL,3.3463412088134836,10.03902362644045,14.4,MACDhist,8.0,3.0,,,extreme,,2.0,,,,,,,,
A-divergence,after-extreme,MACDhist k8 regular TREND-EXTREME>=3.0ATR tgt3x,4h,BTC,41,-77.3079,34.15,-31.7,-42.27,11,-219.7871,18.18,-24.18,-25.78,50.0,53.23076923076923,FAIL,3.3916513159109676,10.174953947732902,10.3,MACDhist,8.0,3.0,,,extreme,,3.0,,,,,,,,
A-divergence,after-all3,MACDhist k8 regular ALL3-COMBINED M100 N1.0% wait30 ext>=2.0ATR tgt3x,4h,BTC,18,-58.6354,38.89,-10.55,-27.79,4,551.8362,100.0,22.07,-3.0,86.0,66.36363636363636,FAIL,4.0,12.0,4.3,MACDhist,8.0,3.0,100.0,1.0,all3,30.0,2.0,,,,,,,,
A-divergence,after-all3,MACDhist k8 regular ALL3-COMBINED M100 N1.0% wait30 ext>=3.0ATR tgt3x,4h,BTC,10,-112.4549,40.0,-11.25,-16.64,2,276.4141,100.0,5.53,-3.0,96.0,75.66666666666667,FAIL,4.0,12.0,2.4,MACDhist,8.0,3.0,100.0,1.0,all3,30.0,3.0,,,,,,,,
B-macd,before,MACD 12/26/9 0-cross BARE tgt2x,1h,BTC,401,-9.7844,32.42,-39.24,-41.66,135,0.1356,36.3,0.18,-22.2,4.0,9.154850746268657,FAIL,0.9716598748965577,1.9433197497931154,105.8,,,2.0,,,,,,,,,,,,,
B-macd,after,MACD 12/26/9 0-cross + donchian20-break W0 tgt2x,1h,BTC,180,-7.7309,33.89,-13.92,-24.31,65,-24.5598,27.69,-15.96,-19.42,2.0,6.66530612244898,FAIL,0.9716598748965577,1.9433197497931154,48.4,,,2.0,,,,,,0.0,,,,,,,
B-macd,after,MACD 12/26/9 0-cross + donchian20-break W5 tgt2x,1h,BTC,297,-0.3522,37.04,-1.05,-21.17,102,-34.0743,22.55,-34.76,-35.31,3.0,7.864661654135339,FAIL,0.9716598748965577,1.9433197497931154,78.8,,,2.0,,,,,,5.0,,,,,,,
B-macd,before,MACD 12/26/9 0-cross BARE tgt3x,1h,BTC,401,-10.3795,25.19,-41.62,-42.67,135,9.8008,31.11,13.23,-22.05,5.0,12.35634328358209,FAIL,0.9716598748965577,2.914979624689673,105.8,,,3.0,,,,,,,,,,,,,
B-macd,after,MACD 12/26/9 0-cross + donchian20-break W0 tgt3x,1h,BTC,180,-15.1946,23.89,-27.35,-35.78,65,-6.4406,26.15,-4.19,-15.79,3.0,9.66938775510204,FAIL,0.9716598748965577,2.914979624689673,48.4,,,3.0,,,,,,0.0,,,,,,,
B-macd,after,MACD 12/26/9 0-cross + donchian20-break W5 tgt3x,1h,BTC,297,2.8875,29.63,8.58,-21.28,102,-30.0316,18.63,-30.63,-32.18,4.0,10.37844611528822,FAIL,0.9716598748965577,2.914979624689673,78.8,,,3.0,,,,,,5.0,,,,,,,
B-macd,before,MACD 12/26/9 0-cross BARE tgt2x,4h,BTC,290,-25.8676,32.07,-75.02,-79.07,99,16.3586,40.4,16.2,-22.97,20.0,27.424164524421595,FAIL,2.0889519718103378,4.1779039436206755,76.9,,,2.0,,,,,,,,,,,,,
B-macd,after,MACD 12/26/9 0-cross + donchian20-break W0 tgt2x,4h,BTC,76,-0.4403,39.47,-0.33,-18.16,21,-31.5726,38.1,-6.63,-16.47,16.0,23.34020618556701,FAIL,2.0889519718103378,4.1779039436206755,19.2,,,2.0,,,,,,0.0,,,,,,,
B-macd,after,MACD 12/26/9 0-cross + donchian20-break W5 tgt2x,4h,BTC,147,-10.2758,36.73,-15.11,-25.9,41,-5.5997,41.46,-2.3,-20.2,16.0,25.893617021276597,FAIL,2.0889519718103378,4.1779039436206755,37.2,,,2.0,,,,,,5.0,,,,,,,
B-macd,before,MACD 12/26/9 0-cross BARE tgt3x,4h,BTC,290,-26.4526,28.97,-76.71,-82.17,99,7.3442,34.34,7.27,-26.14,24.0,32.20565552699229,FAIL,2.0889519718103378,6.266855915431013,76.9,,,3.0,,,,,,,,,,,,,
B-macd,after,MACD 12/26/9 0-cross + donchian20-break W0 tgt3x,4h,BTC,76,-0.6835,35.53,-0.52,-22.68,21,-38.1122,33.33,-8.0,-18.66,20.0,28.412371134020617,FAIL,2.0889519718103378,6.266855915431013,19.2,,,3.0,,,,,,0.0,,,,,,,
B-macd,after,MACD 12/26/9 0-cross + donchian20-break W5 tgt3x,4h,BTC,147,-9.7498,32.65,-14.33,-31.73,41,7.3078,39.02,3.0,-17.57,20.0,30.5531914893617,FAIL,2.0889519718103378,6.266855915431013,37.2,,,3.0,,,,,,5.0,,,,,,,
C-breakout,before,Bollinger breakout 20/2.5 BARE (R76 exact),1h,BTC,819,14.7138,38.71,120.51,-47.71,260,1.4788,40.0,3.84,-30.83,15.0,16.132530120481928,SURVIVOR,,,213.1,,,,,,,,,,Bollinger breakout 20/2.5,,,,,,
C-breakout,after,Bollinger breakout 20/2.5 + volume>=1.2x20avg,1h,BTC,772,14.8734,39.12,114.82,-44.83,254,5.2135,40.55,13.24,-30.65,16.0,16.2729044834308,SURVIVOR,,,202.6,,,,,,,,,,Bollinger breakout 20/2.5,1.2,,,,,
C-breakout,after,Bollinger breakout 20/2.5 + volume>=1.5x20avg,1h,BTC,726,9.3873,38.43,68.15,-49.8,243,7.167,40.74,17.42,-30.95,16.0,16.265221878224974,SURVIVOR,,,191.3,,,,,,,,,,Bollinger breakout 20/2.5,1.5,,,,,
C-breakout,before,BB-in-KC squeeze release BB20/2 KC20/1.5 BARE (R76 exact),1h,BTC,804,5.1173,30.97,41.14,-48.82,263,0.1924,32.7,0.51,-31.15,12.0,13.755388940955951,SURVIVOR,,,210.7,,,,,,,,,,BB-in-KC squeeze release BB20/2 KC20/1.5,,,,,,
C-breakout,after,BB-in-KC squeeze release BB20/2 KC20/1.5 + volume>=1.2x20avg,1h,BTC,421,17.7292,36.1,74.64,-25.75,155,9.8665,38.06,15.29,-28.79,15.0,15.902777777777779,SURVIVOR,,,113.7,,,,,,,,,,BB-in-KC squeeze release BB20/2 KC20/1.5,1.2,,,,,
C-breakout,after,BB-in-KC squeeze release BB20/2 KC20/1.5 + volume>=1.5x20avg,1h,BTC,349,8.2121,36.1,28.66,-37.19,131,-1.0213,37.4,-1.34,-30.16,15.0,15.733333333333333,FAIL,,,94.8,,,,,,,,,,BB-in-KC squeeze release BB20/2 KC20/1.5,1.5,,,,,
D-sweep,before,k5 SWEEP-ENTRY(naive) tgt2x hold3d,1h,BTC,52,-9.3071,32.69,-4.84,-7.78,16,1.4309,43.75,0.23,-1.25,1.0,1.9705882352941178,FAIL,0.30636487325418105,0.6127297465083621,13.4,,5.0,2.0,,,,,,,,,3.0,,,,
D-sweep,before,k5 SWEEP-ENTRY(naive) tgt2x hold7d,1h,BTC,45,-8.6913,33.33,-3.91,-6.62,13,-3.7581,38.46,-0.49,-1.51,1.0,1.6896551724137931,FAIL,0.30636487325418105,0.6127297465083621,11.5,,5.0,2.0,,,,,,,,,7.0,,,,
D-sweep,before,k5 SWEEP-ENTRY(naive) tgt3x hold3d,1h,BTC,52,-11.6708,23.08,-6.07,-8.54,16,-25.1971,12.5,-4.03,-4.03,1.0,3.6323529411764706,FAIL,0.30636487325418105,0.9190946197625431,13.4,,5.0,3.0,,,,,,,,,3.0,,,,
D-sweep,before,k5 SWEEP-ENTRY(naive) tgt3x hold7d,1h,BTC,45,-12.6316,22.22,-5.68,-7.85,13,-31.143,7.69,-4.05,-4.05,1.0,2.4827586206896552,FAIL,0.30636487325418105,0.9190946197625431,11.5,,5.0,3.0,,,,,,,,,7.0,,,,
D-sweep,after,k5 SWEEP-MSS-DISPLACEMENT disp1.5x wait10 tgt=2xstop,1h,BTC,10,-24.2757,30.0,-2.43,-7.54,3,-155.9732,0.0,-4.68,-5.08,31.0,35.76923076923077,FAIL,1.4562826297231168,2.9125652594462337,2.6,,5.0,,,,,10.0,,,,,,1.5,2xstop,,
D-sweep,after,k5 SWEEP-MSS-DISPLACEMENT disp1.5x wait10 tgt=3xstop,1h,BTC,10,18.4736,30.0,1.85,-7.09,3,-155.9732,0.0,-4.68,-5.08,34.0,39.76923076923077,FAIL,1.4562826297231168,4.36884788916935,2.6,,5.0,,,,,10.0,,,,,,1.5,3xstop,,
D-sweep,after,k5 SWEEP-MSS-DISPLACEMENT disp1.5x wait10 tgt=pool,1h,BTC,10,5.435,80.0,0.54,-3.48,3,-23.2104,66.67,-0.7,-2.74,8.0,9.076923076923077,FAIL,1.4562826297231168,0.5,2.6,,5.0,,,,,10.0,,,,,,1.5,pool,,
D-sweep,after,k5 SWEEP-MSS-DISPLACEMENT disp1.5x wait20 tgt=2xstop,1h,BTC,19,26.8556,42.11,5.1,-5.86,7,-87.4131,14.29,-6.12,-6.12,27.0,32.19230769230769,FAIL,1.3728240885824858,2.7456481771649717,5.1,,5.0,,,,,20.0,,,,,,1.5,2xstop,,
D-sweep,after,k5 SWEEP-MSS-DISPLACEMENT disp1.5x wait20 tgt=3xstop,1h,BTC,19,89.1926,42.11,16.95,-5.86,7,-70.0871,14.29,-4.91,-4.91,30.0,37.26923076923077,FAIL,1.3728240885824858,4.1184722657474575,5.1,,5.0,,,,,20.0,,,,,,1.5,3xstop,,
D-sweep,after,k5 SWEEP-MSS-DISPLACEMENT disp1.5x wait20 tgt=pool,1h,BTC,19,4.847,78.95,0.92,-3.86,7,-37.3772,57.14,-2.62,-4.22,3.5,7.923076923076923,FAIL,1.3728240885824858,0.5,5.1,,5.0,,,,,20.0,,,,,,1.5,pool,,
D-sweep,after,k5 SWEEP-MSS-DISPLACEMENT disp2.0x wait10 tgt=2xstop,1h,BTC,7,33.995,42.86,2.38,-7.15,2,-160.366,0.0,-3.21,-3.62,34.0,43.55555555555556,FAIL,1.4774815944838922,2.9549631889677843,1.8,,5.0,,,,,10.0,,,,,,2.0,2xstop,,
D-sweep,after,k5 SWEEP-MSS-DISPLACEMENT disp2.0x wait10 tgt=3xstop,1h,BTC,7,98.9775,42.86,6.93,-7.15,2,-160.366,0.0,-3.21,-3.62,36.0,49.333333333333336,FAIL,1.4774815944838922,4.432444783451676,1.8,,5.0,,,,,10.0,,,,,,2.0,3xstop,,
D-sweep,after,k5 SWEEP-MSS-DISPLACEMENT disp2.0x wait10 tgt=pool,1h,BTC,7,17.2018,85.71,1.2,-1.88,2,44.0243,100.0,0.88,-1.23,8.0,8.666666666666666,INSUFFICIENT-SAMPLE,1.4774815944838922,0.5,1.8,,5.0,,,,,10.0,,,,,,2.0,pool,,
D-sweep,after,k5 SWEEP-MSS-DISPLACEMENT disp2.0x wait20 tgt=2xstop,1h,BTC,16,69.031,50.0,11.04,-6.24,6,-10.6621,33.33,-0.64,-3.96,28.5,37.59090909090909,FAIL,1.506897716677589,3.013795433355178,4.3,,5.0,,,,,20.0,,,,,,2.0,2xstop,,
D-sweep,after,k5 SWEEP-MSS-DISPLACEMENT disp2.0x wait20 tgt=3xstop,1h,BTC,16,155.1257,50.0,24.82,-6.24,6,37.3952,33.33,2.24,-3.96,33.0,42.81818181818182,INSUFFICIENT-SAMPLE,1.506897716677589,4.520693150032767,4.3,,5.0,,,,,20.0,,,,,,2.0,3xstop,,
D-sweep,after,k5 SWEEP-MSS-DISPLACEMENT disp2.0x wait20 tgt=pool,1h,BTC,16,-6.2448,75.0,-1.0,-3.88,6,11.0454,83.33,0.66,-2.24,7.5,10.681818181818182,FAIL,1.506897716677589,0.5,4.3,,5.0,,,,,20.0,,,,,,2.0,pool,,
D-sweep,before,k8 SWEEP-ENTRY(naive) tgt2x hold3d,1h,BTC,28,0.8628,42.86,0.24,-2.29,12,-0.3779,41.67,-0.05,-0.83,0.5,2.475,FAIL,0.3112498803876249,0.6224997607752498,7.9,,8.0,2.0,,,,,,,,,3.0,,,,
D-sweep,before,k8 SWEEP-ENTRY(naive) tgt2x hold7d,1h,BTC,26,0.2484,42.31,0.06,-2.25,10,-11.9839,30.0,-1.2,-1.2,0.0,2.25,FAIL,0.3112498803876249,0.6224997607752498,7.1,,8.0,2.0,,,,,,,,,7.0,,,,
D-sweep,before,k8 SWEEP-ENTRY(naive) tgt3x hold3d,1h,BTC,28,9.4913,39.29,2.66,-1.26,12,1.621,33.33,0.19,-1.73,0.5,3.625,INSUFFICIENT-SAMPLE,0.3112498803876249,0.9337496411628747,7.9,,8.0,3.0,,,,,,,,,3.0,,,,
D-sweep,before,k8 SWEEP-ENTRY(naive) tgt3x hold7d,1h,BTC,26,8.23,38.46,2.14,-1.26,10,-15.7265,20.0,-1.57,-2.07,0.0,3.5,FAIL,0.3112498803876249,0.9337496411628747,7.1,,8.0,3.0,,,,,,,,,7.0,,,,
D-sweep,after,k8 SWEEP-MSS-DISPLACEMENT disp1.5x wait10 tgt=2xstop,1h,BTC,5,15.7037,40.0,0.79,-4.84,2,-138.3045,0.0,-2.77,-3.51,7.0,25.714285714285715,FAIL,1.279527122005347,2.559054244010694,1.4,,8.0,,,,,10.0,,,,,,1.5,2xstop,,
D-sweep,after,k8 SWEEP-MSS-DISPLACEMENT disp1.5x wait10 tgt=3xstop,1h,BTC,5,68.8317,40.0,3.44,-4.84,2,-138.3045,0.0,-2.77,-3.51,7.0,35.42857142857143,FAIL,1.279527122005347,3.838581366016041,1.4,,8.0,,,,,10.0,,,,,,1.5,3xstop,,
D-sweep,after,k8 SWEEP-MSS-DISPLACEMENT disp1.5x wait10 tgt=pool,1h,BTC,5,8.7682,80.0,0.44,-1.39,2,-47.0571,50.0,-0.94,-1.43,2.0,2.142857142857143,FAIL,1.279527122005347,0.5,1.4,,8.0,,,,,10.0,,,,,,1.5,pool,,
D-sweep,after,k8 SWEEP-MSS-DISPLACEMENT disp1.5x wait20 tgt=2xstop,1h,BTC,7,45.1966,42.86,3.16,-4.87,6,88.5417,50.0,5.31,-4.29,16.0,33.30769230769231,INSUFFICIENT-SAMPLE,1.9424411325860962,3.8848822651721924,2.6,,8.0,,,,,20.0,,,,,,1.5,2xstop,,
D-sweep,after,k8 SWEEP-MSS-DISPLACEMENT disp1.5x wait20 tgt=3xstop,1h,BTC,7,129.4978,42.86,9.06,-4.44,6,129.1294,50.0,7.75,-5.71,23.0,37.92307692307692,INSUFFICIENT-SAMPLE,1.9424411325860962,5.827323397758288,2.6,,8.0,,,,,20.0,,,,,,1.5,3xstop,,
D-sweep,after,k8 SWEEP-MSS-DISPLACEMENT disp1.5x wait20 tgt=pool,1h,BTC,7,-26.6763,71.43,-1.87,-2.87,6,4.2645,83.33,0.26,-2.05,3.0,4.461538461538462,FAIL,1.9424411325860962,0.5,2.6,,8.0,,,,,20.0,,,,,,1.5,pool,,
D-sweep,after,k8 SWEEP-MSS-DISPLACEMENT disp2.0x wait10 tgt=2xstop,1h,BTC,3,-10.595,33.33,-0.32,-1.33,2,-94.0903,0.0,-1.88,-2.63,7.0,17.2,FAIL,0.8321542353702399,1.6643084707404798,1.0,,8.0,,,,,10.0,,,,,,2.0,2xstop,,
D-sweep,after,k8 SWEEP-MSS-DISPLACEMENT disp2.0x wait10 tgt=3xstop,1h,BTC,3,16.7979,33.33,0.5,-1.33,2,-94.0903,0.0,-1.88,-2.63,7.0,20.4,FAIL,0.8321542353702399,2.49646270611072,1.0,,8.0,,,,,10.0,,,,,,2.0,3xstop,,
D-sweep,after,k8 SWEEP-MSS-DISPLACEMENT disp2.0x wait10 tgt=pool,1h,BTC,3,46.3346,100.0,1.39,-0.01,2,-24.6057,50.0,-0.49,-0.98,3.0,2.4,FAIL,0.8321542353702399,0.5,1.0,,8.0,,,,,10.0,,,,,,2.0,pool,,
D-sweep,after,k8 SWEEP-MSS-DISPLACEMENT disp2.0x wait20 tgt=2xstop,1h,BTC,5,137.3683,60.0,6.87,-2.26,5,136.0556,60.0,6.8,-2.99,18.0,39.7,INSUFFICIENT-SAMPLE,1.7644762798580889,3.5289525597161777,2.0,,8.0,,,,,20.0,,,,,,2.0,2xstop,,
D-sweep,after,k8 SWEEP-MSS-DISPLACEMENT disp2.0x wait20 tgt=3xstop,1h,BTC,5,248.5884,60.0,12.43,-2.26,5,185.9455,60.0,9.3,-3.84,20.5,45.3,INSUFFICIENT-SAMPLE,1.7644762798580889,5.293428839574267,2.0,,8.0,,,,,20.0,,,,,,2.0,3xstop,,
D-sweep,after,k8 SWEEP-MSS-DISPLACEMENT disp2.0x wait20 tgt=pool,1h,BTC,5,-0.2342,80.0,-0.01,-2.01,5,48.9181,100.0,2.45,-1.23,3.0,5.2,FAIL,1.7644762798580889,0.5178702713321807,2.0,,8.0,,,,,20.0,,,,,,2.0,pool,,
D-sweep,before,k5 SWEEP-ENTRY(naive) tgt2x hold3d,4h,BTC,5,33.5128,60.0,1.68,-0.62,2,17.5419,50.0,0.35,-0.62,0.0,1.1428571428571428,INSUFFICIENT-SAMPLE,0.5071281075481471,1.0142562150962942,1.4,,5.0,2.0,,,,,,,,,3.0,,,,
D-sweep,before,k5 SWEEP-ENTRY(naive) tgt2x hold7d,4h,BTC,5,33.5128,60.0,1.68,-0.62,2,17.5419,50.0,0.35,-0.62,0.0,1.1428571428571428,INSUFFICIENT-SAMPLE,0.5071281075481471,1.0142562150962942,1.4,,5.0,2.0,,,,,,,,,7.0,,,,
D-sweep,before,k5 SWEEP-ENTRY(naive) tgt3x hold3d,4h,BTC,5,64.627,60.0,3.23,-0.78,2,42.7468,50.0,0.85,-0.62,0.0,12.0,INSUFFICIENT-SAMPLE,0.5071281075481471,1.5213843226444412,1.4,,5.0,3.0,,,,,,,,,3.0,,,,
