family,config,tf,tr_n,tr_exp,va_n,va_exp,combined_n,combined_exp,stop_pct,target_pct,thickness_x_cost,worst_adverse_pct,verdict
2a-pin-bar,wick2x ctx=none stop1.5xATR tgt3xstop,4h,491,-18.181226526739568,170,-1.1127512436025855,661,-13.791452248171812,3.0,9.0,-1.5270752167315094,-3.0309000000000177,FAIL
2a-pin-bar,wick3x ctx=roll20 stop1.0xATR tgt2xstop,4h,67,-12.629060964710483,26,-35.589131736068126,93,-19.048005481434124,3.0,6.0,-1.1172906177197934,-3.0309000000000124,FAIL
2a-pin-bar,wick3x ctx=roll20 stop1.0xATR tgt3xstop,4h,67,-27.054622129141737,26,-25.719080612609595,93,-26.681244930971463,3.0,9.0,-1.5324584066280513,-3.0309000000000124,FAIL
2a-pin-bar,wick3x ctx=roll20 stop1.5xATR tgt2xstop,4h,67,-12.629060964710483,26,-35.589131736068126,93,-19.048005481434124,3.0,6.0,-1.1172906177197934,-3.0309000000000124,FAIL
2a-pin-bar,wick3x ctx=roll20 stop1.5xATR tgt3xstop,4h,67,-27.054622129141737,26,-25.719080612609595,93,-26.681244930971463,3.0,9.0,-1.5324584066280513,-3.0309000000000124,FAIL
2a-pin-bar,wick3x ctx=roll55 stop1.0xATR tgt2xstop,4h,37,-10.564732865310607,10,-121.04444854778322,47,-34.07105535094308,3.0,6.0,-1.9342575695744044,-3.0309000000000124,FAIL
2a-pin-bar,wick3x ctx=roll55 stop1.0xATR tgt3xstop,4h,37,-15.539393002596183,10,-121.04444854778322,47,-37.987277161146615,3.0,9.0,-2.119895307795843,-3.0309000000000124,FAIL
2a-pin-bar,wick3x ctx=roll55 stop1.5xATR tgt2xstop,4h,37,-10.564732865310607,10,-121.04444854778322,47,-34.07105535094308,3.0,6.0,-1.9342575695744044,-3.0309000000000124,FAIL
2a-pin-bar,wick3x ctx=roll55 stop1.5xATR tgt3xstop,4h,37,-15.539393002596183,10,-121.04444854778322,47,-37.987277161146615,3.0,9.0,-2.119895307795843,-3.0309000000000124,FAIL
2a-pin-bar,wick3x ctx=sma50 stop1.0xATR tgt2xstop,4h,10,-7.981408793967239,11,-12.955005234614378,21,-10.58662597716336,3.0,6.0,-0.6024570499011361,-3.0309000000000084,FAIL
2a-pin-bar,wick3x ctx=sma50 stop1.0xATR tgt3xstop,4h,10,-29.26365952681299,11,12.421742744956811,21,-7.428448813028808,3.0,9.0,-0.4253934485900501,-3.0309000000000084,FAIL
2a-pin-bar,wick3x ctx=sma50 stop1.5xATR tgt2xstop,4h,10,-7.981408793967239,11,-12.955005234614378,21,-10.58662597716336,3.0,6.0,-0.6024570499011361,-3.0309000000000084,FAIL
2a-pin-bar,wick3x ctx=sma50 stop1.5xATR tgt3xstop,4h,10,-29.26365952681299,11,12.421742744956811,21,-7.428448813028808,3.0,9.0,-0.4253934485900501,-3.0309000000000084,FAIL
2a-pin-bar,wick3x ctx=none stop1.0xATR tgt2xstop,4h,420,-20.292730872501398,142,3.675126709690323,562,-14.236795326823064,3.0,6.0,-1.422737810104173,-3.0309000000000177,FAIL
2a-pin-bar,wick3x ctx=none stop1.0xATR tgt3xstop,4h,420,-19.549456491012265,142,0.41758364006475435,562,-14.504403646505262,3.0,9.0,-1.2777498666322502,-3.0309000000000177,FAIL
2a-pin-bar,wick3x ctx=none stop1.5xATR tgt2xstop,4h,420,-20.292730872501398,142,3.675126709690323,562,-14.236795326823064,3.0,6.0,-1.422737810104173,-3.0309000000000177,FAIL
2a-pin-bar,wick3x ctx=none stop1.5xATR tgt3xstop,4h,420,-19.549456491012265,142,0.41758364006475435,562,-14.504403646505262,3.0,9.0,-1.2777498666322502,-3.0309000000000177,FAIL
2b-engulfing,engulf ctx=roll20 stop1.0xATR tgt2xstop,1h,430,-15.814435838366196,176,-25.899791476760996,606,-18.743516023774585,1.4643208985498533,2.9286417970997065,-1.4916037173541605,-1.4947601948194218,FAIL
2b-engulfing,engulf ctx=roll20 stop1.0xATR tgt3xstop,1h,430,-14.390151238021666,176,-29.002162731508204,606,-18.63390375098145,1.4643208985498533,4.39296269564956,-1.4204142678758906,-1.494760194819422,FAIL
2b-engulfing,engulf ctx=roll20 stop1.5xATR tgt2xstop,1h,430,-18.342456070411124,176,-22.0307331201526,606,-19.4136388439334,2.19648134782478,4.39296269564956,-1.6551389685513938,-2.227140292229137,FAIL
2b-engulfing,engulf ctx=roll20 stop1.5xATR tgt3xstop,1h,430,-17.78771981504679,176,-22.601636276334602,606,-19.18582096551982,2.19648134782478,6.58944404347434,-1.6178716303235738,-2.227140292229137,FAIL
2b-engulfing,engulf ctx=roll55 stop1.0xATR tgt2xstop,1h,229,-19.829676287184483,116,-36.6386131653981,345,-25.481376802757755,1.4643208985498533,2.9286417970997065,-1.7910895360546253,-1.4947601948194218,FAIL
2b-engulfing,engulf ctx=roll55 stop1.0xATR tgt3xstop,1h,229,-11.961199371650649,116,-37.891037857447856,345,-20.67963781904913,1.4643208985498533,4.39296269564956,-1.3134555708207827,-1.4947601948194218,FAIL
2b-engulfing,engulf ctx=roll55 stop1.5xATR tgt2xstop,1h,229,-17.64576814231056,116,-22.14209881228136,345,-19.15757787482248,2.19648134782478,4.39296269564956,-1.1688133978659008,-2.227140292229137,FAIL
2b-engulfing,engulf ctx=roll55 stop1.5xATR tgt3xstop,1h,229,-16.690322874830375,116,-28.597826803695995,345,-20.694005355260554,2.19648134782478,6.58944404347434,-1.2842359618369852,-2.227140292229137,FAIL
2b-engulfing,engulf ctx=sma50 stop1.0xATR tgt2xstop,1h,48,-28.534157653394193,24,-31.949902559891523,72,-29.672739288893304,1.4643208985498533,2.9286417970997065,-1.6474997285160091,-1.4947601948194227,FAIL
2b-engulfing,engulf ctx=sma50 stop1.0xATR tgt3xstop,1h,48,-33.80221039394754,24,-14.814768800237516,72,-27.473063196044198,1.4643208985498533,4.39296269564956,-1.4654606472000524,-1.4947601948194227,FAIL
2b-engulfing,engulf ctx=sma50 stop1.5xATR tgt2xstop,1h,48,-41.3538851684173,24,11.754195372575245,72,-23.65119165475312,2.19648134782478,4.39296269564956,-1.2158613582753364,-2.227140292229133,FAIL
2b-engulfing,engulf ctx=sma50 stop1.5xATR tgt3xstop,1h,48,-40.89476689519753,24,41.19093551382472,72,-13.53286609219011,2.19648134782478,6.58944404347434,-0.6869156943576367,-2.227140292229133,FAIL
