state,structure,location,quality,momentum,bars,share_pct,populated
uptrend|breaking out|clean|contracting,uptrend,breaking out,clean,contracting,252,0.134,False
uptrend|breaking out|messy|contracting,uptrend,breaking out,messy,contracting,228,0.121,False
transition|breaking out|messy|contracting,transition,breaking out,messy,contracting,210,0.112,False
transition|breaking down|clean|contracting,transition,breaking down,clean,contracting,208,0.111,False
transition|breaking out|clean|stalling,transition,breaking out,clean,stalling,195,0.104,False
downtrend|breaking down|clean|contracting,downtrend,breaking down,clean,contracting,190,0.101,False
uptrend|breaking out|messy|stalling,uptrend,breaking out,messy,stalling,184,0.098,False
transition|breaking down|messy|contracting,transition,breaking down,messy,contracting,183,0.097,False
transition|breaking out|messy|stalling,transition,breaking out,messy,stalling,175,0.093,False
downtrend|breaking down|messy|contracting,downtrend,breaking down,messy,contracting,167,0.089,False
downtrend|breaking out|clean|contracting,downtrend,breaking out,clean,contracting,157,0.084,False
uptrend|breaking out|clean|stalling,uptrend,breaking out,clean,stalling,155,0.083,False
transition|breaking down|clean|stalling,transition,breaking down,clean,stalling,150,0.08,False
transition|breaking down|messy|stalling,transition,breaking down,messy,stalling,148,0.079,False
downtrend|breaking down|clean|stalling,downtrend,breaking down,clean,stalling,146,0.078,False
downtrend|breaking down|messy|stalling,downtrend,breaking down,messy,stalling,139,0.074,False
uptrend|breaking down|clean|contracting,uptrend,breaking down,clean,contracting,115,0.061,False
downtrend|breaking out|messy|contracting,downtrend,breaking out,messy,contracting,111,0.059,False
uptrend|breaking down|clean|stalling,uptrend,breaking down,clean,stalling,95,0.051,False
downtrend|breaking out|clean|stalling,downtrend,breaking out,clean,stalling,94,0.05,False
uptrend|breaking down|messy|contracting,uptrend,breaking down,messy,contracting,90,0.048,False
uptrend|breaking down|messy|stalling,uptrend,breaking down,messy,stalling,69,0.037,False
downtrend|breaking out|messy|stalling,downtrend,breaking out,messy,stalling,61,0.032,False
chop|breaking down|messy|expanding,chop,breaking down,messy,expanding,1,0.001,False
range|breaking down|clean|expanding,range,breaking down,clean,expanding,1,0.001,False
range|at range low|clean|contracting,range,at range low,clean,contracting,1,0.001,False
chop|at range low|messy|contracting,chop,at range low,messy,contracting,1,0.001,False
range|at range low|clean|expanding,range,at range low,clean,expanding,1,0.001,False
chop|at range low|messy|expanding,chop,at range low,messy,expanding,1,0.001,False
range|at range low|clean|stalling,range,at range low,clean,stalling,1,0.001,False
