shape,exit,session,signals,tr_n,tr_exp,tr_win_pct,tr_avg_lev,tr_med_hold_h,tr_pct_of_position,tr_cost_multiple_12bps,skipped_no_structure
breakout_24h,structure_trail_only,all_hours,911,271,-11.891041358656205,38.74538745387454,0.959743872914448,24.0,-0.14583249126824022,-1.2152707605686688,0
breakout_24h,structure_trail_only,london_ny,723,241,-9.067276475636262,39.41908713692946,0.9589155013922531,24.0,-0.10692865361827363,-0.8910721134856135,0
breakout_24h,structure_trail_only,asia_off,188,109,-21.17597986534374,38.53211009174312,0.8487024095216753,24.0,-0.28145589312370206,-2.3454657760308506,0
breakout_24h,structure_stop_2R,all_hours,911,268,-14.070155229618365,41.04477611940299,0.931556352648939,24.0,-0.17616858415732517,-1.4680715346443762,0
breakout_24h,structure_stop_2R,london_ny,723,241,-15.112733486314978,39.83402489626556,0.9420424704613862,24.0,-0.19294926192457604,-1.6079105160381337,0
breakout_24h,structure_stop_2R,asia_off,188,106,-23.930851362841562,42.45283018867924,0.8412314956429285,24.0,-0.3353891518588075,-2.794909598823396,0
rsi2_reversion,structure_trail_only,all_hours,448,212,-38.3464615727236,28.30188679245283,3.758999486498789,13.5,-0.22579682938715726,-1.881640244892977,0
rsi2_reversion,structure_trail_only,london_ny,281,150,-52.04984307512809,30.0,3.787338545778125,16.0,-0.2781333970209609,-2.317778308508008,0
rsi2_reversion,structure_trail_only,asia_off,167,96,-47.53611678648042,23.958333333333336,3.6164146451425006,10.5,-0.18553057038078075,-1.5460880865065063,0
rsi2_reversion,structure_stop_2R,all_hours,448,199,-42.772610100506355,35.175879396984925,3.562688360388815,19.0,-0.2556228511455246,-2.130190426212705,0
rsi2_reversion,structure_stop_2R,london_ny,281,140,-51.486863867589065,38.57142857142858,3.4860289458855966,24.0,-0.25842152906537713,-2.153512742211476,0
rsi2_reversion,structure_stop_2R,asia_off,167,95,-66.95003973976695,30.526315789473685,3.5532635415980347,12.0,-0.3187568060293084,-2.656306716910903,0
range_expansion,structure_trail_only,all_hours,739,259,-27.842076901949813,36.293436293436294,1.775507768805534,22.0,-0.23508668908231678,-1.9590557423526398,0
range_expansion,structure_trail_only,london_ny,663,251,-24.261611526636102,37.45019920318725,1.739485859551226,23.0,-0.1992924452947539,-1.6607703774562825,0
range_expansion,structure_trail_only,asia_off,76,38,-9.271379350896488,42.10526315789473,2.2883838135970533,24.0,-0.039025619447729185,-0.3252134953977433,0
range_expansion,structure_stop_2R,all_hours,739,252,-23.78883060390983,41.269841269841265,1.7128153703466513,24.0,-0.1883223066530457,-1.5693525554420475,2
range_expansion,structure_stop_2R,london_ny,663,244,-20.364489003077345,41.39344262295082,1.6134967460526854,24.0,-0.16620881047649888,-1.3850734206374906,2
range_expansion,structure_stop_2R,asia_off,76,39,-35.84664253187971,46.15384615384615,2.326417236621094,24.0,-0.16674806000485023,-1.3895671667070852,0
