slice,leg_start,delay_bars,immediate,gated
train,99,0,-153.7504399866648,-153.7504399866648
train,143,0,-64.17439428978246,-64.17439428978246
train,177,0,206.5687870019167,206.5687870019167
train,299,0,-29.154140653285523,-29.154140653285523
train,397,3,-36.497497130866954,-112.49787644566257
train,714,32,686.1830175259834,-18.668571721489748
train,962,10,-210.08621551355176,-496.8825689433835
train,1173,90,3495.916086243,466.949439840458
train,1501,0,-51.1491332144739,-51.1491332144739
train,1586,11,894.1539419107783,406.7782721639896
train,1875,0,797.6983352153306,797.6983352153306
train,2091,0,19.846346988876007,19.846346988876007
train,2221,0,-106.32753799050676,-106.32753799050676
train,2413,0,-82.92281204394328,-82.92281204394328
train,2618,0,-206.47146305799325,-206.47146305799325
train,2664,0,-55.41995383306063,-55.41995383306063
train,2798,0,-155.46569963872545,-155.46569963872545
train,2916,0,340.3771004289144,340.3771004289144
train,3253,0,-205.90975584150564,-205.90975584150564
train,3336,0,291.9919470655063,291.9919470655063
train,3530,0,-121.75643692837612,-121.75643692837612
train,3555,1,-51.528008879813456,-99.85977925772181
train,3830,0,-85.45210154701303,-85.45210154701303
train,4083,0,763.2727049652821,763.2727049652821
train,4085,0,379.77758042261206,379.77758042261206
train,4238,0,-159.89891767011363,-159.89891767011363
train,4292,0,-32.686957389249045,-32.686957389249045
train,4337,0,339.2730357205161,339.2730357205161
train,4780,0,-153.25781510180397,-153.25781510180397
train,5007,0,-139.22630873742608,-139.22630873742608
train,5056,0,111.72218469071886,111.72218469071886
train,5396,0,-47.198659098807845,-47.198659098807845
train,5512,0,51.447813861546514,51.447813861546514
train,5520,0,20.896022232245073,20.896022232245073
train,5661,86,236.104864650979,-206.59525559393109
train,6093,54,2263.282729565192,143.72667106376412
train,6350,0,-78.23694462742331,-78.23694462742331
train,6506,0,59.22459443688254,59.22459443688254
train,6661,62,534.7796455905551,-110.44978052071636
train,6779,0,-179.0677525632496,-179.0677525632496
train,6814,0,-175.58571102784032,-175.58571102784032
train,7085,14,322.28024155043687,-8.499211580880624
train,7807,38,699.8891671019167,131.08312761762022
train,8196,5,-75.3534264004352,-62.04976247932903
train,8268,6,-205.40004969934103,105.98717885488382
val,8429,17,516.3503453918119,1561.9597002449011
val,8777,0,-240.12952089246986,-240.12952089246986
val,8845,5,-143.34489656660585,-164.88691596640203
val,9019,0,-50.752368083077315,-50.752368083077315
val,9071,3,436.57404045120876,25.43420490352571
val,9437,0,47.27303615782368,47.27303615782368
val,9646,0,210.8346844763417,210.8346844763417
val,9797,2,15.911081988610725,-51.762062101037635
val,9984,7,93.86919619644515,28.94992260684101
val,10120,0,428.54802317442085,428.54802317442085
val,10475,27,-80.52136263844295,-210.66554093274098
val,10547,2,36.72735397134835,47.78404879418632
val,10634,6,-190.69911948553553,-181.21175713523198
val,11068,0,-18.36229322494107,-18.36229322494107
