cadence,mean_pct,median_pct,t_naive,t_by_day,n,days,stop_distances
Bybit 8-hourly (the real series),8.179926658163107e-05,0.0,0.27417880886918516,0.6437787877730065,68992,2031.0,0.0003457849951870963
once-daily mark 20:00 UTC,-0.00025240264088590304,0.0,-0.7352629546348226,-0.5337959271632162,68992,2031.0,-0.0010669661185390312
once-daily mark 21:00 UTC,-0.00019079681702226624,0.0,-0.5529140578581184,-0.3704546871577073,68992,2031.0,-0.0008065436184555348
"Bybit 8h, gap-clean holds only",0.0002521667034248309,0.0,1.6733186294182898,2.1670993010257393,63478,,0.0010659687546597366
