edge,tf,config,tr_n,tr_exp,tr_win,va_n,va_exp,va_win,combined_n,combined_exp,stop_pct,target_pct,max_hold_h,chance_pctile,avg_notional,edge_pct_notional,thickness_x_cost,worst_adverse_pct,p5_adverse_pct,median_move_pct,verdict,note
1_CHoCH_confluence>=2,1h,k8 thresh>=2 tgt2x,51,165.11298592127886,43.13725490196079,20,356.2183089864087,50.0,71,218.945471291738,6.0,12.0,240.0,95.0,14470.794889977902,1.5130162023329758,8.405645568516533,-6.031800000000016,-6.031800000000008,-6.028199999999993,SURVIVOR,
2_4h_hidden_RSI_divergence,4h,RSI14 k8 buf0.35% tgt3x hold48h,55,-13.133273074217637,40.0,17,95.81500893475962,64.70588235294117,72,12.590626844568659,4.0,12.0,48.0,72.0,11462.468490096233,0.10984219372508787,0.6102344095838216,-4.031200000000017,-4.031200000000005,-2.130363941213737,FAIL,
3_4h_vol_gated_trend,4h,fast20/slow100 gate1.5% -8%SL,40,-72.12902224291204,22.5,12,103.01779200843066,41.66666666666667,52,-31.710526646448336,8.0,,,,7021.541430331403,-0.45161773894071666,-2.508987438559537,-8.027600000000003,-8.027600000000001,-7.2145787222066255,FAIL,"chance baseline N/A (state-machine trend, not fixed-hold entries) — time-in-market 46.8%, gate open 96.7%, SOL median train ATR% 3.069%"
4_1h_RSI3_washout_dipbuy,1h,RSI3<10 1d-trend-gate turn-guard hold4h,22,-84.0597155838283,4.545454545454546,5,91.72204357513874,80.0,27,-51.50753796179736,1.0,1.5,4.0,1.0,9279.589731990282,-0.555062663861434,-3.0836814658968557,-1.0303000000000129,-1.030300000000009,-1.0296999999999998,FAIL,
5_1h_news_momentum_firstbar,1h,stop1.2% tgt2.4% hold24h,201,-5.987500817004906,36.318407960199,67,-29.327672057547755,29.850746268656714,268,-11.822543627140618,1.2,2.4,24.0,66.0,9674.487253638155,-0.12220330976915258,-0.6789072764952921,-1.2303600000000132,-1.2303600000000043,-1.2296399999999972,FAIL,
