construction,n,expectancy,total_return_pct,max_dd_pct,trades_per_day
ALWAYS-ON-RACK,273,18.66781157468602,50.963125598892844,-23.241027830629772,0.590323452563294
R66-OR-UNION,276,18.61552451442506,51.378847659813154,-17.94756146529029,0.5968105234705829
R2a-top1-REAL,55,95.29968637840001,52.414827508120055,-11.338405853571677,0.11892963330029734
R2a-top1-DUMB,44,-56.460569775257774,-24.842650701113367,-24.84265070111337,0.09514370664023786
R2a-top2-REAL,78,89.37087452065322,69.70928212610958,-14.27413008995709,0.16866384358951259
R2a-top2-DUMB,37,116.60831757863427,43.14507750409469,-9.252428300614996,0.08000720785656366
R2a-top3-REAL,98,47.346781168595776,46.39984554522387,-21.560242156013036,0.21191098297143887
R2a-top3-DUMB,104,19.489308702774636,20.268881050885533,-19.77637982964751,0.22488512478601677
R2b-REAL,212,27.764231724358876,58.86017125564087,-24.49443692983062,0.45841967744841877
R2b-DUMB,188,29.972628899660968,56.34854233136251,-12.244960372772063,0.40652311019010723
R2c-REAL,277,26.822110898706548,74.29724718941716,-17.947561465290363,0.5989728804396792
R2c-DUMB,260,34.98401148864204,90.95842987046927,-18.75188458926022,0.5622128119650419
R2d-REAL,276,12.329252550013491,34.02873703803737,-19.56554327681667,0.5968105234705829
R2d-DUMB,276,4.663797071515428,12.872079917382617,-25.818155596550273,0.5968105234705829
R2c-notrend,275,38.98031609837553,107.19586927053295,-12.08027080934678,0.5946481665014867
R2c-novol,276,22.588319596225787,62.343762085583165,-17.947561465290416,0.5968105234705829
R2c-nocrowd,274,16.851961464652423,46.174374413147646,-24.873275682174548,0.5924858095323904
R2c-nonews,277,26.822110898706548,74.29724718941716,-17.947561465290363,0.5989728804396792
R2c-nosession,278,27.618839537678873,76.78037391474722,-17.71128618965353,0.6011352374087756
