family,config,tf,tr_n,tr_exp,tr_win%,tr_ret%,tr_dd%,va_n,va_exp,va_win%,va_ret%,va_dd%,med_hold_h,mean_hold_h,verdict,oscillator,k,flavor,buffer_pct,stop_pct,target_pct,max_hold_h,filter_name,exit_n,setup,trigger,level,cost_bps_per_trade,clears_9bps_floor
1-divergence,MACDhist k5 regular buf0.35% tgt3x hold96h,4h,131,-15.677969153633843,37.404580152671755,-20.53813959126033,-44.46765668302398,40,-53.182770716488946,37.5,-21.273108286595576,-25.03285407812553,64.0,58.198830409356724,FAIL,MACDhist,5.0,regular,0.35,3.23356073171373,9.700682195141189,96.0,,,,,,,
1-divergence,MACDhist k5 hidden buf0.15% tgt2x hold48h,4h,114,-32.49719063044578,34.21052631578947,-37.046797318708194,-58.20828102112551,48,40.961598798959585,45.83333333333333,19.661567423500603,-11.065061524641516,28.0,28.19753086419753,FAIL,MACDhist,5.0,hidden,0.15,2.855959829025095,5.71191965805019,48.0,,,,,,,
1-divergence,MACDhist k5 hidden buf0.15% tgt2x hold96h,4h,104,-24.999752161280455,37.5,-25.99974224773167,-52.560877081286186,44,27.183945890092755,45.45454545454545,11.960936191640803,-10.771577489095998,28.0,40.08108108108108,FAIL,MACDhist,5.0,hidden,0.15,2.855959829025095,5.71191965805019,96.0,,,,,,,
1-divergence,MACDhist k5 hidden buf0.15% tgt3x hold48h,4h,114,-43.78354028443537,31.57894736842105,-49.91323592425633,-63.64908642045566,48,24.365068219619843,43.75,11.695232745417528,-11.065061524641436,40.0,31.530864197530864,FAIL,MACDhist,5.0,hidden,0.15,2.855959829025095,8.567879487075285,48.0,,,,,,,
1-divergence,MACDhist k5 hidden buf0.15% tgt3x hold96h,4h,104,-26.31590324250246,34.61538461538461,-27.368539372202562,-49.73792541660168,44,0.011865099480515213,40.909090909090914,0.005220643771419731,-21.53489346888732,40.0,47.486486486486484,FAIL,MACDhist,5.0,hidden,0.15,2.855959829025095,8.567879487075285,96.0,,,,,,,
1-divergence,MACDhist k5 hidden buf0.35% tgt2x hold48h,4h,114,-33.2384269195155,35.96491228070175,-37.89180668824768,-62.6889975852568,48,74.89811192308476,50.0,35.951093723080696,-10.756085458824469,36.0,30.962962962962962,FAIL,MACDhist,5.0,hidden,0.35,3.0559598290250953,6.111919658050191,48.0,,,,,,,
1-divergence,MACDhist k5 hidden buf0.35% tgt2x hold96h,4h,104,-33.11138730796934,37.5,-34.43584280028811,-55.44190491541777,44,71.30868945821699,50.0,31.375823361615485,-11.352121894758685,36.0,44.62162162162162,FAIL,MACDhist,5.0,hidden,0.35,3.0559598290250953,6.111919658050191,96.0,,,,,,,
1-divergence,MACDhist k5 hidden buf0.35% tgt3x hold48h,4h,114,-38.7646183342509,33.33333333333333,-44.191664901046025,-65.88225550529032,48,47.86709239986476,47.91666666666667,22.97620435193508,-11.242489518084449,48.0,33.53086419753087,FAIL,MACDhist,5.0,hidden,0.35,3.0559598290250953,9.167879487075286,48.0,,,,,,,
1-divergence,MACDhist k5 hidden buf0.35% tgt3x hold96h,4h,104,-30.268681686519333,35.57692307692308,-31.479428953980104,-55.63784351642037,44,22.178182122722237,45.45454545454545,9.75840013399778,-18.346831964643258,48.0,51.891891891891895,FAIL,MACDhist,5.0,hidden,0.35,3.0559598290250953,9.167879487075286,96.0,,,,,,,
1-divergence,MACDhist k8 regular buf0.15% tgt2x hold48h,4h,125,36.174914601369586,52.800000000000004,45.21864325171199,-25.800384963698384,42,-31.578850124778477,52.38095238095239,-13.263117052406958,-22.354779742679177,48.0,37.34131736526946,FAIL,MACDhist,8.0,regular,0.15,3.509834351948745,7.01966870389749,48.0,,,,,,,
