family,config,symbol,tf,stop%,target%,tr_n,tr_exp,tr_win%,tr_ret%,tr_dd%,va_n,va_exp,va_win%,va_ret%,va_dd%,verdict
B-rsi-divergence,k=5 regular-bullish (reversal-warning),SPY,1d,1.97857495599273,,49,-41.54452609429282,40.816326530612244,-20.356817786203486,-21.744433193198372,15,-9.280180782960937,53.333333333333336,-1.392027117444139,-7.134417559147834,FAIL
B-rsi-divergence,k=5 hidden-bullish (trend-confirmation-gated),SPY,1d,1.97857495599273,,68,-7.992751552959228,50.0,-5.435071056012275,-15.968558466698198,27,16.806358953317613,62.96296296296296,4.537716917395751,-3.839447918434618,FAIL
B-rsi-divergence,k=5 regular-bearish (reversal-warning),SPY,1d,1.97857495599273,,81,-27.33681806367861,33.33333333333333,-22.142822631579673,-23.44752787868484,34,-11.433390473550924,23.52941176470588,-3.887352761007312,-6.099156635337781,FAIL
B-rsi-divergence,k=5 hidden-bearish (trend-confirmation-gated),SPY,1d,1.97857495599273,,34,-11.878045119231073,26.47058823529412,-4.038535340538562,-17.08846034081027,7,14.93394340667094,42.857142857142854,1.045376038466972,-3.5708589244142144,FAIL
B-rsi-divergence,k=8 regular-bullish (reversal-warning),SPY,1d,1.97857495599273,,34,24.910403572088185,58.82352941176471,8.46953721450998,-7.9246450056289355,6,0.4803919873235524,33.33333333333333,0.02882351923940707,-1.240116624751225,INSUFFICIENT-SAMPLE
B-rsi-divergence,k=8 hidden-bullish (trend-confirmation-gated),SPY,1d,1.97857495599273,,46,-7.883429332345694,56.52173913043478,-3.6263774928790182,-9.637094271540542,22,-10.662126726928198,68.18181818181817,-2.345667879924207,-5.964648581894057,FAIL
B-rsi-divergence,k=8 regular-bearish (reversal-warning),SPY,1d,1.97857495599273,,54,-20.39159778518883,40.74074074074074,-11.01146280400197,-15.444541028732223,17,-39.09793926220696,17.647058823529413,-6.646649674575178,-7.388475383450702,FAIL
B-rsi-divergence,k=8 hidden-bearish (trend-confirmation-gated),SPY,1d,1.97857495599273,,26,21.27927926169951,42.30769230769231,5.532612608041876,-13.251827275458389,3,107.85314866375909,33.33333333333333,3.2355944599127717,-4.163030431613032,INSUFFICIENT-SAMPLE
B-rsi-divergence,k=5 regular-bullish (reversal-warning),ES,1d,2.0402621987498613,,48,-20.320673362582472,50.0,-9.753923214039585,-15.570218207170011,10,35.07229709301428,60.0,3.507229709301418,-2.9307840525322324,FAIL
B-rsi-divergence,k=5 hidden-bullish (trend-confirmation-gated),ES,1d,2.0402621987498613,,56,-26.817620908831,55.35714285714286,-15.017867708945365,-17.048774758976286,21,7.317187626164967,76.19047619047619,1.5366094014946485,-2.132825381785127,FAIL
B-rsi-divergence,k=5 regular-bearish (reversal-warning),ES,1d,2.0402621987498613,,51,-32.65379838785128,25.49019607843137,-16.653437177804154,-20.670111005848575,26,-34.22590783959955,23.076923076923077,-8.898736038295885,-8.948491359917353,FAIL
B-rsi-divergence,k=5 hidden-bearish (trend-confirmation-gated),ES,1d,2.0402621987498613,,30,17.2071599253383,43.333333333333336,5.162147977601483,-13.998604029468298,2,-170.83377877196835,0.0,-3.416675575439365,-3.450023762110159,FAIL
B-rsi-divergence,k=8 regular-bullish (reversal-warning),ES,1d,2.0402621987498613,,29,34.0208922256407,62.06896551724138,9.8660587454358,-8.627702260326554,5,-60.06523201373966,20.0,-3.0032616006869794,-3.378730838351439,FAIL
B-rsi-divergence,k=8 hidden-bullish (trend-confirmation-gated),ES,1d,2.0402621987498613,,32,-30.133087739909456,53.125,-9.64258807677103,-10.983366249297806,18,4.09365745611942,55.55555555555556,0.7368583421014874,-4.251539136126648,FAIL
B-rsi-divergence,k=8 regular-bearish (reversal-warning),ES,1d,2.0402621987498613,,33,-51.09573262924895,27.27272727272727,-16.86159176765215,-17.28460971504437,11,-116.39584276963268,9.090909090909092,-12.803542704659598,-13.04163345453961,FAIL
B-rsi-divergence,k=8 hidden-bearish (trend-confirmation-gated),ES,1d,2.0402621987498613,,24,-30.89411221384944,29.166666666666668,-7.414586931323863,-11.731037762638476,2,129.9042733973938,50.0,2.598085467947886,-6.486186884306765,FAIL
