sym,tf,volstar,multiple,days
BTCUSD,1,0.013033352964574158,3.9700487708232703,2031
BTCUSD,5,0.007189303792447705,7.182106984298869,2032
BTCUSD,15,0.0053881948099117295,9.647262122245536,1995
BTCUSD,60,0.0035763454570402376,14.596094320357679,1227
ETHUSD,1,0.039131522986596175,1.7294761862940895,2030
ETHUSD,5,0.021372505225923936,3.147211454537792,2031
ETHUSD,15,0.0160884187412882,4.1808828040120245,2007
ETHUSD,60,0.009854447582955363,6.8867177705050855,1243
SOLUSD,1,0.016833531832268493,5.61537261656288,1614
SOLUSD,5,0.01020375783397165,9.166584535645475,1615
SOLUSD,15,0.006799799741134498,13.845121041437897,1601
SOLUSD,60,0.004074437781970573,23.246591755136695,1006
