label,entries,days,gross,t_gross_day,grossR,netR,t_netR_day,stop,stop_vol,cost_over_stop,tight,hold_h
 1m  rule1 ON  + rule2 ON   (= arm A),78095,2033,0.12204884886708307,9.301064684676968,0.30679259025891076,-0.02076886555568509,0.4838642511806579,0.45759677780262753,6.672055769592555,0.32756145581459584,3.8760484025865933,2.05
 1m  rule1 ON  + rule2 OFF,77855,2033,0.12624991876171401,10.135574107645024,0.3541410086593718,-0.30368496268695844,-3.6012320050936744,0.38116534390714624,5.649062159384632,0.6578259713463303,8.962815490334597,1.4666666666666666
 1m  rule1 OFF + rule2 ON,70778,2033,0.14480800140468358,12.529194036068844,0.5376941034881648,-0.017872418903215833,-0.39595708656935563,0.31171894960542557,4.532413240395304,0.5555665223913806,7.995422306366386,1.1
 1m  rule1 OFF + rule2 OFF  (= arm B),71073,2033,0.14349084410889182,13.769953128337654,0.6397058286831341,-0.547482033073607,-4.91759564464006,0.24167619705241244,3.5951300540013156,1.1871878617567408,16.28607206674827,0.6166666666666667
 1m  [random entry control],34905,2033,-0.008256032460393973,-0.7807138148713412,0.36893825340891745,-2.6191387278254017,-8.002093691783793,0.14588424973727185,2.209713197210168,2.988076981234319,33.23879100415413,0.18333333333333332
 5m  rule1 ON  + rule2 ON   (= arm A),75023,2033,0.029622619982807335,3.302541414517691,0.07972768119131639,-0.118433507662971,-4.035799294892496,0.6627699478087105,9.75723729814685,0.19816118885428738,1.1463151300267918,3.5833333333333335
 5m  rule1 ON  + rule2 OFF,77032,2033,0.03583847849530416,3.8526043972261435,0.0751982599572893,-0.1932912414785591,-6.687918793713106,0.6034101463198946,9.011975801800512,0.2684895014358484,2.531415515629868,3.0
 5m  rule1 OFF + rule2 ON,66746,2033,0.09729733954527521,8.22463714996541,0.24532064805115794,-0.07417797686976002,-1.0817408959138017,0.5230743697277285,7.715276629254953,0.31949862492091796,2.6698229107362237,2.8333333333333335
 5m  rule1 OFF + rule2 OFF  (= arm B),70194,2033,0.10445439136688328,9.152269203529928,0.3588480246730215,-0.09084563902171672,-0.5577328537839734,0.46925172394582026,7.088142217486569,0.44969366369473823,5.097301763683506,2.3333333333333335
 5m  [random entry control],41623,2033,0.002355167473469809,0.0636923523961624,0.1492579918555368,-1.3381966637562859,-13.46107034852799,0.2667100404404206,4.102274239651987,1.4874546556118227,18.232707877855994,0.75
15m  rule1 ON  + rule2 ON   (= arm A),45939,2033,0.021838318595092283,3.0827407961262234,0.05876328872809744,-0.08770593065808568,-1.9530920608441156,0.9092509811858188,13.38146965851629,0.1464692193861831,0.5006639238990837,6.25
15m  rule1 ON  + rule2 OFF,47371,2033,0.022622616098657858,3.148486312461303,0.051385449509801576,-0.16722129312843068,-3.7438459837204645,0.8031177898121948,12.08119831315572,0.2186067426382323,1.650799012053788,5.0
15m  rule1 OFF + rule2 ON,46981,2033,0.049742682802661205,4.293162543332309,0.11482093570062922,-0.07303708567249749,-1.348330196762832,0.7992643135295846,11.860466657423832,0.1878580213731267,1.1302441412485897,5.25
15m  rule1 OFF + rule2 OFF  (= arm B),48273,2033,0.04948949960791966,4.431958957933963,0.14068214615872554,-0.15688975724391,-2.3516641547107304,0.706264085196107,10.678264006994565,0.29757190340263556,2.674372837818242,4.25
15m  [random entry control],43004,2033,-0.008345286772137729,-0.5678776988256369,0.15864508689077897,-0.8025156235425229,-7.419998829673857,0.45245088096195185,7.028951571718961,0.9611607104333019,10.180448330387872,2.0
60m  rule1 ON  + rule2 ON   (= arm A),18958,2022,0.020503347312809703,3.0167984279525255,0.04101541005957223,-0.04564375943944306,0.8102802433468689,1.506312349788793,21.70254610600383,0.08665916949901525,0.10022154235678868,15.0
60m  rule1 ON  + rule2 OFF,17961,2022,0.021282631685618746,2.891664910886266,0.04850046286484945,-0.1131517068677888,-0.8160881845584861,1.2360813998135174,18.15698974343906,0.16165216973263827,0.807304715773064,10.0
60m  rule1 OFF + rule2 ON,20369,2022,0.01733970921947955,3.0499427310998772,0.042172382731182984,-0.0515927885125454,0.6436291787026536,1.4287781736142928,20.825272111361297,0.09376517124372835,0.19637684716971868,14.0
60m  rule1 OFF + rule2 OFF  (= arm B),18536,2022,0.022393862210087784,3.0739301376568746,0.05036124950163604,-0.11815832873932508,-0.9559026538577743,1.1758921013302435,17.40677527894745,0.16851957824096106,0.9333189469141131,9.0
60m  [random entry control],43516,2033,-0.018981904221986888,-0.6472157684753824,0.044594793629096095,-0.5777448593664583,-2.679359128230443,0.9524468425399367,14.780845019855303,0.6223396529955544,4.005423292582039,8.0
5m R450 native arm A verbatim,75023,2033,0.029622619982807335,3.302541414517691,0.07972768119131639,-0.118433507662971,-4.035799294892496,0.6627699478087105,9.75723729814685,0.19816118885428738,1.1463151300267918,3.5833333333333335
