asset,symbol,split,entry_time,exit_time,direction,entry_price,exit_price,units,fees,funding,pnl,is_win
SOL,SOLUSDT,train,2021-10-17 09:00:00+00:00,2021-10-17 16:00:00+00:00,1,166.51,160.835,60.05645306588193,3.9318359257702244,12.362369441024562,-357.11457651567434,False
SOL,SOLUSDT,train,2021-10-20 12:00:00+00:00,2021-10-21 16:00:00+00:00,1,160.225,182.805,60.18340098913607,4.128942408260669,17.83424853537084,1336.978003391061,True
SOL,SOLUSDT,train,2021-10-22 01:00:00+00:00,2021-10-22 18:00:00+00:00,1,200.26,202.725,54.828040681491,4.418975594806129,21.73655614847204,108.99558853659619,True
SOL,SOLUSDT,train,2021-10-24 12:00:00+00:00,2021-10-24 21:00:00+00:00,-1,189.18,194.08,58.615387543144,4.492986685957074,-16.568497702627912,-275.1398879447315,False
SOL,SOLUSDT,train,2021-10-26 23:00:00+00:00,2021-10-28 06:00:00+00:00,-1,198.63,190.96,54.44152004967654,4.241974359230697,-26.54308525474145,439.8675696765258,True
SOL,SOLUSDT,train,2021-10-28 09:00:00+00:00,2021-10-29 08:00:00+00:00,1,197.45,198.28,56.99461482473425,4.510895784918417,3.389039827547862,39.40559469206346,True
SOL,SOLUSDT,train,2021-10-31 22:00:00+00:00,2021-11-01 15:00:00+00:00,1,204.29,202.2,55.279222144186406,4.494090201878066,11.547395571282106,-131.5750600545107,False
SOL,SOLUSDT,train,2021-11-02 16:00:00+00:00,2021-11-03 16:00:00+00:00,1,209.09,225.495,53.380923199489835,4.639709701730058,26.190455832695264,844.8838795532065,True
SOL,SOLUSDT,train,2021-11-04 21:00:00+00:00,2021-11-05 03:00:00+00:00,1,248.54,241.845,48.30731918940427,4.737836944139202,0.9421746767303176,-329.0975135939316,False
SOL,SOLUSDT,train,2021-11-07 20:00:00+00:00,2021-11-08 16:00:00+00:00,-1,247.27,248.575,47.22450599644358,4.683207035161313,-11.603278331851213,-54.70790902866429,False
SOL,SOLUSDT,train,2021-11-09 16:00:00+00:00,2021-11-10 08:00:00+00:00,-1,240.91,241.145,48.24413967337155,4.651265750049424,-36.00645606990863,20.01781749662223,True
SOL,SOLUSDT,train,2021-11-10 21:00:00+00:00,2021-11-11 04:00:00+00:00,-1,230.035,239.19,50.611922125800696,4.749675831895766,-16.0424952369352,-452.05932765666876,False
SOL,SOLUSDT,train,2021-11-13 15:00:00+00:00,2021-11-14 08:00:00+00:00,1,234.7,235.4,47.679821808913054,4.4828568464740055,6.053352348490465,22.83966607127695,True
SOL,SOLUSDT,train,2021-11-19 15:00:00+00:00,2021-11-20 07:00:00+00:00,1,215.085,213.965,52.13424387857438,4.473639467220468,2.2511305835549025,-65.11512319477879,False
SOL,SOLUSDT,train,2021-11-20 16:00:00+00:00,2021-11-20 19:00:00+00:00,-1,207.465,216.305,53.7352262860164,4.554275368645033,-0.4269162974874716,-479.14675943954535,False
SOL,SOLUSDT,train,2021-11-21 18:00:00+00:00,2021-11-22 04:00:00+00:00,1,221.48,220.58,48.171536761734004,4.258941908178427,1.8849115140866268,-49.49823650782491,False
SOL,SOLUSDT,train,2021-11-26 09:00:00+00:00,2021-11-26 20:00:00+00:00,-1,190.46,197.775,55.757291428546786,4.329386407552373,-4.610918167635088,-407.58305503974043,False
SOL,SOLUSDT,train,2021-11-28 02:00:00+00:00,2021-11-28 21:00:00+00:00,-1,187.34,192.34,54.51025232433693,4.1392905205008494,-2.4450335197727413,-274.2455186224179,False
SOL,SOLUSDT,train,2021-11-28 22:00:00+00:00,2021-11-29 23:00:00+00:00,1,198.4,204.67,50.08923967650637,4.037893967281884,3.199453314914324,306.8221854894982,True
SOL,SOLUSDT,train,2021-11-30 13:00:00+00:00,2021-12-01 00:00:00+00:00,1,214.89,208.415,47.6733553786047,4.036073939708052,1.3943651960369863,-314.11541521220715,False
SOL,SOLUSDT,train,2021-12-01 10:00:00+00:00,2021-12-02 04:00:00+00:00,1,223.45,224.44,44.44131538194744,3.980964149284088,2.2646544371443347,37.751283641700866,True
SOL,SOLUSDT,train,2021-12-02 21:00:00+00:00,2021-12-03 03:00:00+00:00,1,239.4,228.295,41.6381086288131,3.8947870430305485,0.7308607088526098,-467.016844074853,False
SOL,SOLUSDT,train,2021-12-03 17:00:00+00:00,2021-12-04 15:00:00+00:00,-1,219.61,202.885,43.263723699571976,3.6557413888901324,-2.398002749340758,722.3280402357923,True
SOL,SOLUSDT,train,2021-12-05 16:00:00+00:00,2021-12-06 00:00:00+00:00,-1,185.195,196.16,55.203835966947246,4.210451773035033,-1.0525335877445559,-608.4679795628654,False
SOL,SOLUSDT,train,2021-12-06 10:00:00+00:00,2021-12-06 16:00:00+00:00,-1,178.695,188.19,53.80680165833364,3.948181685283547,-0.7353405660883057,-514.1084228650743,False
SOL,SOLUSDT,train,2021-12-12 18:00:00+00:00,2021-12-13 01:00:00+00:00,1,175.435,170.565,51.876182058716076,3.5898317984631527,0.7874674746057952,-257.0143058990161,False
SOL,SOLUSDT,train,2021-12-15 20:00:00+00:00,2021-12-16 20:00:00+00:00,1,175.14,180.31,50.496081383874845,3.5897664255796626,2.7403907766520232,254.7345835524029,True
SOL,SOLUSDT,train,2021-12-22 06:00:00+00:00,2021-12-22 18:00:00+00:00,1,184.145,180.415,49.410075088241555,3.6025873948338685,1.366596209309357,-189.2687636832834,False
SOL,SOLUSDT,train,2021-12-23 17:00:00+00:00,2021-12-24 12:00:00+00:00,1,184.255,188.955,48.35336633166513,3.6091919697281485,2.1759861033160113,221.47564368578242,True
SOL,SOLUSDT,train,2021-12-24 16:00:00+00:00,2021-12-24 23:00:00+00:00,1,195.495,190.73,46.70618254751651,3.607819070882913,3.841057585986757,-230.00383649578725,False
SOL,SOLUSDT,train,2021-12-26 11:00:00+00:00,2021-12-27 09:00:00+00:00,1,197.335,196.565,45.10513249363242,3.5533823378483618,2.459850686601957,-40.74418504454843,False
SOL,SOLUSDT,train,2021-12-28 02:00:00+00:00,2021-12-29 19:00:00+00:00,-1,191.735,176.525,46.21001452831462,3.403459990039429,-7.495332028459595,706.9461930140988,True
SOL,SOLUSDT,train,2021-12-30 00:00:00+00:00,2021-12-30 08:00:00+00:00,-1,170.71,173.8,56.04254776287566,3.861443625957659,-0.9614974733530114,-176.0714187398953,False
SOL,SOLUSDT,train,2022-01-01 20:00:00+00:00,2022-01-02 08:00:00+00:00,1,177.325,175.9,52.95898440637592,3.7412874533884266,1.408189325175112,-80.61602955764829,False
SOL,SOLUSDT,train,2022-01-05 18:00:00+00:00,2022-01-06 17:00:00+00:00,-1,163.51,150.36,56.94046774082907,3.574380921962804,-2.5516607393775725,747.7444306093203,True
SOL,SOLUSDT,train,2022-01-07 04:00:00+00:00,2022-01-07 22:00:00+00:00,-1,139.555,139.655,72.07251844012956,4.024673574733715,-2.2599239063383125,-8.972001512413044,False
SOL,SOLUSDT,train,2022-01-10 13:00:00+00:00,2022-01-11 03:00:00+00:00,-1,135.585,137.055,74.11666710476725,4.041433623888748,-1.7476571134553296,-111.24527715444492,False
SOL,SOLUSDT,train,2022-01-11 17:00:00+00:00,2022-01-12 08:00:00+00:00,1,140.595,138.95,70.68432755251199,3.951890069133393,1.864352152443168,-122.09196104545845,False
SOL,SOLUSDT,train,2022-01-12 14:00:00+00:00,2022-01-13 12:00:00+00:00,1,147.185,150.39,66.69002324421622,3.969056733379529,2.7618005876011047,207.01066717673166,True
SOL,SOLUSDT,train,2022-01-13 15:00:00+00:00,2022-01-13 18:00:00+00:00,1,157.195,150.64,63.760181547610905,3.9255230973417605,0.3651465897004742,-422.23865973163265,False
SOL,SOLUSDT,train,2022-01-16 15:00:00+00:00,2022-01-16 20:00:00+00:00,1,151.265,147.995,63.46837059891624,3.7987089170863344,0.5921797315537007,-211.93246050709422,False
SOL,SOLUSDT,train,2022-01-17 04:00:00+00:00,2022-01-18 07:00:00+00:00,-1,143.025,140.665,65.64314363319677,3.7244606834603187,-3.128978905991774,154.32233719687065,True
SOL,SOLUSDT,train,2022-01-20 14:00:00+00:00,2022-01-20 21:00:00+00:00,1,139.205,138.29,68.55309044455902,3.804627966582581,0.8448097255253703,-67.37551544888083,False
SOL,SOLUSDT,train,2022-01-21 00:00:00+00:00,2022-01-23 01:00:00+00:00,-1,127.54,98.275,74.29478939850995,3.3553755736049045,-4.633893512073153,2175.51552968587,True
SOL,SOLUSDT,train,2022-01-25 18:00:00+00:00,2022-01-26 01:00:00+00:00,1,96.5,92.665,120.7365074567029,4.56782428660944,-1.324862378486128,-466.2674680045784,False
SOL,SOLUSDT,train,2022-01-30 20:00:00+00:00,2022-01-31 14:00:00+00:00,-1,92.015,91.865,121.55415423101941,4.4702755759999695,-0.7473405577503114,14.51018811639733,True
SOL,SOLUSDT,train,2022-01-31 16:00:00+00:00,2022-02-02 07:00:00+00:00,1,95.295,108.865,117.52259499117108,4.798682598679497,-1.731720625225077,1591.7146520567367,True
SOL,SOLUSDT,train,2022-02-02 15:00:00+00:00,2022-02-02 19:00:00+00:00,-1,105.895,109.56,120.78974778545148,5.20495102182289,-0.10427569205118428,-447.79510096345257,False
SOL,SOLUSDT,train,2022-02-02 22:00:00+00:00,2022-02-03 22:00:00+00:00,-1,100.41,100.475,122.9283461883969,4.938892164811222,-1.4318387365121596,-11.497395930535276,False
SOL,SOLUSDT,train,2022-02-07 04:00:00+00:00,2022-02-07 22:00:00+00:00,1,119.155,117.87,103.49324698792663,4.906097373462662,2.763314972873198,-140.65823472582088,False
SOL,SOLUSDT,train,2022-02-08 09:00:00+00:00,2022-02-09 01:00:00+00:00,-1,114.175,114.845,106.77538524300921,4.890739745670794,-2.4065636937611408,-74.02368416472746,False
SOL,SOLUSDT,train,2022-02-10 14:00:00+00:00,2022-02-11 13:00:00+00:00,-1,107.76,106.425,112.44483969892212,4.816799598182727,-1.781883569798496,147.07894496967492,True
SOL,SOLUSDT,train,2022-02-11 19:00:00+00:00,2022-02-12 17:00:00+00:00,-1,100.73,97.23,121.75255505733668,4.820427159830073,-3.2206746817235805,424.53419022257367,True
SOL,SOLUSDT,train,2022-02-13 17:00:00+00:00,2022-02-14 07:00:00+00:00,-1,93.895,94.555,135.13679174767663,5.093305680969932,-1.9677096073660458,-92.31587862707784,False
SOL,SOLUSDT,train,2022-02-14 15:00:00+00:00,2022-02-15 20:00:00+00:00,1,97.095,101.55,129.73225379804336,5.154132711142465,0.08986044913403568,572.7131975100074,True
SOL,SOLUSDT,train,2022-02-16 00:00:00+00:00,2022-02-16 05:00:00+00:00,1,105.45,101.905,124.88446069256544,5.179083469381382,-0.25069406546994144,-447.643802559056,False
SOL,SOLUSDT,train,2022-02-16 14:00:00+00:00,2022-02-16 20:00:00+00:00,-1,99.565,103.155,127.77002538514509,5.180307909215323,-0.9580196503378179,-462.9166793915447,False
SOL,SOLUSDT,train,2022-02-18 16:00:00+00:00,2022-02-19 05:00:00+00:00,-1,90.91,91.995,134.84221645672014,4.93266312020328,-1.831139871125782,-149.40532810462173,False
SOL,SOLUSDT,train,2022-02-20 04:00:00+00:00,2022-02-20 15:00:00+00:00,-1,88.385,88.935,137.0040229674244,4.858710670516739,-1.3529954410108969,-78.85792786159072,False
SOL,SOLUSDT,train,2022-02-24 04:00:00+00:00,2022-02-24 16:00:00+00:00,-1,77.505,84.875,155.21892319352577,5.040889749632942,-0.8149413111720138,-1148.1894123747534,False
SOL,SOLUSDT,train,2022-02-24 20:00:00+00:00,2022-02-25 19:00:00+00:00,1,90.775,89.29,119.87940765342286,4.317217107822717,0.6278516399421048,-182.96598911309775,False
SOL,SOLUSDT,train,2022-02-27 01:00:00+00:00,2022-02-27 10:00:00+00:00,-1,87.915,89.565,121.69808611302237,4.319795264667842,1.1896618001782657,-206.31129915133533,False
