pair,med_5m,med_1m,ratio,lev_5m,lev_1m
BTCUSD,0.1666068457889528,0.07662409881360195,0.45990966608097605,6.002154324839316,13.050724452011234
ETHUSD,0.20993650750878035,0.15925511105507692,0.7585870268343693,4.763344936364516,6.279233321774893
SOLUSD,0.2614423446512244,0.19022929238723044,0.7276146970032903,3.8249350973884666,5.25681396093511
LINKUSD,0.25727110361552874,0.20162604678188023,0.7837104282150333,3.8869503257327365,4.95967666856953
LTCUSD,0.22941658558007305,0.21751877188524105,0.9481388249905789,4.358882761120037,4.597304367494231
DOTUSD,0.29803293624229776,0.20625541044073653,0.6920557608205188,3.3553338520512046,4.84835766423364
XRPUSD,0.24291650925575883,0.19919259510730344,0.8200043534199649,4.116640746500819,5.020266940451818
ADAUSD,0.2841668624575649,0.21211841741215715,0.7464572595752017,3.5190591589451485,4.714347826086915
