symbol,val_n,val_net_pct,val_t,val_over_cost,train_net_pct,train_t
NVDA,289,0.24836765527968158,1.7517850910395176,13.314068348769105,0.2573939152590188,4.4323203667691065
AMD,276,0.1040922487848215,0.931003381353189,5.186004724193536,0.29122333698498526,4.3457827659538175
AVGO,263,0.00578499628633863,0.08545529724309729,1.0847265297009518,0.016074396554355448,0.3728470000520931
MU,273,0.05630613973561072,0.49820256789452555,3.1652526035333484,0.2032899707503443,3.394475071852157
MSFT,282,-0.035775062491413705,-0.5886133803956934,-1.6328657240555033,0.03074674189968857,0.9338519993574083
GOOGL,297,-0.1668676611452986,-1.8535213827564785,-10.159274839102055,0.059296750319080646,1.4817300413679948
META,292,-0.06493811443234221,-0.5405902181465004,-1.8152064137446655,0.0316563017833566,0.5758038176874473
AMZN,279,0.10604685753292889,1.1396306957351687,8.177074573065829,0.12048344182050442,2.6193782178363025
TSLA,266,0.280436428541731,2.052462912088197,9.456560502674598,0.27708044743517024,3.4843642148002694
SMH,277,0.10855320594765486,1.447277192144838,6.611115215435399,0.07443977990673888,1.8357182833477985
SPY,292,-0.0068192870207288364,-0.18596308668190137,-0.9438036688254582,0.021286936515993473,0.804532372979834
QQQ,285,0.0031322081691396724,0.06513300581360766,1.568041612513234,0.049649453940222806,1.7848350626902896
