family,config,tf,stop%,target%,max_hold_h,tr_n,tr_exp,tr_win%,tr_ret%,tr_dd%,va_n,va_exp,va_win%,va_ret%,va_dd%,med_hold_h,mean_hold_h,verdict
1-momentum-burst,X0.8% champ tgt2xATR hold8h,1h,0.8092711048548278,1.6185422097096556,8,1198,-5.720083407695846,34.974958263772955,-68.52659922419623,-70.59344571681068,346,5.948249993230208,41.61849710982659,20.58094497657652,-14.816230108826895,1.0,2.354922279792746,FAIL
1-momentum-burst,X0.8% champ tgt2xATR hold24h,1h,0.8092711048548278,1.6185422097096556,24,706,-7.115142471810789,33.286118980169974,-50.23290585098417,-56.684293940215866,220,10.127948005799192,41.36363636363637,22.281485612758225,-13.16220693337311,2.0,3.626349892008639,FAIL
1-momentum-burst,X0.8% champ tgt3xATR hold8h,1h,0.8092711048548278,2.4278133145644833,8,1198,-3.6794736226113085,31.803005008347245,-44.08009399888348,-56.719153239249664,346,0.03627979888728803,36.41618497109826,0.1255281041500078,-16.612174240640826,2.0,3.0038860103626943,FAIL
1-momentum-burst,X0.8% champ tgt3xATR hold24h,1h,0.8092711048548278,2.4278133145644833,24,706,-1.891103222379266,28.89518413597734,-13.351188749997622,-42.949751725483914,220,-1.1567427055635644,29.545454545454547,-2.5448339522398444,-18.15015059946284,2.0,5.205183585313175,FAIL
1-momentum-burst,X0.8% raw tgt2xATR hold8h,1h,0.8092711048548278,1.6185422097096556,8,1744,-3.9287825968749597,36.353211009174316,-68.5179684894993,-77.14806770551458,517,-1.633217065762476,39.458413926499034,-8.443732229992007,-24.565280897012855,1.0,2.5510835913312695,FAIL
1-momentum-burst,X0.8% raw tgt2xATR hold24h,1h,0.8092711048548278,1.6185422097096556,24,894,-3.203798477119589,35.79418344519016,-28.64195838544913,-53.133711753784894,286,0.09994959167984012,37.76223776223776,0.2858558322043514,-19.014729714752285,2.0,3.955084745762712,FAIL
1-momentum-burst,X0.8% raw tgt3xATR hold8h,1h,0.8092711048548278,2.4278133145644833,8,1744,-2.3539873058170433,32.97018348623853,-41.053538613449234,-61.47602150348155,517,-1.2394561872311736,37.137330754352035,-6.407988487985172,-28.677233368358056,2.0,3.184431667403804,FAIL
1-momentum-burst,X0.8% raw tgt3xATR hold24h,1h,0.8092711048548278,2.4278133145644833,24,894,-1.4897328799459144,29.418344519015662,-13.318211946716474,-45.3876547428069,286,-1.5375829189991115,29.72027972027972,-4.397487148337465,-23.805104081483858,2.0,5.511864406779661,FAIL
1-momentum-burst,X1.2% champ tgt2xATR hold8h,1h,0.8092711048548278,1.6185422097096556,8,714,-6.0106622711999895,34.73389355742297,-42.91612861636792,-46.745603912124444,191,2.975276015631836,40.83769633507853,5.682777189856814,-9.60114270006464,1.0,1.7790055248618784,FAIL
1-momentum-burst,X1.2% champ tgt2xATR hold24h,1h,0.8092711048548278,1.6185422097096556,24,467,-3.70076308404289,36.188436830835116,-17.282563602480295,-25.742614995074366,137,23.850029659305893,46.715328467153284,32.67454063324906,-5.8043795150880575,1.0,2.6953642384105962,FAIL
1-momentum-burst,X1.2% champ tgt3xATR hold8h,1h,0.8092711048548278,2.4278133145644833,8,714,-4.647166125452846,30.11204481792717,-33.18076613573332,-39.05852536715502,191,1.9304269638186846,36.12565445026178,3.6871155008936896,-14.88739682348914,1.0,2.4331491712707183,FAIL
1-momentum-burst,X1.2% champ tgt3xATR hold24h,1h,0.8092711048548278,2.4278133145644833,24,467,-3.616142786506164,28.26552462526767,-16.887386812983785,-25.748179060417016,137,19.45800729409681,36.496350364963504,26.65746999291263,-8.528163861779756,1.0,4.1490066225165565,FAIL
1-momentum-burst,X1.2% raw tgt2xATR hold8h,1h,0.8092711048548278,1.6185422097096556,8,1117,-4.834662473564233,35.63115487914055,-54.00317982971248,-57.48725659724592,300,5.895368991470526,42.0,17.686106974411576,-14.039614241330545,1.0,2.0536344389555397,FAIL
1-momentum-burst,X1.2% raw tgt2xATR hold24h,1h,0.8092711048548278,1.6185422097096556,24,661,-5.524604480740024,34.79576399394856,-36.51763561769156,-46.78946470085407,203,3.60770363307709,39.90147783251231,7.323638375146491,-13.423661301528583,1.0,3.178240740740741,FAIL
1-momentum-burst,X1.2% raw tgt3xATR hold8h,1h,0.8092711048548278,2.4278133145644833,8,1117,-4.801500723907876,30.796777081468218,-53.63276308605097,-58.00332472881382,300,8.25674400639385,38.333333333333336,24.77023201918156,-15.556080323117541,1.0,2.7233592095977417,FAIL
1-momentum-burst,X1.2% raw tgt3xATR hold24h,1h,0.8092711048548278,2.4278133145644833,24,661,-4.68233889255362,27.83661119515885,-30.950260079779422,-47.7092225024042,203,-0.888810146685151,31.527093596059114,-1.8042845977708555,-19.720127819137474,2.0,4.793981481481482,FAIL
