asset,N_red,basis,n_events,hit_rate%,resolved_n,inconclusive_n,stop%,target%,tr_n,tr_exp,tr_win%,tr_ret%,tr_dd%,va_n,va_exp,va_win%,va_ret%,va_dd%,med_hold_h,trades/yr,verdict,tf,gross_exp,net_exp,cost_drag_bps,gross_bps,net_bps,tr_gross_exp,va_gross_exp,gross_verdict
BTC,2,close,66,80.3030303030303,66,0,4.43467322969747,2.0965802666106432,37,33.77969852292763,72.97297297297297,12.498488453483226,-12.285688735574851,12,-18.09581020736884,66.66666666666666,-2.1714972248842557,-8.089262856939678,28.0,9.683785733609882,FAIL,4h,31.328939464572688,21.07549230326319,10.07974336661682,30.798195453989763,20.718452087372942,44.34174469165668,-8.793876652269622,FAIL
BTC,2,wick,85,81.17647058823529,85,0,4.129750887800509,2.1753403072613473,44,5.212604945535986,65.9090909090909,2.293546176035832,-22.66539367214836,15,-2.4216316949765315,66.66666666666666,-0.3632447542464834,-8.447692445015488,32.0,11.660068536387412,FAIL,4h,13.1043722904418,3.271697325066702,10.611787030649651,14.142723969439176,3.5309369387895284,15.1715809005655,7.0405603674122785,SURVIVOR
BTC,3,close,52,88.46153846153847,52,0,5.006232023010546,2.036532550991892,32,3.7716525562805145,68.75,1.206928818009767,-13.668802963866678,12,-96.01091291514012,58.333333333333336,-11.521309549816817,-17.888791828288632,30.0,8.69564433222112,FAIL,4h,-14.056753999266427,-23.44177439047057,9.453505643450143,-14.159330264769478,-23.612835908219623,13.363199025710571,-87.17662873253842,FAIL
BTC,3,wick,62,87.09677419354838,62,0,4.559650313196753,2.1154475580992163,36,30.41472128955972,72.22222222222221,10.949299664241497,-15.499306508401233,15,-63.402050602058445,60.0,-9.510307590308765,-15.291973863940933,36.0,10.07904229416539,FAIL,4h,12.743416000859725,2.821553086142611,10.136004433720105,13.018454517634973,2.882450083914867,40.748538081796745,-54.46887699338913,FAIL
BTC,4,close,35,91.42857142857143,35,0,5.33564146384584,2.344294627249437,24,33.65420964220599,70.83333333333334,8.07701031412944,-11.04691906400755,9,-31.621958223547455,66.66666666666666,-2.8459762401192745,-10.767072900648694,44.0,6.521733249165839,INSUFFICIENT-SAMPLE,4h,25.708512125045342,15.851618406091417,9.591399593698569,25.01605676001174,15.424657166313173,43.73255356070126,-22.355598370037114,INSUFFICIENT-SAMPLE
BTC,4,wick,38,92.10526315789474,38,0,5.272353263850795,2.344294627249437,26,-1.1281494395262388,65.38461538461539,-0.293318854276825,-12.404951221925867,10,-4.243401342453035,70.0,-0.4243401342453046,-8.626043777893457,38.0,7.114618089999098,INSUFFICIENT-SAMPLE,4h,7.515554867728699,-1.9934971903392378,9.667404044243929,7.64070961851269,-2.0266944257312396,8.452566529226225,5.079324547835131,INSUFFICIENT-SAMPLE
BTC,2,close,565,82.65486725663717,565,0,2.534931558082125,0.8045492839090143,241,-9.302825455893418,73.02904564315352,-22.419809348703133,-35.0981233584215,89,-12.304069719605824,74.15730337078652,-10.950622050449187,-17.013817398481645,4.0,65.16297614488771,FAIL,1h,-2.043852235381498,-10.112251939137067,9.04321481347323,-2.290788197187247,-11.334003010660478,-1.3789366300031711,-3.844354043203709,FAIL
BTC,2,wick,735,78.77551020408163,735,0,2.2829883084715874,1.0344735845489659,278,-10.647591171417078,65.10791366906474,-29.60030345653948,-35.636945023966,98,-15.845569738040505,66.3265306122449,-15.52865834327969,-19.095597068415145,6.0,74.2463000923569,FAIL,1h,-4.1655641216259625,-12.002383457398716,9.034116684910053,-4.801972678056264,-13.836089362966318,-3.007397009706771,-7.450976949315098,FAIL
BTC,3,close,403,86.35235732009926,403,0,2.8547528630804653,0.8045492839090143,203,-7.7949911781095205,74.38423645320196,-15.823832091562329,-25.128574114039154,75,-25.73019472475513,70.66666666666667,-19.297646043566353,-20.456737619315707,4.0,54.894870812966005,FAIL,1h,-4.42353586024578,-12.63362522846355,8.484957070824557,-4.571632559900637,-13.056589630725194,0.5953975172046448,-18.008115535211594,FAIL
BTC,3,wick,485,81.64948453608247,485,0,2.567730380983393,0.9399626018431948,227,-9.338939041009334,69.16299559471366,-21.19939162309119,-27.00408649134316,86,-21.641423950704677,67.44186046511628,-18.611624597606024,-21.39731361073527,6.0,61.806095555605616,FAIL,1h,-4.601610800153784,-12.71917451140486,8.932001396882232,-5.063291839387041,-13.995293236269275,-1.1536263386511676,-13.702686064817668,FAIL
