name,n_tr,n_va,mean_tr,mean_va,gross_tr,gross_va,R_tr,win_tr,stop_tr,lev,verdict,n_assets_pos,arm
"prev day low -> 1m BOS, hold 24h",267,136,-0.27336225973985145,-0.5782111152006442,0.22663774026014855,-0.07821111520064417,-4.535281129836024,10.861423220973784,0.2699288563484187,3.7046798683473114,reject,0,B
"4h swing low -> 1m BOS, hold 24h",389,137,-0.3454106184594384,-0.4302985697369183,0.15458938154056165,0.06970143026308173,-3.9574028863302826,10.796915167095115,0.2629697453181144,3.8027188214762133,reject,0,B
"last session low -> 1m BOS, hold 24h",553,170,-0.3807319564390414,-0.43703987195514327,0.11926804356095858,0.06296012804485684,-5.324804701275782,10.126582278481013,0.27496373529270174,3.6368432329284794,reject,0,B
"4h swing low -> 5m BOS, hold 24h",403,141,-0.3922411001329494,-0.6177903692563804,0.10775889986705067,-0.11779036925638046,-1.1073325830049676,21.83622828784119,0.7402418955757253,1.3509097579815408,reject,0,A
"prev day high -> 1m BOS, target 3R",286,90,-0.39759873916518484,-0.4757594917669604,0.1024012608348151,0.024240508233039575,-4.02519697433414,20.97902097902098,0.2928541400897365,3.414669158146713,reject,0,B
"1h swing low -> 1m BOS, target 3R",860,289,-0.3998553143138909,-0.4804541410746496,0.10014468568610907,0.019545858925350407,-4.393467908583375,21.976744186046513,0.2761416385788742,3.621329999873853,reject,0,B
"last session low -> 5m BOS, hold 24h",574,175,-0.3999832969911512,-0.6640367078389481,0.10001670300884874,-0.16403670783894808,-1.1714609601098322,18.989547038327526,0.7033923139431009,1.4216817275044784,reject,0,A
"last session low -> 1m BOS, target 3R",553,170,-0.40189858811574636,-0.41395347096745666,0.09810141188425363,0.08604652903254333,-5.321988383163872,21.880650994575046,0.27496373529270174,3.6368432329284794,reject,0,B
"prev day high -> 1m BOS, hold 24h",286,90,-0.42068496006268175,-0.38898807095644844,0.07931503993731831,0.11101192904355156,-3.841730138046914,11.188811188811188,0.2928541400897365,3.414669158146713,reject,0,B
"1h swing low -> 1m BOS, target 2R",860,289,-0.4216092092365065,-0.46148722489718835,0.07839079076349353,0.03851277510281167,-4.471374885327561,18.953488372093023,0.2761416385788742,3.621329999873853,reject,0,B
"1h swing low -> 1m BOS, hold 24h",860,289,-0.4216208966844899,-0.5777608838467795,0.07837910331551008,-0.07776088384677955,-4.449552618625795,10.116279069767442,0.2761416385788742,3.621329999873853,reject,0,B
"last session low -> 5m BOS, target 3R",574,175,-0.4233942130280069,-0.660125301118282,0.07660578697199306,-0.16012530111828194,-1.2152912269429694,27.00348432055749,0.7033923139431009,1.4216817275044784,reject,0,A
"prev day high -> 1m BOS, target 2R",286,90,-0.4240192364535143,-0.4470419246555371,0.07598076354648566,0.05295807534446289,-4.13752844115169,18.88111888111888,0.2928541400897365,3.414669158146713,reject,0,B
"4h swing low -> 5m BOS, target 3R",403,141,-0.43160596212244545,-0.6538852960321393,0.0683940378775545,-0.15388529603213927,-1.266751054488196,25.55831265508685,0.7402418955757253,1.3509097579815408,reject,0,A
"last session low -> 1m BOS, target 2R",553,170,-0.4333660116693507,-0.45595900679758933,0.06663398833064933,0.04404099320241062,-5.470270480813059,18.083182640144667,0.27496373529270174,3.6368432329284794,reject,0,B
"4h swing low -> 1m BOS, target 3R",389,137,-0.4377282576797576,-0.3678232858245542,0.06227174232024235,0.13217671417544583,-4.338650891832115,19.02313624678663,0.2629697453181144,3.8027188214762133,reject,0,B
"last session low -> 5m BOS, target 2R",574,175,-0.4382841887505116,-0.572574992937958,0.06171581124948839,-0.07257499293795804,-1.2067434076618897,31.18466898954704,0.7033923139431009,1.4216817275044784,reject,0,A
"last session low -> 5m BOS, target 1R",574,175,-0.4427630376463983,-0.5581599599013362,0.05723696235360175,-0.05815995990133604,-1.1813063966980175,28.745644599303137,0.7033923139431009,1.4216817275044784,reject,0,A
"prev day low -> 1m BOS, target 3R",267,136,-0.44339595654558966,-0.46072987334439264,0.056604043454410356,0.039270126655607376,-5.623768209950541,19.101123595505616,0.2699288563484187,3.7046798683473114,reject,0,B
"prev day low -> 1m BOS, target 1R",267,136,-0.444648739162137,-0.4490881976638762,0.05535126083786299,0.05091180233612378,-5.736127760512338,4.868913857677903,0.2699288563484187,3.7046798683473114,reject,0,B
"1h swing high -> 1m BOS, target 3R",853,285,-0.4481324251729255,-0.40575935963276843,0.0518675748270745,0.09424064036723163,-4.636491202306137,19.577960140679952,0.29381929057106193,3.4034525032594622,reject,0,B
