family,config,symbol,market,tf,tr_n,tr_exp,tr_win%,tr_dd%,tr_ret%,va_n,va_exp,va_win%,va_dd%,va_ret%,tr_per_yr,cadence,verdict,vol_gate,direction,trend_gate
2-meanrev,rsi2>5 short trend=none vol=high-vol,BZ,Brent (BZ=F),1h,141,6.800795588056193,58.86524822695035,-7.107623289442339,9.589121779159226,31,39.03336583507911,64.51612903225806,-4.314350302713826,12.100343408874515,89.22665404189844,OK,SURVIVOR,high-vol,short,none
2-meanrev,rsi2>5 short trend=none vol=low-vol,BZ,Brent (BZ=F),1h,92,-10.638809859186376,59.78260869565217,-11.213351703968364,-9.78770507045147,45,-0.30819805606139805,71.11111111111111,-5.356625519778183,-0.13868912522763122,71.07006746360516,OK,FAIL,low-vol,short,none
2-meanrev,rsi2>5 short trend=with-trend vol=none,BZ,Brent (BZ=F),1h,79,12.911044285372117,64.55696202531645,-2.372326491546477,10.19972498544397,26,-6.826455392047417,61.53846153846154,-4.249784412778287,-1.7748784019323338,54.469759734879865,OK,FAIL,none,short,with-trend
2-meanrev,rsi2>5 short trend=with-trend vol=high-vol,BZ,Brent (BZ=F),1h,46,7.442753444095299,56.52173913043478,-2.775447073720241,3.4236665842838354,7,-23.860878944683332,28.57142857142857,-2.5683976598990257,-1.6702615261278364,27.494259675701265,OK,INSUFFICIENT-SAMPLE,high-vol,short,with-trend
2-meanrev,rsi2>5 short trend=with-trend vol=low-vol,BZ,Brent (BZ=F),1h,32,18.173203792543404,68.75,-2.0618043909901487,5.8154252136138895,21,-4.423859288297362,71.42857142857143,-4.007943079395773,-0.9290104505424446,27.494259675701265,OK,FAIL,low-vol,short,with-trend
2-meanrev,zscore>2 long trend=counter-trend vol=none,BZ,Brent (BZ=F),1h,166,-11.65857913110118,57.22891566265061,-27.21265754583584,-19.353241357627958,49,-9.721027320220688,57.14285714285714,-7.765884736568061,-4.763303386908135,111.53331755237306,OK,FAIL,none,long,counter-trend
2-meanrev,zscore>2 short trend=counter-trend vol=none,BZ,Brent (BZ=F),1h,172,-4.3757001886348155,57.55813953488372,-14.379689806612236,-7.5262043244518795,56,4.815099373396476,62.5,-6.235308214826519,2.6964556491020364,118.2771925671677,OK,FAIL,none,short,counter-trend
2-meanrev,rsi2>5 long trend=counter-trend vol=none,BZ,Brent (BZ=F),1h,153,-6.734506034761033,53.59477124183007,-15.480492140631549,-10.303794233184382,55,-0.01430138261365011,67.27272727272727,-7.683210410355218,-0.007865760437508751,107.90200023671439,OK,FAIL,none,long,counter-trend
2-meanrev,rsi2>5 short trend=counter-trend vol=none,BZ,Brent (BZ=F),1h,175,-4.943636933413145,58.285714285714285,-12.590684603394264,-8.651364633473001,50,28.181681724874835,72.0,-3.9098369097697825,14.090840862437414,116.7209137175997,OK,FAIL,none,short,counter-trend
2-meanrev,zscore>2 long trend=none vol=none,USO,USO (ETF),1d,65,-74.23189732666997,55.38461538461539,-54.363885496262064,-48.25073326233548,20,-80.03934951698757,55.00000000000001,-42.66105264636154,-16.00786990339751,5.241642748607125,TOO-RARE(5.2/yr),FAIL,none,long,none
