filt,unpaired,t_unpaired,paired,t_paired,shared_days,n_kept,n_thrown
DAILY,-0.029272493202654543,-1.871822807039159,-0.021530352745365185,-0.5994463487675811,2027,35264,35809
H4,-0.030173009550516966,-1.9141584409224568,0.03029096576979857,1.013350292637238,2031,27986,43087
AGREE,-0.03069290671787142,-1.6257169147317034,0.05702265517101744,1.586390726456273,1859,16608,54465
