family,config,symbol,tf,stop%,target%,tr_n,tr_exp,tr_win%,tr_ret%,tr_dd%,va_n,va_exp,va_win%,va_ret%,va_dd%,verdict
B-tom-structural-stop,stop=none,SPY,1d,,,241,26.34981961790805,58.09128630705395,63.50306527915836,-12.275316876971534,81,-5.281164617800619,54.32098765432099,-4.277743340418502,-12.441000942971527,FAIL
B-tom-structural-stop,stop=structure_k5,SPY,1d,,,241,21.049361083097324,53.52697095435685,50.72896021026453,-12.56367260260019,81,-6.922671971045174,46.913580246913575,-5.607364296546596,-14.404203546915106,FAIL
B-tom-structural-stop,stop=atr1.0x,SPY,1d,,,241,19.359594274767318,49.37759336099585,46.65662220218923,-13.688940730636359,81,-10.83450622815773,40.74074074074074,-8.775950044807754,-16.914945517746304,FAIL
B-tom-structural-stop,stop=atr1.5x,SPY,1d,,,241,17.67189967703409,56.016597510373444,42.58927822165216,-16.144882866166878,81,4.0592646940470045,53.086419753086425,3.2880044021780734,-7.32445576737526,SURVIVOR
B-tom-structural-stop,stop=none,ES,1d,,,187,18.46000470883076,52.94117647058824,34.520208805513526,-15.885567854979978,62,23.59492108416143,64.51612903225806,14.628851072180083,-8.539491527626227,SURVIVOR
B-tom-structural-stop,stop=structure_k5,ES,1d,,,187,10.076275648124076,48.663101604278076,18.842635461992025,-16.73170726375991,62,6.5614760283032005,56.451612903225815,4.068115137547984,-12.156431023630477,SURVIVOR
B-tom-structural-stop,stop=atr1.0x,ES,1d,,,187,9.458853768536356,46.524064171122994,17.688056547162983,-17.020482716403247,62,-3.99033131513865,45.16129032258064,-2.4740054153859594,-15.749498751212288,FAIL
B-tom-structural-stop,stop=atr1.5x,ES,1d,,,187,15.316899130709489,52.406417112299465,28.64260137442675,-15.490975419945594,62,9.385120790146265,56.451612903225815,5.818774889890682,-10.114870907039366,SURVIVOR
B-tom-structural-stop,stop=none,QQQ,1d,,,198,25.240836686455495,52.52525252525253,49.97685663918189,-23.95721374593078,65,35.37913504089639,61.53846153846154,22.996437776582653,-10.813029887058804,SURVIVOR
B-tom-structural-stop,stop=structure_k5,QQQ,1d,,,198,17.306238238690966,50.0,34.2663517126081,-24.947146692744404,65,39.140564000899154,56.92307692307692,25.44136660058445,-7.487471142326408,SURVIVOR
B-tom-structural-stop,stop=atr1.0x,QQQ,1d,,,198,5.8049017252944894,41.91919191919192,11.493705416083092,-22.827402236067908,65,1.508143613273129,44.61538461538462,0.9802933486275345,-13.247786606658185,SURVIVOR
B-tom-structural-stop,stop=atr1.5x,QQQ,1d,,,198,7.459343307279876,48.484848484848484,14.769499748414155,-30.858958832882955,65,30.29289384255619,56.92307692307692,19.69038099766152,-6.812315854440435,SURVIVOR
