symbol,entry_n,exit_ema,n,mean_pct,t,perbar_pct,thickness,chance_pctile_pertrade,chance_pctile_perbar,cf_perbar,drift_perday,real_hold,cf_hold,cost_pct,verdict
NVDA,20,30,30,5.996243022430485,1.7985305021525222,0.21991111329207155,297.2937290521636,93.0,80.55,0.15784722298444362,0.20092533032510887,27.266666666666666,20.182133333333333,0.0201694231544937,fails the coin flip
AMD,15,30,33,8.827003720897618,1.581301795211265,0.38077270952891684,354.9724375014108,83.75,19.15,0.42356322673918784,0.21840165381491702,23.181818181818183,17.94142424242424,0.0248667298876199,fails the coin flip
AVGO,30,10,33,1.3662187718991232,1.4082023084456783,0.10583384852739686,20.00951593152554,82.39999999999999,52.5,0.09848055312039969,0.0882285625616774,12.909090909090908,8.987863636363636,0.068278451941289,fails the coin flip
MU,15,30,32,3.182789535099756,1.253100139326133,0.16014035396728332,122.39417157228587,99.9,95.15,0.09734378032737888,0.10202407188934688,19.875,14.572765625,0.0260044207515225,fails the coin flip
MSFT,20,20,36,1.6616103957917754,1.5726049579019992,0.07788798730273948,122.2862170782916,99.85000000000001,99.05000000000001,0.00815889605204613,0.10513264843317513,21.333333333333332,12.175416666666667,0.0135878796113871,fails the coin flip
GOOGL,20,30,34,0.8352479361767473,0.9572793795393642,0.03532143013682762,55.85720573187109,71.39999999999999,48.699999999999996,0.03347633886177105,0.07126915878263793,23.647058823529413,17.23383823529412,0.0149532710280237,fails the coin flip
META,20,30,31,0.6493421684326093,0.6404975322587811,0.028113976566216323,28.150374449060156,51.15,42.25,0.03281075572674097,0.04410063646141175,23.096774193548388,19.327838709677415,0.0230669105168613,fails the coin flip
AMZN,20,30,32,3.455877624336085,1.4506295256054376,0.1378903790258787,233.88803781901777,55.400000000000006,37.4,0.15166037704797733,0.09316821374068178,25.0625,20.27571875,0.0147757775752954,fails the coin flip
TSLA,20,10,31,10.05547066612897,2.294400743049298,0.622194791716563,303.22271793707245,100.0,100.0,0.20777862720225887,0.18501235569060387,16.161290322580644,8.096,0.0331619963521855,SURVIVES
SMH,15,30,34,2.515667935623332,1.8728554700717779,0.09419901961585164,130.03487559239596,49.9,19.85,0.11023285294114316,0.09578889399772714,26.705882352941178,21.832823529411765,0.0193461017604914,fails the coin flip
