market,symbol,year,entered_utc,side,level_timeframe,entry,stop,units,risk_dollars,share_of_the_days_budget,size_worked_out_from,what_happened,day_boundary_cut,pnl_dollars,result_x_risked
gold,GLD,2026,2026-03-13 13:55,short,london,468.94,470.582589,435.294954,715.01,1.0,"his set size, worked out off the tightest stop this market normally gives and then held still",the 1-minute broke structure against the trade — the rest closed by hand,False,1869.55,2.6147
gold,GLD,2026,2026-03-26 14:20,short,premarket_ny,408.98,409.694587,996.327966,711.96,1.0,"his set size, worked out off the tightest stop this market normally gives and then held still",stopped out,False,-766.35,-1.0764
gold,GLD,2026,2026-06-12 13:57,short,premarket_ny,384.3001,386.411293,1052.335966,2221.68,1.0,"his set size, worked out off the tightest stop this market normally gives and then held still",stopped out,False,-2275.66,-1.0243
gold,GLD,2026,2026-06-18 14:26,short,15m,390.18,392.552077,1013.148223,2403.27,1.0,"his set size, worked out off the tightest stop this market normally gives and then held still",the 1-minute broke structure against the trade — the rest closed by hand,False,3143.72,1.3081
gold,GLD,2026,2026-07-22 13:56,long,1h,380.5,376.659215,796.487607,3059.14,1.0,"his set size, worked out off the tightest stop this market normally gives and then held still",flat by the close,True,-1239.16,-0.4051
