asset,split,entry_time,exit_time,direction,entry_price,exit_price,units,fees,funding,pnl,is_win
BTC,train,2020-03-27 01:00:00+00:00,2020-03-27 06:00:00+00:00,1,6808.5,6653.0,1.4687522949254608,3.954321803627818,0.6199878827935669,-232.9652915473307,False
BTC,train,2020-03-28 00:00:00+00:00,2020-03-28 20:00:00+00:00,-1,6354.0,6212.5,1.5371474202789848,3.8633126113871725,-2.3838178265400267,216.02686518462906,True
BTC,train,2020-03-29 20:00:00+00:00,2020-03-30 05:00:00+00:00,-1,5897.0,6023.5,1.6929051337353398,4.036055129338424,-1.130596112908061,-217.05795843395572,False
BTC,train,2020-04-01 01:00:00+00:00,2020-04-01 21:00:00+00:00,-1,6302.5,6330.0,1.5495444054269485,3.9149239403111853,-0.3485116639692753,-46.17888342558581,False
BTC,train,2020-04-01 23:00:00+00:00,2020-04-03 01:00:00+00:00,1,6511.5,6738.0,1.4927166907437237,3.955549958801793,-23.267675095170034,357.41245558982155,True
BTC,train,2020-04-04 10:00:00+00:00,2020-04-04 12:00:00+00:00,1,6832.5,6698.0,1.4748975027248559,3.9912201321237326,-0.5293076907728649,-201.83562655784408,False
BTC,train,2020-04-07 21:00:00+00:00,2020-04-08 04:00:00+00:00,-1,7121.0,7345.0,1.3867998259808643,4.012289256527836,-0.2787495732918013,-314.3767007029528,False
BTC,train,2020-04-09 12:00:00+00:00,2020-04-09 14:00:00+00:00,-1,7186.5,7326.0,1.3304146469222544,3.8615285126918435,-0.24323305782356117,-189.2111387005225,False
BTC,train,2020-04-12 15:00:00+00:00,2020-04-13 00:00:00+00:00,1,6958.5,6901.0,1.3468152218734295,3.733237113510959,1.0699436826367994,-82.24505605386912,False
BTC,train,2020-04-15 11:00:00+00:00,2020-04-16 08:00:00+00:00,-1,6782.5,6885.0,1.3696378422930173,3.7439050419079627,11.598450648684025,-155.73023452561756,False
BTC,train,2020-04-16 08:00:00+00:00,2020-04-17 05:00:00+00:00,1,6885.0,7038.0,1.3266286755013468,3.6941302098010507,-18.196387272600372,217.47644441450757,True
BTC,train,2020-04-18 14:00:00+00:00,2020-04-19 06:00:00+00:00,1,7230.0,7117.5,1.2934045470596514,3.71142434778767,-3.91672778051562,-145.3027081114833,False
BTC,train,2020-04-20 11:00:00+00:00,2020-04-21 18:00:00+00:00,-1,7070.5,6889.5,1.302031280267279,3.6352713345062435,-0.6413165763888372,232.67370697025217,True
BTC,train,2020-04-22 14:00:00+00:00,2020-04-23 07:00:00+00:00,1,7055.5,7036.0,1.3377770355183969,3.7702570192014977,-2.0031706559222786,-27.853738555888413,False
BTC,train,2020-04-23 14:00:00+00:00,2020-04-24 12:00:00+00:00,1,7230.0,7497.0,1.301636533270285,3.8338402450942977,-5.086253450979965,348.78936758905365,True
BTC,train,2020-04-26 11:00:00+00:00,2020-04-26 16:00:00+00:00,1,7639.5,7549.5,1.2775209769138314,3.8808532236688364,0.6094254130245318,-119.4671665589376,False
BTC,train,2020-05-02 17:00:00+00:00,2020-05-03 13:00:00+00:00,1,8983.0,8966.0,1.0731553307997637,3.8524130065049915,2.419227476663542,-24.515281106763723,False
BTC,train,2020-05-06 11:00:00+00:00,2020-05-07 00:00:00+00:00,1,9230.0,9149.5,1.0417810460961552,3.829482947344857,1.566682426171703,-89.25953958425634,False
BTC,train,2020-05-07 14:00:00+00:00,2020-05-08 13:00:00+00:00,1,9491.0,9829.0,1.0037276910634556,3.8784037982691926,2.83884930193284,332.5427064792457,True
BTC,train,2020-05-09 07:00:00+00:00,2020-05-09 18:00:00+00:00,-1,9704.5,9778.0,1.015912434681076,3.9585028017348125,-1.3532334597114937,-77.27483329108145,False
BTC,train,2020-05-10 01:00:00+00:00,2020-05-10 21:00:00+00:00,-1,8705.5,8667.0,1.1236169535433256,3.9040071050862846,-2.429294966590468,41.784540572924016,True
BTC,train,2020-05-14 10:00:00+00:00,2020-05-15 03:00:00+00:00,1,9803.5,9487.5,1.0020331442489259,3.8660442771412056,2.061025610041251,-322.56954346984276,False
BTC,train,2020-05-17 13:00:00+00:00,2020-05-18 08:00:00+00:00,1,9772.0,9778.0,0.9722536211803624,3.801511658815217,2.25951133903803,-0.22750127077233628,False
