dataset,utc_hour,n,mean_pnl,win%
NQ,14,1,71.87244879366517,100.0
NQ,15,162,-0.11686928528195742,51.85185185185185
ES,14,1,32.97637862222473,100.0
ES,15,164,0.5839103621100127,51.21951219512195
ES,16,64,-5.769720847128099,57.8125
SPY,14,54,-6.68816069498199,44.44444444444444
