section,asset,tf,fade_type,break_direction,trade_direction,age_cutoff,touch_cutoff,bucket,split,n_trades,expectancy,trades_per_year,win_rate_pct,random_pctl
fade_sweep,BTC,1h,fade_breakout_mirror,long,short,20,2,STRUCTURAL,train,368,-18.0913694842366,96.89,52.44565217391305,
fade_sweep,BTC,1h,fade_breakout_mirror,long,short,20,2,LOCAL,train,736,-10.137057188270916,193.78,52.9891304347826,
fade_sweep,BTC,1h,fade_breakout_mirror,long,short,20,3,STRUCTURAL,train,319,-22.022203899720143,83.99,52.35109717868338,
fade_sweep,BTC,1h,fade_breakout_mirror,long,short,20,3,LOCAL,train,737,-10.079953906098476,194.05,53.05291723202171,
fade_sweep,BTC,1h,fade_breakout_mirror,long,short,50,1,STRUCTURAL,train,259,-29.34674915226523,68.19,49.42084942084942,
fade_sweep,BTC,1h,fade_breakout_mirror,long,short,50,1,LOCAL,train,742,-10.45160961964065,195.36,52.695417789757414,
fade_sweep,BTC,1h,fade_breakout_mirror,long,short,50,2,STRUCTURAL,train,228,-27.065409244829773,60.03,50.877192982456144,
fade_sweep,BTC,1h,fade_breakout_mirror,long,short,50,2,LOCAL,train,746,-10.328071780337412,196.41,52.81501340482574,
fade_sweep,BTC,1h,fade_breakout_mirror,long,short,50,3,STRUCTURAL,train,192,-32.294881055605074,50.55,51.5625,
fade_sweep,BTC,1h,fade_breakout_mirror,long,short,50,3,LOCAL,train,746,-10.23223504193879,196.41,52.949061662198396,
fade_sweep,BTC,1h,fade_breakout_mirror,long,short,100,1,STRUCTURAL,train,175,-34.52011422180422,46.08,51.42857142857142,
fade_sweep,BTC,1h,fade_breakout_mirror,long,short,100,1,LOCAL,train,744,-10.370608923372961,195.89,52.82258064516129,
fade_sweep,BTC,1h,fade_breakout_mirror,long,short,100,2,STRUCTURAL,train,157,-34.92402327480883,41.34,52.86624203821656,
fade_sweep,BTC,1h,fade_breakout_mirror,long,short,100,2,LOCAL,train,747,-10.254545072796372,196.68,53.01204819277109,
fade_sweep,BTC,1h,fade_breakout_mirror,long,short,100,3,STRUCTURAL,train,137,-41.082122740138296,36.07,51.82481751824818,
fade_sweep,BTC,1h,fade_breakout_mirror,long,short,100,3,LOCAL,train,747,-10.254545072796372,196.68,53.01204819277109,
fade_sweep,BTC,1h,fade_breakout_mirror,long,short,200,1,STRUCTURAL,train,116,-43.11049837870292,30.54,51.724137931034484,
fade_sweep,BTC,1h,fade_breakout_mirror,long,short,200,1,LOCAL,train,746,-10.426236333771142,196.41,52.81501340482574,
fade_sweep,BTC,1h,fade_breakout_mirror,long,short,200,2,STRUCTURAL,train,103,-37.54373045069741,27.12,54.36893203883495,
fade_sweep,BTC,1h,fade_breakout_mirror,long,short,200,2,LOCAL,train,748,-10.376731673235545,196.94,52.94117647058824,
fade_sweep,BTC,1h,fade_breakout_mirror,long,short,200,3,STRUCTURAL,train,91,-45.27088970861383,23.96,53.84615384615385,
fade_sweep,BTC,1h,fade_breakout_mirror,long,short,200,3,LOCAL,train,748,-10.376731673235545,196.94,52.94117647058824,
fade_sweep,BTC,1h,fade_breakout_mirror,long,short,500,1,STRUCTURAL,train,62,-54.7346229599206,16.32,50.0,
fade_sweep,BTC,1h,fade_breakout_mirror,long,short,500,1,LOCAL,train,749,-10.432897927384456,197.2,52.87049399198932,
fade_sweep,BTC,1h,fade_breakout_mirror,long,short,500,2,STRUCTURAL,train,56,-40.261796708600095,14.74,53.57142857142857,
fade_sweep,BTC,1h,fade_breakout_mirror,long,short,500,2,LOCAL,train,749,-10.432897927384456,197.2,52.87049399198932,
fade_sweep,BTC,1h,fade_breakout_mirror,long,short,500,3,STRUCTURAL,train,48,-36.80685792141575,12.64,56.25,
fade_sweep,BTC,1h,fade_breakout_mirror,long,short,500,3,LOCAL,train,749,-10.432897927384456,197.2,52.87049399198932,
fade_selected,BTC,1h,fade_breakout_mirror,long,short,20,2,STRUCTURAL,train,368,-18.0913694842366,96.89,52.44565217391305,43.0
fade_selected,BTC,1h,fade_breakout_mirror,long,short,20,2,STRUCTURAL,val,131,-14.326909981341952,103.47,50.38167938931297,57.99999999999999
fade_selected,BTC,1h,fade_breakout_mirror,long,short,20,2,LOCAL,train,736,-10.137057188270916,193.78,52.9891304347826,
fade_selected,BTC,1h,fade_breakout_mirror,long,short,20,2,LOCAL,val,252,-12.696893005313472,199.05,55.55555555555556,
fade_regime_split,BTC,1h,fade_breakout_mirror,long,short,20,2,STRUCTURAL/BULL(close>50d-SMA),train+val,299,-24.490330061339364,59.04,49.49832775919732,
fade_regime_split,BTC,1h,fade_breakout_mirror,long,short,20,2,STRUCTURAL/BEAR(close<=50d-SMA),train+val,186,8.715464899639517,36.73,56.98924731182796,
fade_sweep,BTC,4h,fade_breakdown,short,long,20,1,STRUCTURAL,train,95,83.29083590175497,25.04,58.94736842105262,
fade_sweep,BTC,4h,fade_breakdown,short,long,20,1,LOCAL,train,164,23.336464594936576,43.22,56.09756097560976,
fade_sweep,BTC,4h,fade_breakdown,short,long,20,2,STRUCTURAL,train,86,78.19293377987962,22.66,60.46511627906976,
fade_sweep,BTC,4h,fade_breakdown,short,long,20,2,LOCAL,train,166,14.299911921336312,43.75,56.024096385542165,
fade_sweep,BTC,4h,fade_breakdown,short,long,20,3,STRUCTURAL,train,78,142.23488624050455,20.56,61.53846153846154,
fade_sweep,BTC,4h,fade_breakdown,short,long,20,3,LOCAL,train,167,18.25473965864802,44.01,56.287425149700596,
fade_sweep,BTC,4h,fade_breakdown,short,long,50,1,STRUCTURAL,train,59,111.71977907856743,15.55,59.32203389830508,
fade_sweep,BTC,4h,fade_breakdown,short,long,50,1,LOCAL,train,170,49.09811736149209,44.8,57.647058823529406,
fade_sweep,BTC,4h,fade_breakdown,short,long,50,2,STRUCTURAL,train,55,152.1855190202113,14.49,61.81818181818181,
fade_sweep,BTC,4h,fade_breakdown,short,long,50,2,LOCAL,train,170,32.799543925964976,44.8,57.05882352941176,
fade_sweep,BTC,4h,fade_breakdown,short,long,50,3,STRUCTURAL,train,49,119.24433389081791,12.91,59.183673469387756,
fade_sweep,BTC,4h,fade_breakdown,short,long,50,3,LOCAL,train,171,38.87091793571552,45.06,57.30994152046783,
fade_sweep,BTC,4h,fade_breakdown,short,long,100,1,STRUCTURAL,train,37,92.09051910185957,9.75,54.054054054054056,
fade_sweep,BTC,4h,fade_breakdown,short,long,100,1,LOCAL,train,170,32.799543925964976,44.8,57.05882352941176,
fade_sweep,BTC,4h,fade_breakdown,short,long,100,2,STRUCTURAL,train,36,130.7235647598453,9.49,58.333333333333336,
fade_sweep,BTC,4h,fade_breakdown,short,long,100,2,LOCAL,train,170,32.799543925964976,44.8,57.05882352941176,
fade_sweep,BTC,4h,fade_breakdown,short,long,100,3,STRUCTURAL,train,32,68.20623855752416,8.43,56.25,
fade_sweep,BTC,4h,fade_breakdown,short,long,100,3,LOCAL,train,171,38.87091793571552,45.06,57.30994152046783,
fade_sweep,BTC,4h,fade_breakdown,short,long,200,1,STRUCTURAL,train,27,104.1581349409794,7.12,59.25925925925925,
fade_sweep,BTC,4h,fade_breakdown,short,long,200,1,LOCAL,train,170,26.880085816920293,44.8,57.05882352941176,
fade_sweep,BTC,4h,fade_breakdown,short,long,200,2,STRUCTURAL,train,24,93.62753277469695,6.32,62.5,
fade_sweep,BTC,4h,fade_breakdown,short,long,200,2,LOCAL,train,170,26.880085816920293,44.8,57.05882352941176,
fade_sweep,BTC,4h,fade_breakdown,short,long,200,3,STRUCTURAL,train,23,129.67684572890263,6.06,65.21739130434783,
fade_sweep,BTC,4h,fade_breakdown,short,long,200,3,LOCAL,train,171,32.581433308450976,45.06,57.30994152046783,
fade_sweep,BTC,4h,fade_breakdown,short,long,500,1,STRUCTURAL,train,12,80.03607066921313,3.16,58.333333333333336,
fade_sweep,BTC,4h,fade_breakdown,short,long,500,1,LOCAL,train,171,27.325092114313478,45.06,57.30994152046783,
fade_sweep,BTC,4h,fade_breakdown,short,long,500,2,STRUCTURAL,train,10,189.67994350379868,2.64,70.0,
fade_sweep,BTC,4h,fade_breakdown,short,long,500,2,LOCAL,train,171,27.325092114313478,45.06,57.30994152046783,
fade_sweep,BTC,4h,fade_breakdown,short,long,500,3,STRUCTURAL,train,10,189.67994350379868,2.64,70.0,
fade_sweep,BTC,4h,fade_breakdown,short,long,500,3,LOCAL,train,172,33.03187166438457,45.33,57.55813953488372,
fade_selected,BTC,4h,fade_breakdown,short,long,20,3,STRUCTURAL,train,78,142.23488624050455,20.56,61.53846153846154,77.0
fade_selected,BTC,4h,fade_breakdown,short,long,20,3,STRUCTURAL,val,23,6.9375846114640884,18.18,52.17391304347826,39.5
fade_selected,BTC,4h,fade_breakdown,short,long,20,3,LOCAL,train,167,18.25473965864802,44.01,56.287425149700596,
