leash_h,n_trades,avg_all,n_london_ny,avg_london_ny,n_asia_off,avg_asia_off,gap,shuffle_percentile,one_sided_p
24,271,-11.891041358656205,212,-15.699801518469053,59,1.7946731138916667,-17.49447463236072,22.3,0.777
48,209,-10.389755116066901,169,-16.653190769476147,40,16.073260519587173,-32.72645128906332,17.599999999999998,0.824
72,195,-10.405534568584962,156,-17.759250531371,39,19.009329282559186,-36.76857981393019,16.75,0.8325
