name,n_tr,n_va,gross_tr,mean_tr,mean_va,t_tr,stop_tr,lev1,thick,verdict
"QQQ RSI3<15 5m dip, above 200-bar avg",354,124,0.00278840684042392,-0.03721159315957609,-0.012538797156086166,-2.854944574079905,0.06184696208198614,16.16894292518961,-0.9302898289894023,reject
"QQQ RSI3<15 5m dip, no trend filter",890,346,0.01615751973450753,-0.023842480265492464,0.007835791643111791,-1.8296533169994718,0.08620808024400334,11.599840724553895,-0.5960620066373116,reject
"QQQ gap DOWN more than 0.3%, buy at open, flat at close",31,19,0.21096086040287518,0.17096086040287517,0.21579822638842447,1.0785177388336498,0.45605648502242174,2.192710843593937,4.274021510071879,reject
"QQQ gap DOWN more than 0.3%, sell at open, flat at close",367,167,0.027885701025295927,-0.01211429897470408,-0.08348697976294364,-0.21847486463470167,1.0517517344568936,0.9507947239244465,-0.302857474367602,reject
"QQQ gap DOWN more than 0.5%, buy at open, flat at close",7,5,,,,,,,,NOT ENOUGH TRADES
"QQQ gap DOWN more than 0.5%, sell at open, flat at close",236,124,0.039069784888084394,-0.000930215111915613,-0.06322544747448848,-0.011957458975863318,1.3519831866097924,0.7396541687086962,-0.023255377797890324,reject
"QQQ gap UP more than 0.3%, buy at open, flat at close",527,167,0.035515332382341454,-0.0044846676176585705,0.06529217813449884,-0.11915564204608571,0.8918199668144006,1.1213025467146926,-0.11211669044146426,reject
"QQQ gap UP more than 0.3%, sell at open, flat at close",34,13,-0.23270677437638165,-0.27270677437638163,-0.04885222952127038,-3.7747608249829345,0.288982966917493,3.460411562199471,-6.817669359409541,reject
"QQQ gap UP more than 0.5%, buy at open, flat at close",326,121,0.08814999680009925,0.04814999680009921,-0.048179020537410557,0.8747057361071714,1.0973581502823773,0.9112795122929331,1.2037499200024802,reject
"QQQ gap UP more than 0.5%, sell at open, flat at close",18,7,,,,,,,,NOT ENOUGH TRADES
