pair,session,entry_t,stop_move_in_price_pct,face_value_times_account,exchange_leverage_wanted,exchange_leverage_set,capped_by_the_exchange,margin_posted_dollars,margin_share_of_account_pct,position_dollars,contracts,below_min_lot,liquidation_move_pct,guard_needs_pct
BTC/USD,asia,2025-08-13 08:00:00,0.3338309919875408,8.986583247225786,89.86583247225786,90,False,225.567233542366,9.985092496917542,20301.05101881294,169.4547950394622,False,1.1111111111111112,1.0014929759626223
BTC/USD,london,2025-08-17 16:00:00,0.17105657532348928,17.538057185621927,175.38057185621923,150,True,264.1278180307157,11.692038123747949,39619.17270460735,335.89342003527184,False,0.6666666666666666,0.5131697259704678
BTC/USD,asia,2025-09-09 05:00:00,0.13003820030909732,23.070143949001753,230.70143949001755,150,True,347.4425199103528,15.380095966001168,52116.37798655292,464.55221578642374,False,0.6666666666666666,0.390114600927292
BTC/USD,london,2025-09-16 06:00:00,0.31164876111753564,9.626221484861208,96.26221484861208,97,False,224.18576683670992,9.923939675114648,21746.019383160863,187.3944421401938,False,1.0309278350515463,0.9349462833526069
BTC/USD,london,2025-10-09 02:00:00,0.5311710367159175,5.647898308891547,56.478983088915456,57,False,223.83909115295364,9.908593524371133,12758.828195718357,104.97682325651571,False,1.7543859649122806,1.5935131101477524
BTC/USD,london,2026-01-29 11:00:00,0.8604341870202658,3.4866118121005587,34.866118121005584,35,False,225.03987280021843,9.961748034573024,7876.395548007646,89.24310763269287,False,2.857142857142857,2.5813025610607974
BTC/USD,asia,2026-04-09 09:00:00,0.6317202759105511,4.748937329383404,47.48937329383404,48,False,223.50082051188096,9.893619436215426,10728.039384570286,150.13699176388033,False,2.0833333333333335,1.8951608277316534
BTC/USD,new_york,2026-05-05 22:00:00,0.12577961675717636,23.85124138032353,238.5124138032353,150,True,359.2060555187071,15.900827586882352,53880.908327806064,666.19023980251,False,0.6666666666666666,0.3773388502715291
BTC/USD,new_york,2026-05-18 20:00:00,0.6708349552677284,4.472038876988317,44.72038876988316,45,False,224.50032677048188,9.937864171085145,10102.514704671685,131.02121070284738,False,2.2222222222222223,2.012504865803185
BTC/USD,london,2026-05-22 12:00:00,0.22000750079385886,13.63589872697531,136.3589872697531,137,False,224.8470121181482,9.953210749617014,30804.040660186303,397.4862096369659,False,0.7299270072992701,0.6600225023815766
BTC/USD,new_york,2026-05-24 22:00:00,0.28309580562505215,10.597119209789236,105.97119209789236,106,False,225.8426054687007,9.997282273386071,23939.316179682275,311.57525004426014,False,0.9433962264150944,0.8492874168751564
BTC/USD,new_york,2026-05-25 22:00:00,0.31580210590355307,9.499619995935713,94.99619995935713,95,False,225.8949637433538,9.999599995721802,21460.021555618612,278.2188887452024,False,1.0526315789473684,0.9474063177106591
BTC/USD,london,2026-06-10 08:00:00,0.4681615636764118,6.4080442154229615,64.08044215422963,65,False,222.70812622167833,9.858529562189174,14476.02820440909,235.8824158985496,False,1.5384615384615385,1.4044846910292355
BTC/USD,new_york,2026-06-13 16:00:00,0.18769107376350244,15.983711637667483,159.83711637667483,150,True,240.71895958637566,10.65580775844499,36107.84393795635,564.3437964501273,False,0.6666666666666666,0.5630732212905073
BTC/USD,new_york,2026-06-15 19:00:00,0.4368801235953637,6.866872256194894,68.66872256194894,69,False,224.8194072700654,9.951988777094048,15512.539101634513,233.80868185229087,False,1.4492753623188406,1.3106403707860912
BTC/USD,new_york,2026-06-27 17:00:00,0.16661458960055467,18.005626081078873,180.05626081078873,150,True,271.1695302813361,12.00375072071925,40675.429542200414,673.710161639877,False,0.6666666666666666,0.499843768801664
BTC/USD,london,2026-06-28 10:00:00,0.1529644996695982,19.612393767704077,196.12393767704077,150,True,295.36788011329475,13.074929178469382,44305.182016994215,738.4092394856775,False,0.6666666666666666,0.4588934990087945
BTC/USD,london,2026-07-03 09:00:00,0.25651296446045185,11.695315308176278,116.95315308176276,117,False,225.81354781010714,9.995995989894253,26420.185093782537,429.6318366958801,False,0.8547008547008547,0.7695388933813555
BTC/USD,asia,2026-07-26 00:00:00,0.5044986465319284,5.9464976182253,59.464976182253,60,False,223.88959965792802,9.910829363708833,13433.37597947568,208.51377721849545,False,1.6666666666666667,1.5134959395957854
ETH/USD,asia,2025-07-29 06:00:00,0.7095201051179759,4.228209994840348,42.28209994840348,43,False,222.13245364521254,9.833046499628715,9551.69550674414,249.76487064199463,False,2.3255813953488373,2.1285603153539276
ETH/USD,asia,2025-08-10 02:00:00,0.45570837435554473,6.583157494620437,65.83157494620437,66,False,225.3275167673841,9.974481052455207,14871.61610664735,349.29557138991436,False,1.5151515151515151,1.3671251230666341
ETH/USD,asia,2025-08-11 10:00:00,0.47554806928286114,6.308510524549236,63.08510524549238,64,False,222.67465024027672,9.857047694608184,14251.17761537771,337.04019594436295,False,1.5625,1.4266442078485835
ETH/USD,new_york,2025-08-11 20:00:00,1.4100051073005957,2.1276518676896092,21.27651867689609,22,False,218.47503069025154,9.671144853134587,4806.450675185534,113.64809457929874,False,4.545454545454546,4.230015321901787
ETH/USD,london,2025-08-22 10:00:00,0.28778275651757157,10.42453007366626,104.2453007366626,105,False,224.2802896915717,9.928123879682152,23549.43041761503,548.6213875171993,False,0.9523809523809523,0.8633482695527147
ETH/USD,new_york,2025-08-24 11:00:00,0.623941203195407,4.80814535830623,48.081453583062284,49,False,221.6692385760837,9.81254154756373,10861.792690228101,229.95114006514848,False,2.0408163265306123,1.871823609586221
ETH/USD,new_york,2025-08-24 19:00:00,0.38916780194088824,7.7087569553240645,77.08756955324063,78,False,223.261414260965,9.883021737594953,17414.39031235527,366.11312192751217,False,1.2820512820512822,1.1675034058226648
ETH/USD,asia,2025-08-26 12:00:00,1.6419978740166485,1.827042560451928,18.27042560451928,19,False,217.2295908296486,9.61601347606278,4127.362225763323,91.58920058517684,False,5.2631578947368425,4.925993622049946
ETH/USD,new_york,2025-08-27 18:00:00,1.0044352101602503,2.9867531222062316,29.86753122206231,30,False,224.90649243962545,9.955843740687435,6747.194773188764,146.87768536829657,False,3.3333333333333335,3.013305630480751
ETH/USD,london,2025-08-28 14:00:00,0.3354397275187105,8.943484488827172,89.43484488827171,90,False,224.48543555155703,9.937204987585746,20203.689199640132,443.78292543178173,False,1.1111111111111112,1.0063191825561315
ETH/USD,new_york,2025-09-18 19:00:00,0.3470611208142078,8.64401057935265,86.4401057935265,87,False,224.45017999058402,9.935644344083505,19527.16565918081,425.5047167589965,False,1.1494252873563218,1.0411833624426234
ETH/USD,london,2025-10-27 16:00:00,0.8145993484510986,3.6827920445852085,36.82792044585209,37,False,224.85336595675054,9.953492012392456,8319.57454039977,197.4901103704469,False,2.7027027027027026,2.443798045353296
ETH/USD,new_york,2025-11-06 14:00:00,0.3248549409631103,9.234891090484206,92.34891090484207,93,False,224.32245558115528,9.929990419875491,20861.98836904744,627.4965857271951,False,1.075268817204301,0.9745648228893309
ETH/USD,new_york,2025-11-13 03:00:00,1.7224576433524887,1.7416974005589938,17.41697400558994,18,False,218.58689420882163,9.676096669772189,3934.5640957587893,113.76637765336818,False,5.555555555555555,5.167372930057466
ETH/USD,london,2025-11-22 14:00:00,0.27566069240968305,10.882944440774468,108.82944440774465,109,False,225.55052118795547,9.984352697958224,24585.006809487146,895.4376692871938,False,0.9174311926605505,0.826982077229049
ETH/USD,asia,2025-11-27 14:00:00,1.5927435895289346,1.88354234775936,18.8354234775936,19,False,223.9472371201213,9.913380777680842,4254.997505282305,142.4827339717648,False,5.2631578947368425,4.778230768586804
ETH/USD,london,2025-12-08 18:00:00,0.5984163359090025,5.013232126163401,50.132321261634004,51,False,222.06062553506212,9.829866914045882,11325.091902288168,367.2787871397741,False,1.9607843137254901,1.7952490077270071
ETH/USD,new_york,2025-12-08 21:00:00,0.5196181301595015,5.773470604420831,57.73470604420831,58,False,224.87070748639368,9.954259662794536,13042.501034210834,414.3887003577018,False,1.7241379310344827,1.5588543904785046
