label,entries,days,gross,t_gross_day,grossR,netR,t_netR_naive,t_netR_day,stop,stop_vol,cost_over_stop,tight,lev,hold_h
1-minute trigger,71073,2033,0.14349084410889182,13.769953128337654,0.6397058286831341,-0.547482033073607,-5.188575534734796,-4.91759564464006,0.24167619705241244,3.5951300540013156,1.1871878617567408,16.28607206674827,4.137767857142876,0.6166666666666667
5-minute trigger,70194,2033,0.10445439136688328,9.152269203529928,0.3588480246730215,-0.09084563902171672,-0.9693863091457258,-0.5577328537839734,0.46925172394582026,7.088142217486569,0.44969366369473823,5.097301763683506,2.131052373321616,2.3333333333333335
15-minute trigger,48273,2033,0.04948949960791966,4.431958957933963,0.14068214615872554,-0.15688975724391,-3.9996785314617402,-2.3516641547107304,0.706264085196107,10.678264006994565,0.29757190340263556,2.674372837818242,1.4159009653199794,4.25
60-minute trigger,18536,2022,0.022393862210087784,3.0739301376568746,0.05036124950163604,-0.11815832873932508,-4.02131356245793,-0.9559026538577743,1.1758921013302435,17.40677527894745,0.16851957824096106,0.9333189469141131,0.8504181624051533,9.0
"  [R450 native arm A, 5m]",75023,2033,0.029622619982807335,3.302541414517691,0.07972768119131639,-0.118433507662971,-9.752939245993614,-4.035799294892496,0.6627699478087105,9.75723729814685,0.19816118885428738,1.1463151300267918,1.5088191661469559,3.5833333333333335
"  [random entry, 1m frame]",34905,2033,-0.008256032460393973,-0.7807138148713412,0.36893825340891745,-2.6191387278254017,-7.561176910664728,-8.002093691783793,0.14588424973727185,2.209713197210168,2.988076981234319,33.23879100415413,6.854749582637849,0.18333333333333332
"  [random entry, 5m frame]",41623,2033,0.002355167473469809,0.0636923523961624,0.1492579918555368,-1.3381966637562859,-13.66671315548541,-13.46107034852799,0.2667100404404206,4.102274239651987,1.4874546556118227,18.232707877855994,3.7493901554988,0.75
"  [random entry, 15m frame]",43004,2033,-0.008345286772137729,-0.5678776988256369,0.15864508689077897,-0.8025156235425229,-7.2555845280644355,-7.419998829673857,0.45245088096195185,7.028951571718961,0.9611607104333019,10.180448330387872,2.210184667723287,2.0
"  [random entry, 60m frame]",43516,2033,-0.018981904221986888,-0.6472157684753824,0.044594793629096095,-0.5777448593664583,-2.960913953776002,-2.679359128230443,0.9524468425399367,14.780845019855303,0.6223396529955544,4.005423292582039,1.0499273611252162,8.0
