name,n_tr,n_va,mean_tr,mean_va,gross_tr,gross_va,R_tr,win_tr,stop_tr,lev,verdict,n_assets_pos,arm,filt
"prev day low -> 1m BOS, hold 24h",3553,1265,-0.14055823650032148,-0.30912428340450854,0.35944176349967855,0.19087571659549146,-7.443517516438551,13.003095975232199,0.4560400982833145,2.1927896335526857,reject,1,PARENT,PARENT
"prev day low -> 1m BOS, target 1R",3553,1265,-0.3892357088568587,-0.4144659194934499,0.11076429114314125,0.08553408050655013,-8.387084445709487,16.943428088938926,0.4560400982833145,2.1927896335526857,reject,0,PARENT,PARENT
"prev day low -> 1m BOS, target 2R",3553,1265,-0.32651571265265883,-0.37998486679554067,0.1734842873473412,0.1200151332044593,-8.237320173388035,27.047565437658317,0.4560400982833145,2.1927896335526857,reject,0,PARENT,PARENT
"prev day low -> 1m BOS, target 3R",3553,1265,-0.31058925126963605,-0.3517467381702386,0.18941074873036398,0.14825326182976148,-8.160521602866938,26.59724176752041,0.4560400982833145,2.1927896335526857,reject,0,PARENT,PARENT
"prev day high -> 1m BOS, hold 24h",3706,1225,-0.3096344169983203,-0.364017262615847,0.19036558300167972,0.13598273738415306,-2.846722487773788,12.493254182406908,0.4703925834258598,2.1258838579405737,reject,0,PARENT,PARENT
"prev day high -> 1m BOS, target 1R",3706,1225,-0.45289666063085005,-0.41075985991679603,0.04710333936914998,0.089240140083204,-3.729820502743267,13.62655153804641,0.4703925834258598,2.1258838579405737,reject,0,PARENT,PARENT
"prev day high -> 1m BOS, target 2R",3706,1225,-0.38971510480288035,-0.37186609561872197,0.11028489519711963,0.12813390438127806,-3.5451815817883325,25.229357798165136,0.4703925834258598,2.1258838579405737,reject,0,PARENT,PARENT
"prev day high -> 1m BOS, target 3R",3706,1225,-0.35912026278631587,-0.3265436889300953,0.14087973721368413,0.17345631106990475,-3.376122041176484,27.280086346465193,0.4703925834258598,2.1258838579405737,reject,0,PARENT,PARENT
"last session low -> 1m BOS, hold 24h",7474,2566,-0.2665235417821136,-0.3365488911855441,0.23347645821788635,0.1634511088144559,-4.348595030529494,10.342520738560342,0.4308236621344795,2.321135276195333,reject,0,PARENT,PARENT
"last session low -> 1m BOS, target 1R",7474,2566,-0.41238403068116497,-0.4489451389857361,0.0876159693188351,0.05105486101426374,-4.628452613725117,15.801445009365803,0.4308236621344795,2.321135276195333,reject,0,PARENT,PARENT
"last session low -> 1m BOS, target 2R",7474,2566,-0.36055231063618753,-0.40690052938894056,0.1394476893638124,0.09309947061105946,-4.492001171636315,24.016590848274017,0.4308236621344795,2.321135276195333,reject,0,PARENT,PARENT
"last session low -> 1m BOS, target 3R",7474,2566,-0.32331240137097333,-0.388300010030939,0.17668759862902664,0.11169998996906097,-4.422035325449048,24.2039068771742,0.4308236621344795,2.321135276195333,reject,0,PARENT,PARENT
"last session high -> 1m BOS, hold 24h",7488,2674,-0.3538179749643283,-0.3353258066485788,0.14618202503567168,0.16467419335142117,-9.060167735366424,10.510149572649572,0.39225122241310645,2.549386573859627,reject,0,PARENT,PARENT
"last session high -> 1m BOS, target 1R",7488,2674,-0.4394810778585738,-0.4337785004960103,0.060518922141426186,0.06622149950398976,-9.620860428532309,12.206196581196581,0.39225122241310645,2.549386573859627,reject,0,PARENT,PARENT
"last session high -> 1m BOS, target 2R",7488,2674,-0.38913865901184025,-0.39061925873894954,0.11086134098815975,0.10938074126105045,-9.478820884798564,22.82318376068376,0.39225122241310645,2.549386573859627,reject,0,PARENT,PARENT
"last session high -> 1m BOS, target 3R",7488,2674,-0.35512914102112686,-0.38172290877506304,0.1448708589788731,0.11827709122493696,-9.355386271533321,25.360576923076923,0.39225122241310645,2.549386573859627,reject,0,PARENT,PARENT
"1h swing low -> 1m BOS, hold 24h",11243,3664,-0.26257230833958756,-0.35137396104239954,0.2374276916604125,0.14862603895760043,-4.388047091262197,10.068487058614249,0.3881264687720084,2.5764797829014228,reject,0,PARENT,PARENT
"1h swing low -> 1m BOS, target 1R",11243,3664,-0.41973053261823146,-0.43785558622620707,0.08026946738176852,0.06214441377379291,-4.887003625011283,14.124344036289246,0.3881264687720084,2.5764797829014228,reject,0,PARENT,PARENT
"1h swing low -> 1m BOS, target 2R",11243,3664,-0.3674046077887683,-0.4049417997867956,0.13259539221123165,0.09505820021320442,-4.7699497666854835,23.116605888108154,0.3881264687720084,2.5764797829014228,reject,0,PARENT,PARENT
