family,config,symbol,train_trades,train_$per_trade,train_pct_of_position,train_cost_multiple,train_win_pct,train_worst_drop_pct,val_trades,val_$per_trade,val_pct_of_position,val_cost_multiple,val_win_pct,verdict,E,H,filter,rsi_n,thresh,gate_pct,orig_constant,lookback,exit_ma
D2-breakout,"D2 buy a new 40-day high, sell when price drops below the 10-day average",ES,125,-17.29,-0.1808,-9.04,36.8,-27.6,51,45.02,0.4188,20.94,54.9,FAIL,,,,,,,"20-day channel, 20-day exit on gold daily",40.0,10.0
D2-breakout,"D2 buy a new 40-day high, sell when price drops below the 20-day average",ES,86,-6.77,-0.0468,-2.34,38.4,-19.0,28,148.6,1.2763,63.81,67.9,FAIL,,,,,,,"20-day channel, 20-day exit on gold daily",40.0,20.0
D2-breakout,"D2 buy a new 40-day high, sell when price drops below the 40-day average",ES,51,65.98,0.6291,31.45,39.2,-15.9,19,201.88,1.7675,88.38,63.2,SURVIVOR,,,,,,,"20-day channel, 20-day exit on gold daily",40.0,40.0
D2-breakout,"D2 buy a new 55-day high, sell when price drops below the 10-day average",ES,113,-16.28,-0.1662,-8.31,34.5,-23.8,49,21.89,0.2207,11.04,46.9,FAIL,,,,,,,"20-day channel, 20-day exit on gold daily",55.0,10.0
D2-breakout,"D2 buy a new 55-day high, sell when price drops below the 20-day average",ES,78,-11.67,-0.1001,-5.0,32.1,-17.8,27,100.88,0.9238,46.19,59.3,FAIL,,,,,,,"20-day channel, 20-day exit on gold daily",55.0,20.0
D2-breakout,"D2 buy a new 55-day high, sell when price drops below the 40-day average",ES,47,33.75,0.3772,18.86,40.4,-13.5,19,118.81,1.118,55.9,52.6,SURVIVOR,,,,,,,"20-day channel, 20-day exit on gold daily",55.0,40.0
D3-hidden-divergence,"D3 higher low in price with a lower low in RSI7 over 10 days, inside an uptrend",ES,90,38.61,0.3405,17.02,78.9,-11.7,42,15.57,0.1725,8.62,78.6,SURVIVOR,,,,7.0,,,BTC 4-hour bars,10.0,
D3-hidden-divergence,"D3 higher low in price with a lower low in RSI7 over 20 days, inside an uptrend",ES,80,64.07,0.5259,26.29,80.0,-6.7,37,15.61,0.1688,8.44,67.6,SURVIVOR,,,,7.0,,,BTC 4-hour bars,20.0,
D3-hidden-divergence,"D3 higher low in price with a lower low in RSI7 over 40 days, inside an uptrend",ES,47,74.96,0.6512,32.56,83.0,-6.8,22,17.14,0.1917,9.58,63.6,SURVIVOR,,,,7.0,,,BTC 4-hour bars,40.0,
D3-hidden-divergence,"D3 higher low in price with a lower low in RSI14 over 10 days, inside an uptrend",ES,82,28.75,0.2656,13.28,75.6,-6.3,39,8.92,0.1058,5.29,76.9,SURVIVOR,,,,14.0,,,BTC 4-hour bars,10.0,
D3-hidden-divergence,"D3 higher low in price with a lower low in RSI14 over 20 days, inside an uptrend",ES,71,66.6,0.5519,27.59,80.3,-4.9,34,14.89,0.1625,8.12,70.6,SURVIVOR,,,,14.0,,,BTC 4-hour bars,20.0,
D3-hidden-divergence,"D3 higher low in price with a lower low in RSI14 over 40 days, inside an uptrend",ES,47,78.86,0.6784,33.92,83.0,-5.7,25,35.84,0.3618,18.09,68.0,SURVIVOR,,,,14.0,,,BTC 4-hour bars,40.0,
D1-vol-gated-trend,"D1 trend 20/100 day avgs, only when daily range above 0.000% (0x this market's own median)",QQQ,24,211.97,2.6846,67.11,45.8,-50.4,8,1066.34,10.0042,250.1,62.5,NOT ENOUGH TRADES,,,,,,0.0,1.5% on BTC 4-hour bars,,
D1-vol-gated-trend,"D1 trend 20/100 day avgs, only when daily range above 1.363% (0.8x this market's own median)",QQQ,54,-4.18,0.3445,8.61,53.7,-50.4,27,142.59,1.5997,39.99,70.4,FAIL,,,,,,1.3633,1.5% on BTC 4-hour bars,,
D1-vol-gated-trend,"D1 trend 20/100 day avgs, only when daily range above 1.704% (1x this market's own median)",QQQ,33,-44.13,0.0077,0.19,45.5,-50.4,11,266.03,2.933,73.33,36.4,FAIL,,,,,,1.7041,1.5% on BTC 4-hour bars,,
D1-vol-gated-trend,"D1 trend 20/100 day avgs, only when daily range above 2.130% (1.25x this market's own median)",QQQ,22,-110.23,-0.932,-23.3,40.9,-50.4,13,145.37,1.4449,36.12,76.9,FAIL,,,,,,2.1301,1.5% on BTC 4-hour bars,,
D1-vol-gated-trend,"D1 trend 20/100 day avgs, only when daily range above 2.556% (1.5x this market's own median)",QQQ,12,-317.9,-3.6109,-90.27,41.7,-50.4,6,-106.57,-0.7718,-19.3,83.3,FAIL,,,,,,2.5562,1.5% on BTC 4-hour bars,,
D1-vol-gated-trend,"D1 trend 50/200 day avgs, only when daily range above 0.000% (0x this market's own median)",QQQ,11,1623.72,11.7123,292.81,54.5,-36.5,6,1920.36,16.1497,403.74,50.0,NOT ENOUGH TRADES,,,,,,0.0,1.5% on BTC 4-hour bars,,
D1-vol-gated-trend,"D1 trend 50/200 day avgs, only when daily range above 1.363% (0.8x this market's own median)",QQQ,54,147.07,1.3466,33.67,66.7,-36.5,22,283.24,2.5015,62.54,72.7,SURVIVOR,,,,,,1.3633,1.5% on BTC 4-hour bars,,
D1-vol-gated-trend,"D1 trend 50/200 day avgs, only when daily range above 1.704% (1x this market's own median)",QQQ,30,139.72,1.5639,39.1,63.3,-36.5,11,557.27,4.6642,116.6,63.6,SURVIVOR,,,,,,1.7041,1.5% on BTC 4-hour bars,,
