family,config,symbol,train_trades,train_$per_trade,train_pct_of_position,train_cost_multiple,train_win_pct,train_worst_drop_pct,val_trades,val_$per_trade,val_pct_of_position,val_cost_multiple,val_win_pct,verdict,E,H,filter,rsi_n,thresh,gate_pct,orig_constant,lookback,exit_ma
B-turn-of-month,"buy 2 days before month end, hold 3 days, only above 200-day avg",SPY,152,26.29,0.2321,5.8,60.5,-11.6,73,-4.29,-0.0367,-0.92,49.3,FAIL,2.0,3.0,only above 200-day avg,,,,,,
B-turn-of-month,"buy 2 days before month end, hold 4 days, no filter",SPY,230,35.05,0.2839,7.1,60.0,-17.7,81,1.98,0.033,0.82,55.6,SURVIVOR,2.0,4.0,no filter,,,,,,
B-turn-of-month,"buy 2 days before month end, hold 4 days, only above 200-day avg",SPY,152,29.25,0.2588,6.47,61.8,-12.9,73,-7.22,-0.0627,-1.57,54.8,FAIL,2.0,4.0,only above 200-day avg,,,,,,
B-turn-of-month,"buy 2 days before month end, hold 5 days, no filter",SPY,230,54.38,0.3846,9.61,58.7,-28.4,81,6.09,0.0798,1.99,61.7,SURVIVOR,2.0,5.0,no filter,,,,,,
B-turn-of-month,"buy 2 days before month end, hold 5 days, only above 200-day avg",SPY,152,51.32,0.3996,9.99,60.5,-11.8,73,-7.25,-0.0562,-1.4,60.3,FAIL,2.0,5.0,only above 200-day avg,,,,,,
B-turn-of-month,"buy 2 days before month end, hold 6 days, no filter",SPY,230,56.92,0.4011,10.03,61.3,-31.6,81,27.25,0.266,6.65,58.0,SURVIVOR,2.0,6.0,no filter,,,,,,
B-turn-of-month,"buy 2 days before month end, hold 6 days, only above 200-day avg",SPY,152,69.08,0.495,12.38,64.5,-15.5,73,11.12,0.1229,3.07,56.2,SURVIVOR,2.0,6.0,only above 200-day avg,,,,,,
B-turn-of-month,"buy 2 days before month end, hold 7 days, no filter",SPY,230,45.04,0.3581,8.95,59.1,-34.8,81,37.26,0.3475,8.69,60.5,SURVIVOR,2.0,7.0,no filter,,,,,,
B-turn-of-month,"buy 2 days before month end, hold 7 days, only above 200-day avg",SPY,152,78.34,0.5411,13.53,62.5,-18.5,73,19.45,0.1999,5.0,58.9,SURVIVOR,2.0,7.0,only above 200-day avg,,,,,,
B-turn-of-month,"buy 2 days before month end, hold 8 days, no filter",SPY,230,30.86,0.2833,7.08,61.3,-39.1,81,37.04,0.3508,8.77,58.0,SURVIVOR,2.0,8.0,no filter,,,,,,
B-turn-of-month,"buy 2 days before month end, hold 8 days, only above 200-day avg",SPY,152,71.01,0.5123,12.81,63.8,-22.3,73,23.26,0.2369,5.92,57.5,SURVIVOR,2.0,8.0,only above 200-day avg,,,,,,
B-turn-of-month,"buy 3 days before month end, hold 2 days, no filter",SPY,231,5.13,0.0613,1.53,55.4,-13.2,80,15.61,0.1512,3.78,57.5,SURVIVOR,3.0,2.0,no filter,,,,,,
B-turn-of-month,"buy 3 days before month end, hold 2 days, only above 200-day avg",SPY,153,4.09,0.0473,1.18,56.9,-16.7,70,4.12,0.0438,1.1,54.3,SURVIVOR,3.0,2.0,only above 200-day avg,,,,,,
B-turn-of-month,"buy 3 days before month end, hold 3 days, no filter",SPY,231,3.89,0.0585,1.46,55.0,-20.2,81,11.64,0.1184,2.96,54.3,SURVIVOR,3.0,3.0,no filter,,,,,,
B-turn-of-month,"buy 3 days before month end, hold 3 days, only above 200-day avg",SPY,153,6.01,0.0724,1.81,55.6,-24.2,71,-0.75,-0.0032,-0.08,50.7,FAIL,3.0,3.0,only above 200-day avg,,,,,,
B-turn-of-month,"buy 3 days before month end, hold 4 days, no filter",SPY,231,32.05,0.2651,6.63,61.0,-16.3,81,11.69,0.1218,3.04,54.3,SURVIVOR,3.0,4.0,no filter,,,,,,
B-turn-of-month,"buy 3 days before month end, hold 4 days, only above 200-day avg",SPY,153,29.42,0.258,6.45,62.1,-18.8,71,-3.78,-0.0306,-0.76,52.1,FAIL,3.0,4.0,only above 200-day avg,,,,,,
B-turn-of-month,"buy 3 days before month end, hold 5 days, no filter",SPY,231,36.33,0.2967,7.42,59.7,-22.1,81,8.34,0.0952,2.38,56.8,SURVIVOR,3.0,5.0,no filter,,,,,,
B-turn-of-month,"buy 3 days before month end, hold 5 days, only above 200-day avg",SPY,153,29.97,0.2709,6.77,61.4,-25.8,71,-4.01,-0.0282,-0.71,54.9,FAIL,3.0,5.0,only above 200-day avg,,,,,,
B-turn-of-month,"buy 3 days before month end, hold 6 days, no filter",SPY,231,55.93,0.3956,9.89,59.3,-29.7,81,12.66,0.1429,3.57,53.1,SURVIVOR,3.0,6.0,no filter,,,,,,
B-turn-of-month,"buy 3 days before month end, hold 6 days, only above 200-day avg",SPY,153,54.54,0.4239,10.6,60.8,-19.6,71,-3.28,-0.015,-0.37,50.7,FAIL,3.0,6.0,only above 200-day avg,,,,,,
B-turn-of-month,"buy 3 days before month end, hold 7 days, no filter",SPY,231,58.51,0.4149,10.37,56.7,-33.8,81,34.9,0.3289,8.22,60.5,SURVIVOR,3.0,7.0,no filter,,,,,,
B-turn-of-month,"buy 3 days before month end, hold 7 days, only above 200-day avg",SPY,153,73.33,0.5221,13.05,58.8,-14.0,71,15.43,0.1619,4.05,59.2,SURVIVOR,3.0,7.0,only above 200-day avg,,,,,,
B-turn-of-month,"buy 3 days before month end, hold 8 days, no filter",SPY,231,46.47,0.37,9.25,58.4,-35.0,81,45.41,0.4109,10.27,56.8,SURVIVOR,3.0,8.0,no filter,,,,,,
B-turn-of-month,"buy 3 days before month end, hold 8 days, only above 200-day avg",SPY,153,81.15,0.5602,14.0,60.8,-16.1,71,24.4,0.2413,6.03,54.9,SURVIVOR,3.0,8.0,only above 200-day avg,,,,,,
B-turn-of-month,"buy 4 days before month end, hold 2 days, no filter",SPY,231,15.26,0.1443,3.61,53.7,-25.1,80,18.58,0.1803,4.51,53.8,SURVIVOR,4.0,2.0,no filter,,,,,,
B-turn-of-month,"buy 4 days before month end, hold 2 days, only above 200-day avg",SPY,158,-0.54,0.0026,0.06,50.6,-19.6,70,2.47,0.0274,0.68,51.4,FAIL,4.0,2.0,only above 200-day avg,,,,,,
B-turn-of-month,"buy 4 days before month end, hold 3 days, no filter",SPY,231,27.21,0.2335,5.84,54.1,-15.9,80,33.7,0.3062,7.65,61.3,SURVIVOR,4.0,3.0,no filter,,,,,,
B-turn-of-month,"buy 4 days before month end, hold 3 days, only above 200-day avg",SPY,158,10.36,0.1086,2.72,51.9,-15.4,70,13.14,0.13,3.25,58.6,SURVIVOR,4.0,3.0,only above 200-day avg,,,,,,
B-turn-of-month,"buy 4 days before month end, hold 4 days, no filter",SPY,231,25.42,0.2316,5.79,58.4,-25.1,81,29.03,0.2699,6.75,59.3,SURVIVOR,4.0,4.0,no filter,,,,,,
B-turn-of-month,"buy 4 days before month end, hold 4 days, only above 200-day avg",SPY,158,13.83,0.1474,3.68,59.5,-23.3,71,8.65,0.0895,2.24,56.3,SURVIVOR,4.0,4.0,only above 200-day avg,,,,,,
B-turn-of-month,"buy 4 days before month end, hold 5 days, no filter",SPY,231,66.42,0.4371,10.93,61.9,-17.9,81,29.08,0.2734,6.84,59.3,SURVIVOR,4.0,5.0,no filter,,,,,,
B-turn-of-month,"buy 4 days before month end, hold 5 days, only above 200-day avg",SPY,158,41.73,0.343,8.58,61.4,-17.7,71,7.12,0.0771,1.93,57.7,SURVIVOR,4.0,5.0,only above 200-day avg,,,,,,
B-turn-of-month,"buy 4 days before month end, hold 6 days, no filter",SPY,231,72.65,0.4675,11.69,61.9,-26.5,81,25.3,0.2447,6.12,61.7,SURVIVOR,4.0,6.0,no filter,,,,,,
B-turn-of-month,"buy 4 days before month end, hold 6 days, only above 200-day avg",SPY,158,42.91,0.3574,8.94,62.7,-20.7,71,7.3,0.082,2.05,60.6,SURVIVOR,4.0,6.0,only above 200-day avg,,,,,,
B-turn-of-month,"buy 4 days before month end, hold 7 days, no filter",SPY,231,101.2,0.5647,14.12,64.1,-18.9,81,30.18,0.2932,7.33,63.0,SURVIVOR,4.0,7.0,no filter,,,,,,
B-turn-of-month,"buy 4 days before month end, hold 7 days, only above 200-day avg",SPY,158,67.78,0.4939,12.35,62.7,-18.1,71,4.57,0.0629,1.57,59.2,SURVIVOR,4.0,7.0,only above 200-day avg,,,,,,
B-turn-of-month,"buy 4 days before month end, hold 8 days, no filter",SPY,231,104.95,0.581,14.52,62.3,-23.2,81,55.28,0.4806,12.02,65.4,SURVIVOR,4.0,8.0,no filter,,,,,,
B-turn-of-month,"buy 4 days before month end, hold 8 days, only above 200-day avg",SPY,158,90.16,0.5947,14.87,63.9,-16.6,71,26.62,0.2601,6.5,63.4,SURVIVOR,4.0,8.0,only above 200-day avg,,,,,,
B-turn-of-month,"buy 5 days before month end, hold 2 days, no filter",SPY,231,13.19,0.1278,3.19,50.6,-14.7,80,6.37,0.0651,1.63,58.8,SURVIVOR,5.0,2.0,no filter,,,,,,
B-turn-of-month,"buy 5 days before month end, hold 2 days, only above 200-day avg",SPY,152,-10.2,-0.1039,-2.6,48.0,-22.7,71,2.65,0.0292,0.73,59.2,FAIL,5.0,2.0,only above 200-day avg,,,,,,
B-turn-of-month,"buy 5 days before month end, hold 3 days, no filter",SPY,231,14.25,0.1382,3.46,55.0,-22.3,80,13.04,0.1302,3.26,53.8,SURVIVOR,5.0,3.0,no filter,,,,,,
B-turn-of-month,"buy 5 days before month end, hold 3 days, only above 200-day avg",SPY,152,-7.24,-0.0678,-1.7,53.9,-23.6,71,4.41,0.0478,1.19,53.5,FAIL,5.0,3.0,only above 200-day avg,,,,,,
B-turn-of-month,"buy 5 days before month end, hold 4 days, no filter",SPY,231,25.99,0.2278,5.69,56.3,-14.3,80,27.58,0.2565,6.41,58.8,SURVIVOR,5.0,4.0,no filter,,,,,,
B-turn-of-month,"buy 5 days before month end, hold 4 days, only above 200-day avg",SPY,152,-2.25,-0.01,-0.25,53.3,-21.0,71,15.3,0.1513,3.78,56.3,FAIL,5.0,4.0,only above 200-day avg,,,,,,
B-turn-of-month,"buy 5 days before month end, hold 5 days, no filter",SPY,231,24.22,0.2257,5.64,60.6,-22.9,81,23.14,0.2215,5.54,56.8,SURVIVOR,5.0,5.0,no filter,,,,,,
B-turn-of-month,"buy 5 days before month end, hold 5 days, only above 200-day avg",SPY,152,-6.27,-0.0421,-1.05,57.9,-29.3,72,11.6,0.1184,2.96,55.6,FAIL,5.0,5.0,only above 200-day avg,,,,,,
B-turn-of-month,"buy 5 days before month end, hold 6 days, no filter",SPY,231,64.51,0.4311,10.78,60.2,-18.7,81,23.2,0.2248,5.62,55.6,SURVIVOR,5.0,6.0,no filter,,,,,,
B-turn-of-month,"buy 5 days before month end, hold 6 days, only above 200-day avg",SPY,152,13.23,0.1417,3.54,58.6,-23.8,72,7.97,0.0874,2.18,54.2,SURVIVOR,5.0,6.0,only above 200-day avg,,,,,,
B-turn-of-month,"buy 5 days before month end, hold 7 days, no filter",SPY,231,70.64,0.4626,11.56,62.3,-22.9,81,19.56,0.1968,4.92,60.5,SURVIVOR,5.0,7.0,no filter,,,,,,
B-turn-of-month,"buy 5 days before month end, hold 7 days, only above 200-day avg",SPY,152,16.88,0.1776,4.44,61.8,-31.3,72,6.94,0.0817,2.04,56.9,SURVIVOR,5.0,7.0,only above 200-day avg,,,,,,
B-turn-of-month,"buy 5 days before month end, hold 8 days, no filter",SPY,231,98.69,0.5606,14.02,64.1,-26.2,81,24.25,0.2446,6.12,59.3,SURVIVOR,5.0,8.0,no filter,,,,,,
B-turn-of-month,"buy 5 days before month end, hold 8 days, only above 200-day avg",SPY,152,37.05,0.3235,8.09,64.5,-24.1,72,9.16,0.1084,2.71,56.9,SURVIVOR,5.0,8.0,only above 200-day avg,,,,,,
B-turn-of-month,"buy 1 days before month end, hold 2 days, no filter",ES,175,14.83,0.1484,7.42,56.6,-13.8,62,1.96,0.0311,1.55,62.9,SURVIVOR,1.0,2.0,no filter,,,,,,
B-turn-of-month,"buy 1 days before month end, hold 2 days, only above 200-day avg",ES,117,1.05,0.0166,0.83,54.7,-10.6,55,11.32,0.1145,5.72,63.6,SURVIVOR,1.0,2.0,only above 200-day avg,,,,,,
B-turn-of-month,"buy 1 days before month end, hold 3 days, no filter",ES,175,18.34,0.18,9.0,57.7,-15.7,62,1.62,0.027,1.35,58.1,SURVIVOR,1.0,3.0,no filter,,,,,,
B-turn-of-month,"buy 1 days before month end, hold 3 days, only above 200-day avg",ES,117,5.34,0.0612,3.06,57.3,-12.4,55,16.19,0.1633,8.17,60.0,SURVIVOR,1.0,3.0,only above 200-day avg,,,,,,
B-turn-of-month,"buy 1 days before month end, hold 4 days, no filter",ES,175,21.82,0.2092,10.46,53.7,-19.9,62,21.53,0.2259,11.29,61.3,SURVIVOR,1.0,4.0,no filter,,,,,,
B-turn-of-month,"buy 1 days before month end, hold 4 days, only above 200-day avg",ES,117,6.68,0.0759,3.8,53.8,-11.9,55,24.04,0.2456,12.28,61.8,SURVIVOR,1.0,4.0,only above 200-day avg,,,,,,
B-turn-of-month,"buy 1 days before month end, hold 5 days, no filter",ES,175,13.53,0.1555,7.77,58.3,-27.6,62,51.33,0.4669,23.34,67.7,SURVIVOR,1.0,5.0,no filter,,,,,,
B-turn-of-month,"buy 1 days before month end, hold 5 days, only above 200-day avg",ES,117,18.78,0.1875,9.37,61.5,-16.9,55,54.94,0.4986,24.93,67.3,SURVIVOR,1.0,5.0,only above 200-day avg,,,,,,
B-turn-of-month,"buy 1 days before month end, hold 6 days, no filter",ES,175,4.71,0.0817,4.09,55.4,-32.2,62,80.7,0.6827,34.13,69.4,SURVIVOR,1.0,6.0,no filter,,,,,,
B-turn-of-month,"buy 1 days before month end, hold 6 days, only above 200-day avg",ES,117,12.89,0.1416,7.08,59.0,-18.3,55,86.38,0.734,36.7,70.9,SURVIVOR,1.0,6.0,only above 200-day avg,,,,,,
B-turn-of-month,"buy 1 days before month end, hold 7 days, no filter",ES,175,2.6,0.0729,3.65,56.6,-37.6,62,82.8,0.7073,35.36,64.5,SURVIVOR,1.0,7.0,no filter,,,,,,
B-turn-of-month,"buy 1 days before month end, hold 7 days, only above 200-day avg",ES,117,20.16,0.2075,10.38,59.0,-21.8,55,93.21,0.785,39.25,65.5,SURVIVOR,1.0,7.0,only above 200-day avg,,,,,,
B-turn-of-month,"buy 1 days before month end, hold 8 days, no filter",ES,175,-6.82,-0.0223,-1.12,53.7,-46.6,63,136.53,1.0227,51.13,73.0,FAIL,1.0,8.0,no filter,,,,,,
B-turn-of-month,"buy 1 days before month end, hold 8 days, only above 200-day avg",ES,117,13.69,0.1509,7.55,57.3,-19.9,55,130.93,1.0198,50.99,74.5,SURVIVOR,1.0,8.0,only above 200-day avg,,,,,,
B-turn-of-month,"buy 2 days before month end, hold 2 days, no filter",ES,175,-0.72,0.0041,0.2,51.4,-17.7,62,4.61,0.0562,2.81,51.6,FAIL,2.0,2.0,no filter,,,,,,
B-turn-of-month,"buy 2 days before month end, hold 2 days, only above 200-day avg",ES,118,-5.8,-0.0558,-2.79,50.0,-12.0,55,-20.29,-0.2069,-10.34,45.5,FAIL,2.0,2.0,only above 200-day avg,,,,,,
B-turn-of-month,"buy 2 days before month end, hold 3 days, no filter",ES,175,16.45,0.1627,8.13,59.4,-18.4,62,21.21,0.2083,10.41,54.8,SURVIVOR,2.0,3.0,no filter,,,,,,
B-turn-of-month,"buy 2 days before month end, hold 3 days, only above 200-day avg",ES,118,11.08,0.1125,5.63,61.0,-8.6,55,9.35,0.0977,4.88,54.5,SURVIVOR,2.0,3.0,only above 200-day avg,,,,,,
B-turn-of-month,"buy 2 days before month end, hold 4 days, no filter",ES,175,20.04,0.1987,9.94,58.3,-18.5,62,20.83,0.2112,10.56,59.7,SURVIVOR,2.0,4.0,no filter,,,,,,
B-turn-of-month,"buy 2 days before month end, hold 4 days, only above 200-day avg",ES,118,15.21,0.1521,7.6,60.2,-11.2,55,7.08,0.0823,4.12,60.0,SURVIVOR,2.0,4.0,only above 200-day avg,,,,,,
B-turn-of-month,"buy 2 days before month end, hold 5 days, no filter",ES,175,23.6,0.2292,11.46,60.0,-24.2,62,43.09,0.4085,20.43,64.5,SURVIVOR,2.0,5.0,no filter,,,,,,
B-turn-of-month,"buy 2 days before month end, hold 5 days, only above 200-day avg",ES,118,16.62,0.1671,8.36,60.2,-10.6,55,19.63,0.2104,10.52,63.6,SURVIVOR,2.0,5.0,only above 200-day avg,,,,,,
B-turn-of-month,"buy 2 days before month end, hold 6 days, no filter",ES,175,15.12,0.1757,8.78,57.1,-33.1,62,76.41,0.6581,32.91,61.3,SURVIVOR,2.0,6.0,no filter,,,,,,
B-turn-of-month,"buy 2 days before month end, hold 6 days, only above 200-day avg",ES,118,24.75,0.239,11.95,58.5,-18.8,55,46.04,0.4352,21.76,60.0,SURVIVOR,2.0,6.0,only above 200-day avg,,,,,,
B-turn-of-month,"buy 2 days before month end, hold 7 days, no filter",ES,175,6.11,0.1055,5.28,56.0,-35.5,62,109.24,0.8772,43.86,67.7,SURVIVOR,2.0,7.0,no filter,,,,,,
B-turn-of-month,"buy 2 days before month end, hold 7 days, only above 200-day avg",ES,118,16.61,0.1788,8.94,57.6,-19.6,55,64.62,0.5873,29.37,65.5,SURVIVOR,2.0,7.0,only above 200-day avg,,,,,,
B-turn-of-month,"buy 2 days before month end, hold 8 days, no filter",ES,175,3.95,0.0985,4.93,59.4,-41.4,62,111.59,0.9118,45.59,64.5,SURVIVOR,2.0,8.0,no filter,,,,,,
B-turn-of-month,"buy 2 days before month end, hold 8 days, only above 200-day avg",ES,118,25.44,0.2547,12.74,61.9,-24.1,55,56.84,0.5466,27.33,61.8,SURVIVOR,2.0,8.0,only above 200-day avg,,,,,,
B-turn-of-month,"buy 3 days before month end, hold 2 days, no filter",ES,175,10.27,0.1071,5.36,57.7,-11.1,62,5.9,0.0676,3.38,48.4,SURVIVOR,3.0,2.0,no filter,,,,,,
B-turn-of-month,"buy 3 days before month end, hold 2 days, only above 200-day avg",ES,116,16.8,0.1583,7.91,61.2,-4.8,54,-17.87,-0.1805,-9.03,42.6,FAIL,3.0,2.0,only above 200-day avg,,,,,,
B-turn-of-month,"buy 3 days before month end, hold 3 days, no filter",ES,175,10.27,0.1102,5.51,54.9,-20.8,62,-5.55,-0.0411,-2.05,53.2,FAIL,3.0,3.0,no filter,,,,,,
B-turn-of-month,"buy 3 days before month end, hold 3 days, only above 200-day avg",ES,116,10.06,0.1018,5.09,56.0,-11.9,54,-28.4,-0.2962,-14.81,48.1,FAIL,3.0,3.0,only above 200-day avg,,,,,,
B-turn-of-month,"buy 3 days before month end, hold 4 days, no filter",ES,175,30.78,0.2669,13.35,62.3,-18.0,62,10.04,0.1135,5.67,59.7,SURVIVOR,3.0,4.0,no filter,,,,,,
B-turn-of-month,"buy 3 days before month end, hold 4 days, only above 200-day avg",ES,116,30.21,0.2693,13.47,62.9,-10.5,54,-1.22,-0.0041,-0.21,57.4,FAIL,3.0,4.0,only above 200-day avg,,,,,,
B-turn-of-month,"buy 3 days before month end, hold 5 days, no filter",ES,175,35.07,0.3018,15.09,62.9,-18.7,62,9.68,0.1109,5.54,53.2,SURVIVOR,3.0,5.0,no filter,,,,,,
B-turn-of-month,"buy 3 days before month end, hold 5 days, only above 200-day avg",ES,116,35.78,0.3141,15.7,62.9,-13.2,54,-2.15,-0.0087,-0.43,51.9,FAIL,3.0,5.0,only above 200-day avg,,,,,,
B-turn-of-month,"buy 3 days before month end, hold 6 days, no filter",ES,175,39.33,0.3321,16.6,61.7,-21.3,62,30.58,0.3071,15.36,58.1,SURVIVOR,3.0,6.0,no filter,,,,,,
B-turn-of-month,"buy 3 days before month end, hold 6 days, only above 200-day avg",ES,116,31.37,0.2874,14.37,62.1,-16.3,54,9.54,0.1146,5.73,55.6,SURVIVOR,3.0,6.0,only above 200-day avg,,,,,,
B-turn-of-month,"buy 3 days before month end, hold 7 days, no filter",ES,175,29.19,0.2804,14.02,62.3,-32.9,62,61.86,0.5479,27.39,67.7,SURVIVOR,3.0,7.0,no filter,,,,,,
B-turn-of-month,"buy 3 days before month end, hold 7 days, only above 200-day avg",ES,116,44.71,0.3851,19.25,63.8,-15.8,54,32.96,0.3234,16.17,66.7,SURVIVOR,3.0,7.0,only above 200-day avg,,,,,,
B-turn-of-month,"buy 3 days before month end, hold 8 days, no filter",ES,175,18.42,0.2116,10.58,58.9,-33.8,62,92.67,0.769,38.45,72.6,SURVIVOR,3.0,8.0,no filter,,,,,,
B-turn-of-month,"buy 3 days before month end, hold 8 days, only above 200-day avg",ES,116,33.48,0.3134,15.67,58.6,-17.2,54,44.07,0.4245,21.22,70.4,SURVIVOR,3.0,8.0,only above 200-day avg,,,,,,
B-turn-of-month,"buy 4 days before month end, hold 2 days, no filter",ES,175,33.66,0.2813,14.06,57.7,-12.4,62,29.52,0.2825,14.12,62.9,SURVIVOR,4.0,2.0,no filter,,,,,,
B-turn-of-month,"buy 4 days before month end, hold 2 days, only above 200-day avg",ES,118,3.29,0.0383,1.91,55.9,-6.7,55,11.68,0.1209,6.04,63.6,SURVIVOR,4.0,2.0,only above 200-day avg,,,,,,
B-turn-of-month,"buy 4 days before month end, hold 3 days, no filter",ES,175,35.71,0.3014,15.07,57.1,-12.5,62,52.03,0.4713,23.56,64.5,SURVIVOR,4.0,3.0,no filter,,,,,,
B-turn-of-month,"buy 4 days before month end, hold 3 days, only above 200-day avg",ES,118,8.52,0.0886,4.43,55.9,-7.8,55,8.83,0.0994,4.97,60.0,SURVIVOR,4.0,3.0,only above 200-day avg,,,,,,
B-turn-of-month,"buy 4 days before month end, hold 4 days, no filter",ES,175,35.71,0.306,15.3,53.7,-15.8,62,37.43,0.3611,18.05,62.9,SURVIVOR,4.0,4.0,no filter,,,,,,
B-turn-of-month,"buy 4 days before month end, hold 4 days, only above 200-day avg",ES,118,4.5,0.0538,2.69,54.2,-14.5,55,-1.94,-0.0004,-0.02,58.2,FAIL,4.0,4.0,only above 200-day avg,,,,,,
B-turn-of-month,"buy 4 days before month end, hold 5 days, no filter",ES,175,63.97,0.4588,22.94,59.4,-13.4,62,57.31,0.5071,25.36,62.9,SURVIVOR,4.0,5.0,no filter,,,,,,
B-turn-of-month,"buy 4 days before month end, hold 5 days, only above 200-day avg",ES,118,25.17,0.2332,11.66,55.9,-10.0,55,30.59,0.2949,14.75,61.8,SURVIVOR,4.0,5.0,only above 200-day avg,,,,,,
B-turn-of-month,"buy 4 days before month end, hold 6 days, no filter",ES,175,69.88,0.4966,24.83,62.3,-15.0,62,56.86,0.507,25.35,58.1,SURVIVOR,4.0,6.0,no filter,,,,,,
B-turn-of-month,"buy 4 days before month end, hold 6 days, only above 200-day avg",ES,118,28.22,0.26,13.0,61.0,-12.1,55,27.92,0.2776,13.88,54.5,SURVIVOR,4.0,6.0,only above 200-day avg,,,,,,
B-turn-of-month,"buy 4 days before month end, hold 7 days, no filter",ES,175,75.74,0.5243,26.21,62.9,-18.4,62,83.52,0.7032,35.16,67.7,SURVIVOR,4.0,7.0,no filter,,,,,,
B-turn-of-month,"buy 4 days before month end, hold 7 days, only above 200-day avg",ES,118,24.24,0.2353,11.76,61.9,-16.3,55,42.17,0.4036,20.18,63.6,SURVIVOR,4.0,7.0,only above 200-day avg,,,,,,
B-turn-of-month,"buy 4 days before month end, hold 8 days, no filter",ES,175,61.78,0.4678,23.39,64.6,-22.2,62,123.43,0.9516,47.58,69.4,SURVIVOR,4.0,8.0,no filter,,,,,,
B-turn-of-month,"buy 4 days before month end, hold 8 days, only above 200-day avg",ES,118,34.68,0.3181,15.9,65.3,-16.3,55,69.12,0.6102,30.51,67.3,SURVIVOR,4.0,8.0,only above 200-day avg,,,,,,
B-turn-of-month,"buy 5 days before month end, hold 2 days, no filter",ES,175,17.61,0.1672,8.36,49.1,-12.5,62,32.15,0.309,15.45,61.3,SURVIVOR,5.0,2.0,no filter,,,,,,
B-turn-of-month,"buy 5 days before month end, hold 2 days, only above 200-day avg",ES,115,-12.31,-0.1276,-6.38,47.0,-16.9,55,2.61,0.0366,1.83,58.2,FAIL,5.0,2.0,only above 200-day avg,,,,,,
B-turn-of-month,"buy 5 days before month end, hold 3 days, no filter",ES,175,32.16,0.2746,13.73,58.9,-11.3,62,20.3,0.2097,10.49,67.7,SURVIVOR,5.0,3.0,no filter,,,,,,
B-turn-of-month,"buy 5 days before month end, hold 3 days, only above 200-day avg",ES,115,1.71,0.0248,1.24,55.7,-11.3,55,-3.13,-0.0154,-0.77,65.5,FAIL,5.0,3.0,only above 200-day avg,,,,,,
B-turn-of-month,"buy 5 days before month end, hold 4 days, no filter",ES,175,34.18,0.2954,14.77,53.7,-16.9,62,41.72,0.4013,20.06,58.1,SURVIVOR,5.0,4.0,no filter,,,,,,
B-turn-of-month,"buy 5 days before month end, hold 4 days, only above 200-day avg",ES,115,8.31,0.0871,4.36,52.2,-13.4,55,-5.76,-0.0362,-1.81,52.7,FAIL,5.0,4.0,only above 200-day avg,,,,,,
B-turn-of-month,"buy 5 days before month end, hold 5 days, no filter",ES,175,34.18,0.2998,14.99,54.3,-19.4,62,27.83,0.2894,14.47,62.9,SURVIVOR,5.0,5.0,no filter,,,,,,
B-turn-of-month,"buy 5 days before month end, hold 5 days, only above 200-day avg",ES,115,3.41,0.0443,2.21,53.0,-18.5,55,-15.7,-0.1368,-6.84,58.2,FAIL,5.0,5.0,only above 200-day avg,,,,,,
B-turn-of-month,"buy 5 days before month end, hold 6 days, no filter",ES,175,61.97,0.4497,22.48,60.0,-15.7,62,46.75,0.4321,21.6,56.5,SURVIVOR,5.0,6.0,no filter,,,,,,
B-turn-of-month,"buy 5 days before month end, hold 6 days, only above 200-day avg",ES,115,24.65,0.2302,11.51,60.9,-13.8,55,14.34,0.1562,7.81,50.9,SURVIVOR,5.0,6.0,only above 200-day avg,,,,,,
B-turn-of-month,"buy 5 days before month end, hold 7 days, no filter",ES,175,67.78,0.4908,24.54,62.9,-17.8,62,46.32,0.4351,21.75,59.7,SURVIVOR,5.0,7.0,no filter,,,,,,
B-turn-of-month,"buy 5 days before month end, hold 7 days, only above 200-day avg",ES,115,32.09,0.2903,14.51,65.2,-13.0,55,11.87,0.1412,7.06,54.5,SURVIVOR,5.0,7.0,only above 200-day avg,,,,,,
B-turn-of-month,"buy 5 days before month end, hold 8 days, no filter",ES,175,73.55,0.5205,26.02,61.7,-26.2,62,71.7,0.6266,31.33,67.7,SURVIVOR,5.0,8.0,no filter,,,,,,
B-turn-of-month,"buy 5 days before month end, hold 8 days, only above 200-day avg",ES,115,32.57,0.2979,14.9,60.9,-15.7,55,25.04,0.2633,13.17,63.6,SURVIVOR,5.0,8.0,only above 200-day avg,,,,,,
B-turn-of-month,"buy 1 days before month end, hold 2 days, no filter",QQQ,187,5.39,0.0867,2.17,52.4,-31.5,65,10.39,0.1207,3.02,56.9,SURVIVOR,1.0,2.0,no filter,,,,,,
B-turn-of-month,"buy 1 days before month end, hold 2 days, only above 200-day avg",QQQ,126,12.37,0.1308,3.27,51.6,-20.1,54,13.85,0.1529,3.82,57.4,SURVIVOR,1.0,2.0,only above 200-day avg,,,,,,
B-turn-of-month,"buy 1 days before month end, hold 3 days, no filter",QQQ,187,-1.52,0.0344,0.86,52.4,-38.0,65,17.55,0.1902,4.75,61.5,FAIL,1.0,3.0,no filter,,,,,,
B-turn-of-month,"buy 1 days before month end, hold 3 days, only above 200-day avg",QQQ,126,15.87,0.171,4.28,54.8,-19.9,54,22.86,0.2397,5.99,63.0,SURVIVOR,1.0,3.0,only above 200-day avg,,,,,,
B-turn-of-month,"buy 1 days before month end, hold 4 days, no filter",QQQ,187,31.23,0.3084,7.71,50.8,-29.1,65,35.7,0.3548,8.87,58.5,SURVIVOR,1.0,4.0,no filter,,,,,,
