entry_idx,exit_idx,entry_time,exit_time,direction,entry_price,exit_price,stop_price,stop_dist_pct,notional,leverage,pnl,reason,hold_hours
408,412,2020-04-11 10:00:00+00:00,2020-04-11 14:00:00+00:00,1,6858.056799999999,6813.9552,6816.0,0.6132465977826167,32613.30771718295,3.261330771718295,-250.36479256624423,"stop:stop_structure(k=5,n_back=1,buffer_pct=0.0,use=wick)",4.0
416,434,2020-04-11 18:00:00+00:00,2020-04-12 12:00:00+00:00,1,6783.53445,6907.564908660001,6741.5,0.6196541096655019,31467.991756551877,3.2276070937052737,530.1751158993491,"target:target_fixed_r(stop=stop_structure(k=5,n_back=1,buffer_pct=0.0,use=wick),r=3.0)",18.0
446,447,2020-04-13 00:00:00+00:00,2020-04-13 01:00:00+00:00,1,6903.070299999999,6709.4865500000005,6780.0,1.7828342266773587,11531.986731589097,1.1218092911124833,-337.18158829650173,"stop:stop_structure(k=5,n_back=1,buffer_pct=0.0,use=wick)",1.0
448,449,2020-04-13 02:00:00+00:00,2020-04-13 03:00:00+00:00,1,6687.50565,6677.996,6680.0,0.11223392386965772,177176.88898738712,17.819924057210095,-466.62179593036274,"stop:stop_structure(k=5,n_back=1,buffer_pct=0.0,use=wick)",1.0
450,457,2020-04-13 04:00:00+00:00,2020-04-13 11:00:00+00:00,1,6671.500849999999,6745.978998979998,6646.0,0.3822355804691151,49582.02440220976,5.232375273765498,492.2017041237508,"target:target_fixed_r(stop=stop_structure(k=5,n_back=1,buffer_pct=0.0,use=wick),r=3.0)",7.0
479,517,2020-04-14 09:00:00+00:00,2020-04-15 23:00:00+00:00,1,6778.0328,6603.51835,6605.5,2.5454701251962066,7832.115996617036,0.7857094766908093,-196.2691779133815,"stop:stop_structure(k=5,n_back=1,buffer_pct=0.0,use=wick)",38.0
596,604,2020-04-19 06:00:00+00:00,2020-04-19 14:00:00+00:00,1,7119.635249999999,7049.384550000001,7051.5,0.9570047847605586,20421.92394630824,2.0898537100840073,-218.86952492364725,"stop:stop_structure(k=5,n_back=1,buffer_pct=0.0,use=wick)",8.0
625,626,2020-04-20 11:00:00+00:00,2020-04-20 12:00:00+00:00,1,7072.62115,6963.41035,7047.0,0.36225819899882444,52741.77350185501,5.520924041270602,-877.1103984009507,"stop:stop_structure(k=5,n_back=1,buffer_pct=0.0,use=wick)",1.0
632,680,2020-04-20 18:00:00+00:00,2020-04-22 18:00:00+00:00,1,6869.0601,7091.8718,6465.5,5.875041040913294,2953.4975097444776,0.3404231538251678,91.24972676159744,time_cap,48.0
800,805,2020-04-27 18:00:00+00:00,2020-04-27 23:00:00+00:00,1,7661.2977,7770.858842760001,7624.0,0.4868326680478697,36017.34166241916,4.108187743480153,469.28860828453105,"target:target_fixed_r(stop=stop_structure(k=5,n_back=1,buffer_pct=0.0,use=wick),r=3.0)",5.0
