entry_idx,exit_idx,entry_time,exit_time,direction,entry_price,exit_price,stop_price,stop_dist_pct,notional,leverage,pnl,reason,hold_hours
80,84,2024-03-06 16:00:00+00:00,2024-03-06 20:00:00+00:00,1,80.314087915802,79.07626847457885,77.5199966430664,3.4789553679110568,5748.852136613936,0.5748852136613936,-95.44810995038418,time_cap,4.0
195,199,2024-03-13 15:00:00+00:00,2024-03-13 19:00:00+00:00,-1,79.02628805084228,79.75392235794067,79.98999786376953,1.2194800448013416,16243.893341712055,1.6400432368910214,-169.1480099542275,time_cap,4.0
309,313,2024-03-20 15:00:00+00:00,2024-03-21 07:00:00+00:00,-1,81.97540000000001,81.69449916839599,83.20999908447266,1.5060604577381125,12928.304212589943,1.3279679376243065,28.813361769634056,time_cap,4.0
413,417,2024-03-27 15:00:00+00:00,2024-03-27 19:00:00+00:00,1,81.394413747406,81.70548435592652,80.55000305175781,1.0374307729135823,18823.84347331941,1.9278394782748554,49.30859610277899,time_cap,4.0
505,509,2024-04-03 15:00:00+00:00,2024-04-03 19:00:00+00:00,1,85.78573013687134,85.50433977966308,84.8499984741211,1.0907777566936607,17993.630283980718,1.8335540743536538,-80.57881136747164,time_cap,4.0
620,624,2024-04-10 15:00:00+00:00,2024-04-10 19:00:00+00:00,-1,85.14444716949463,86.355900831604,86.9800033569336,2.1558143231407425,9029.485445129323,0.9277236812705922,-139.3859440241164,time_cap,4.0
735,736,2024-04-17 15:00:00+00:00,2024-04-17 16:00:00+00:00,1,84.815437915802,83.33499261016846,84.75,0.07715330771145118,191871.22165152428,20.0,-3577.329716756565,"stop:stop_structure(k=5,n_back=1,buffer_pct=0.0,use=wick)",1.0
838,842,2024-04-24 15:00:00+00:00,2024-04-24 19:00:00+00:00,-1,82.70518435592652,82.934876663208,83.70999908447266,1.2149356009193557,9903.786441465865,1.646177787930963,-39.4062580022611,time_cap,4.0
953,957,2024-05-01 15:00:00+00:00,2024-05-01 19:00:00+00:00,-1,80.08596761016845,79.04370264205933,83.30000305175781,4.0132317027549735,2978.5596997623943,0.4983514903032025,35.21293655963844,time_cap,4.0
1068,1072,2024-05-08 15:00:00+00:00,2024-05-08 19:00:00+00:00,1,78.58356555786132,79.16624544067383,76.95999908447266,2.0660381873271283,5819.871173005675,0.9680363181415522,36.143329541761375,time_cap,4.0
