family,indicator,mode,config,tf,asset,tr_n,tr_exp,tr_win%,tr_ret%,va_n,va_exp,va_win%,va_ret%,va_dd%,verdict,va_exp_delta_vs_base,tr_exp_delta_vs_base,va_sample_retention_vs_base,filter_is_noop
volatility,BB-inside-KC squeeze release,filter,BB20/2 KC20/1.5,1h,BTC,232,15.7288,33.19,36.49,78,9.3481,38.46,7.29,-25.53,SURVIVOR,8.9295,7.9936,0.655,False
volatility,BB-inside-KC squeeze release,signal,BB20/2 KC20/2,1h,BTC,894,4.3168,33.11,38.59,295,-4.3658,34.58,-12.88,-28.51,FAIL,,,,False
volatility,BB-inside-KC squeeze release,filter,BB20/2 KC20/2,1h,BTC,276,29.9967,35.51,82.79,93,4.1938,39.78,3.9,-28.52,SURVIVOR,3.7752000000000003,22.2615,0.782,False
volatility,BB-inside-KC squeeze release,signal,BB20/2 KC20/1.5,15m,BTC,3074,-2.6452,25.86,-81.31,1085,-3.5299,27.28,-38.3,-45.56,FAIL,,,,False
volatility,BB-inside-KC squeeze release,signal,BB20/2 KC20/2,15m,BTC,3808,-2.2759,27.73,-86.66,1274,-3.7057,29.83,-47.21,-51.65,FAIL,,,,False
volatility,Stdev channel mean-revert,signal,50/2,1h,BTC,612,-14.2831,56.37,-87.41,206,2.4265,60.68,5.0,-18.84,FAIL,,,,False
volatility,Stdev channel mean-revert,filter,50/2,1h,BTC,351,5.2285,33.62,18.35,119,-3.7406,36.13,-4.45,-30.3,FAIL,-4.1592,-2.5066999999999995,1.0,False
volatility,Stdev channel mean-revert,signal,100/2,1h,BTC,313,-25.929,56.55,-81.16,116,-14.2909,57.76,-16.58,-29.72,FAIL,,,,False
volatility,Stdev channel mean-revert,filter,100/2,1h,BTC,350,7.6951,33.43,26.93,119,-4.3046,38.66,-5.12,-27.67,FAIL,-4.723199999999999,-0.0400999999999998,1.0,False
volatility,Stdev channel mean-revert,signal,50/2,15m,BTC,2414,-3.5998,61.14,-86.9,791,-4.629,63.72,-36.62,-47.71,FAIL,,,,False
volatility,Stdev channel mean-revert,signal,100/2,15m,BTC,1423,-6.0502,61.77,-86.09,469,-11.0424,59.7,-51.79,-54.98,FAIL,,,,False
volume,OBV trend (vs own MA),signal,20,1h,BTC,4228,3.7068,25.71,156.72,1347,-0.4838,25.46,-6.52,-38.54,FAIL,,,,False
volume,OBV trend (vs own MA),filter,20,1h,BTC,351,4.4082,34.47,15.47,118,3.5493,38.98,4.19,-27.06,SURVIVOR,3.1307,-3.327,0.992,False
volume,OBV trend (vs own MA),signal,50,1h,BTC,2533,-0.8166,22.42,-20.69,776,-5.0765,22.55,-39.39,-48.56,FAIL,,,,False
volume,OBV trend (vs own MA),filter,50,1h,BTC,329,6.8398,34.04,22.5,110,6.1066,39.09,6.72,-24.98,SURVIVOR,5.688000000000001,-0.8953999999999995,0.924,False
volume,OBV trend (vs own MA),signal,20,15m,BTC,16704,-0.5986,23.56,-99.99,5590,-1.6689,23.99,-93.29,-93.3,FAIL,,,,False
volume,OBV trend (vs own MA),signal,50,15m,BTC,9620,-1.0345,20.84,-99.52,3146,-1.4802,21.84,-46.57,-61.95,FAIL,,,,False
volume,OBV divergence,signal,20,1h,BTC,354,-3.9774,59.04,-14.08,123,19.2585,56.1,23.69,-49.07,FAIL,,,,False
volume,OBV divergence,filter,20,1h,BTC,204,43.5692,31.86,88.88,65,81.0775,33.85,52.7,-12.72,SURVIVOR,80.6589,35.834,0.546,False
volume,OBV divergence,signal,50,1h,BTC,117,-77.1958,61.54,-90.32,45,78.4631,64.44,35.31,-51.6,FAIL,,,,False
volume,OBV divergence,filter,50,1h,BTC,150,39.5032,34.0,59.25,48,21.3295,37.5,10.24,-18.39,SURVIVOR,20.910899999999998,31.768,0.403,False
volume,OBV divergence,signal,20,15m,BTC,2225,-3.8905,56.58,-86.56,700,-3.549,55.0,-24.84,-49.41,FAIL,,,,False
volume,OBV divergence,signal,50,15m,BTC,630,-14.8308,58.1,-93.43,201,-31.4254,52.74,-63.17,-72.86,FAIL,,,,False
volume,CMF 0-cross,signal,20,1h,BTC,3764,-2.0755,36.58,-78.12,1261,-5.1749,35.29,-65.26,-73.81,FAIL,,,,False
volume,CMF 0-cross,filter,20,1h,BTC,347,6.9686,34.01,24.18,118,-2.6607,38.98,-3.14,-29.99,FAIL,-3.0793,-0.7665999999999995,0.992,False
volume,CMF 0-cross,signal,10,1h,BTC,5835,-1.6932,34.98,-98.8,1910,-3.6314,35.39,-69.36,-73.93,FAIL,,,,False
volume,CMF 0-cross,filter,10,1h,BTC,348,9.2266,34.48,32.11,117,3.1258,39.32,3.66,-29.5,SURVIVOR,2.7072,1.4913999999999996,0.983,False
volume,CMF 0-cross,signal,20,15m,BTC,15917,-0.6283,32.78,-100.0,5259,-1.8285,32.53,-96.16,-96.27,FAIL,,,,False
volume,CMF 0-cross,signal,10,15m,BTC,22666,-0.4412,33.17,-100.0,7579,-1.3072,32.79,-99.07,-99.08,FAIL,,,,False
volume,MFI extremes,signal,14/20-80,1h,BTC,1027,-7.2102,57.55,-74.05,376,-2.313,60.64,-8.7,-29.61,FAIL,,,,False
volume,MFI extremes,filter,14/20-80,1h,BTC,351,5.8081,34.19,20.39,119,5.0715,39.5,6.04,-26.3,SURVIVOR,4.652900000000001,-1.9271000000000003,1.0,False
volume,MFI extremes,signal,14/30-70,1h,BTC,2118,-4.5675,60.58,-96.74,762,-4.6047,58.92,-35.09,-41.21,FAIL,,,,False
volume,MFI extremes,filter,14/30-70,1h,BTC,349,1.1459,32.66,4.0,119,-8.8243,34.45,-10.5,-34.25,FAIL,-9.242899999999999,-6.5893,1.0,False
volume,MFI extremes,signal,14/20-80,15m,BTC,4167,-2.1002,59.25,-87.52,1373,-1.7086,59.94,-23.46,-29.06,FAIL,,,,False
volume,MFI extremes,signal,14/30-70,15m,BTC,8836,-1.1135,58.67,-98.39,2971,-2.3329,57.09,-69.31,-70.89,FAIL,,,,False
volume,VWAP session cross,signal,cross,1h,BTC,7028,-0.6439,24.46,-45.25,2319,-2.4628,25.74,-57.11,-68.25,FAIL,,,,False
volume,VWAP session cross,filter,cross,1h,BTC,351,7.522,34.47,26.4,119,0.4186,38.66,0.5,-28.55,SURVIVOR,0.0,-0.2131999999999996,1.0,False
volume,VWAP session cross,signal,cross,15m,BTC,15058,-0.6519,18.35,-98.16,4999,-1.5814,19.94,-79.05,-83.99,FAIL,,,,False
volume,VWAP fade band,signal,k=1,1h,BTC,2463,-3.9607,63.91,-97.55,825,-6.6694,62.67,-55.02,-60.57,FAIL,,,,False
volume,VWAP fade band,filter,k=1,1h,BTC,351,5.1478,31.05,18.07,119,4.609,34.45,5.48,-31.51,SURVIVOR,4.1904,-2.5873999999999997,1.0,False
volume,VWAP fade band,signal,k=2,1h,BTC,999,-7.2388,61.36,-72.32,329,-11.476,59.27,-37.76,-42.05,FAIL,,,,False
