symbol,09:30-10:00,10:00-10:30,10:30-12:00,12:00-14:00,14:00-15:30,15:30-16:00
NVDA,32.38432099546512,7.96208203183423,25.307129717466253,-56.91606945286466,8.319546713587126,32.046326042412375
AMD,-1.9518477715445925,71.21061128080075,31.163636034769397,-39.44889783860451,-37.88286173462468,4.47431758651241
AVGO,15.070996130176137,0.20793233653243348,15.667090955372409,-8.226826888117358,34.691173020872576,-9.75013759230088
MU,-2.5152736042019406,-35.03896470478316,-34.26330635638767,-43.414523246420316,21.118491473335908,-8.411295361490158
MSFT,37.45293136224183,19.107740465247847,-11.17557595947507,-13.310599398198308,25.638519090139965,19.635603994488743
GOOGL,4.25117193033552,15.931524105823483,4.976611867790152,-13.097054642261453,23.986208915722862,-0.7357622781841489
META,31.708851523191615,7.429015454901421,2.544325832140583,-27.96727157368456,36.90765865898385,-8.011034722756659
AMZN,-12.230617917095467,7.774292789197947,10.34413511164589,-25.99261904218614,-20.493462806136883,12.622274351009766
TSLA,21.646271756089465,52.2482114085474,19.03481692183158,-30.96347354446834,52.29708013378577,41.656509076667504
SMH,8.58107448451101,-6.776414648933683,-0.9353271913861141,-14.444255264803475,24.283270054954524,-10.92998878658219
