population,key,entries,days,gross,t_naive,t_by_day,stop_median
parent (bare sweep -> 1m BOS),PARENT,71073,2033,0.14349084410889182,18.370110487739858,13.769953128337654,0.24167619705241244
kept by DAILY,DAILY,35264,2029,0.12874236424883442,10.89508280079929,8.773491507539916,0.23911850821152253
thrown away by DAILY,DAILY_C,35809,2031,0.15801485745148897,15.425700763925096,11.638814502973368,0.24411445315421829
kept by H4,H4,27986,2031,0.12519888425770886,10.482572082783154,9.077034288951465,0.24191121643632574
thrown away by H4,H4_C,43087,2033,0.15537189380822583,15.103420162065886,10.940807454187514,0.2413955794025964
kept by AGREE,AGREE,16608,1859,0.1199701095910177,7.189695783831811,7.169611923119459,0.24908614727638345
thrown away by AGREE,AGREE_C,54465,2033,0.15066301630888912,17.058790578918767,12.518065603194637,0.23955402553563343
STAND-DOWN set (he sits these out),STANDDOWN,29977,1739,0.13372588558788692,11.106930658884341,6.439358063691636,0.23151458137347677
