family,indicator,tf,eye_direction,eye_state,eye_tr_n,eye_tr_exp,eye_va_n,eye_va_exp,eye_va_win_pct,eye_va_ret_pct,eye_verdict,ungated_tr_n,ungated_tr_exp,ungated_va_n,ungated_va_exp,ungated_verdict,atr_gate_dir,atr_tr_n,atr_tr_exp,atr_va_n,atr_va_exp,control_n_draws,control_mean_va_exp,control_median_va_exp,control_pct_beat_eye,control_pct_beat_ungated
momentum,RSI OB/OS,15m,short,uptrend|at range high|messy|stalling,29,15.202,10,2.739,40.0,0.27,SURVIVOR,3307,-2.628,1081,-3.4485,FAIL,below,452,-8.629123883416238,92,-17.886965294149732,20,-11.950335,-20.0878,0.3,0.3
momentum,RSI OB/OS,1h,short,uptrend|at range high|clean|expanding,22,13.9317,5,-9.1597,40.0,-0.46,UNRELIABLE,995,-7.4869,335,-5.753,FAIL,below,169,-12.441278286239516,32,4.2710549410293766,20,-4.821,-11.0113,0.35,0.35
momentum,Stochastic %K/%D cross,15m,long,downtrend|at range low|messy|expanding,585,-1.3715,191,-8.8313,34.55,-16.87,FAIL,54753,-0.1826,18181,-0.5498,FAIL,below,1471,-5.064734274731536,450,-4.1183745920117545,20,-8.89997,-8.9235,0.4,0.1
momentum,Stochastic %K/%D cross,1h,long,downtrend|pulling back in trend|messy|expanding,257,23.2403,64,42.3154,48.44,27.08,SURVIVOR,13655,-0.7311,4543,-2.09,FAIL,below,663,-5.538629109079295,183,-11.257077454216926,20,0.40684499999999957,-7.4545,0.1,0.4
momentum,Stochastic RSI extremes,15m,long,transition|at range high|clean|expanding,33,18.9933,8,-33.7288,25.0,-2.7,FAIL,22754,-0.4394,7636,-1.2413,FAIL,below,1387,-5.305576741790905,409,-2.4467618584707793,20,-4.7912300000000005,-13.0366,1.0,0.35
momentum,Stochastic RSI extremes,1h,long,uptrend|at range low|messy|contracting,31,49.3561,14,-13.0645,42.86,-1.83,FAIL,5499,-1.7332,1870,-2.1437,FAIL,below,570,0.8894907133049345,156,-4.6785752979359385,20,-16.24787,-8.39875,0.5,0.5
momentum,Stochastic extremes,15m,long,transition|mid range|messy|stalling,73,15.215,24,-15.9797,29.17,-3.84,FAIL,18121,-0.5504,6345,-1.3545,FAIL,below,1248,-4.249380532928209,357,-5.22111512696855,20,-4.18056,-5.91085,0.8,0.4
momentum,Stochastic extremes,1h,short,downtrend|pulling back in trend|clean|expanding,32,63.1896,10,15.0399,40.0,1.5,SURVIVOR,4020,-2.2536,1520,0.7962,FAIL,below,507,-7.810699615295648,139,0.5292250830960309,20,-25.99928,-24.5393,0.1,0.1
momentum,TSI 0-cross,15m,short,uptrend|pulling back in trend|clean|expanding,40,21.8696,10,-17.084,30.0,-1.71,FAIL,4976,-1.8416,1565,-1.7037,FAIL,below,924,-4.709024038961256,241,-8.195223361135511,20,-11.69064,-9.2884,0.55,0.45
momentum,TSI 0-cross,1h,long,downtrend|at range high|messy|expanding,20,76.9324,6,-10.6153,33.33,-0.64,UNRELIABLE,1162,4.2496,361,3.4323,SURVIVOR,above,167,3.665702090260768,94,-0.0960194771092729,20,30.63494,40.79365,0.65,0.65
