name,n_tr,n_va,mean_tr,mean_va,gross_tr,gross_va,R_tr,win_tr,stop_tr,lev,verdict,n_assets_pos,arm
"prev day low -> 5m BOS, hold 24h",3638,1335,-0.4085714856241057,-0.5415592832182267,0.09142851437589432,-0.04155928321822664,-0.6247093042910556,21.99010445299615,1.459602574248203,0.6851180024227277,reject,0,A
"prev day low -> 1m BOS, hold 24h",3553,1265,-0.14055823650032148,-0.30912428340450854,0.35944176349967855,0.19087571659549146,-7.443517516438551,13.003095975232199,0.4560400982833145,2.1927896335526857,reject,1,B
"prev day low -> 5m BOS, target 1R",3638,1335,-0.4802997193712623,-0.5107174894613513,0.019700280628737674,-0.01071748946135134,-0.6942137299597506,40.90159428257284,1.459602574248203,0.6851180024227277,reject,0,A
"prev day low -> 1m BOS, target 1R",3553,1265,-0.3892357088568587,-0.4144659194934499,0.11076429114314125,0.08553408050655013,-8.387084445709487,16.943428088938926,0.4560400982833145,2.1927896335526857,reject,0,B
"prev day low -> 5m BOS, target 2R",3638,1335,-0.4442142409672122,-0.5124281344516561,0.05578575903278775,-0.01242813445165612,-0.6550085361117487,34.33205057724024,1.459602574248203,0.6851180024227277,reject,0,A
"prev day low -> 1m BOS, target 2R",3553,1265,-0.32651571265265883,-0.37998486679554067,0.1734842873473412,0.1200151332044593,-8.237320173388035,27.047565437658317,0.4560400982833145,2.1927896335526857,reject,0,B
"prev day low -> 5m BOS, target 3R",3638,1335,-0.46327308439844916,-0.509133860753349,0.03672691560155084,-0.009133860753348974,-0.6641367689239249,28.80703683342496,1.459602574248203,0.6851180024227277,reject,0,A
"prev day low -> 1m BOS, target 3R",3553,1265,-0.31058925126963605,-0.3517467381702386,0.18941074873036398,0.14825326182976148,-8.160521602866938,26.59724176752041,0.4560400982833145,2.1927896335526857,reject,0,B
"prev day high -> 5m BOS, hold 24h",3804,1319,-0.5365020295416613,-0.5137188547481261,-0.0365020295416613,-0.013718854748126121,-0.660389703980043,21.871713985278653,1.4060525764309815,0.711210958084032,reject,0,A
"prev day high -> 1m BOS, hold 24h",3706,1225,-0.3096344169983203,-0.364017262615847,0.19036558300167972,0.13598273738415306,-2.846722487773788,12.493254182406908,0.4703925834258598,2.1258838579405737,reject,0,B
"prev day high -> 5m BOS, target 1R",3804,1319,-0.5024176360212269,-0.48273609807849005,-0.0024176360212268696,0.01726390192150995,-0.7269785080094832,40.825446898002106,1.4060525764309815,0.711210958084032,reject,0,A
"prev day high -> 1m BOS, target 1R",3706,1225,-0.45289666063085005,-0.41075985991679603,0.04710333936914998,0.089240140083204,-3.729820502743267,13.62655153804641,0.4703925834258598,2.1258838579405737,reject,0,B
"prev day high -> 5m BOS, target 2R",3804,1319,-0.5283805550615678,-0.4238626990669305,-0.028380555061567756,0.07613730093306943,-0.6949447265001164,35.094637223974765,1.4060525764309815,0.711210958084032,reject,0,A
"prev day high -> 1m BOS, target 2R",3706,1225,-0.38971510480288035,-0.37186609561872197,0.11028489519711963,0.12813390438127806,-3.5451815817883325,25.229357798165136,0.4703925834258598,2.1258838579405737,reject,0,B
"prev day high -> 5m BOS, target 3R",3804,1319,-0.5219932172579752,-0.4361626144952251,-0.021993217257975164,0.06383738550477489,-0.6776354256322519,29.652996845425868,1.4060525764309815,0.711210958084032,reject,0,A
"prev day high -> 1m BOS, target 3R",3706,1225,-0.35912026278631587,-0.3265436889300953,0.14087973721368413,0.17345631106990475,-3.376122041176484,27.280086346465193,0.4703925834258598,2.1258838579405737,reject,0,B
