symbol,n_nights,gross_pct,cost_pct,net_pct,t,win_pct,gross_over_cost,ann_net_pct,sd_pct,p01,p05,worst,verdict
NVDA,1592,0.19555038479762366,0.0201694231544937,0.1753809616431299,3.9208069956861973,58.91959798994974,9.695388078268142,49.35270840905965,1.7847546180317815,-4.600685387154936,-2.1437338013901126,-19.308300395256907,clears
AMD,1592,0.23447505790084344,0.0248667298876199,0.2096083280132235,4.04317887076124,57.78894472361809,9.429267899740156,60.574777055971765,2.0685075501999663,-5.3473141717848085,-2.498815676141251,-21.36902150065817,clears
AVGO,1592,0.08983230670889235,0.068278451941289,0.021553854767603357,0.6666540827106634,53.266331658291456,1.3156757974849371,3.3621742036577196,1.2900185066624354,-3.3862628594413255,-1.7096791277164338,-14.913722267871812,fails
MU,1592,0.16347491334383232,0.0260044207515225,0.13747049259230984,3.0770858226476143,56.46984924623115,6.286427792638343,35.82079439865966,1.7825487307363554,-4.269302286798282,-2.487636673900748,-13.11933007676204,clears
MSFT,1592,0.0839559101506869,0.0135878796113871,0.07036803053929981,2.691279821091927,55.213567839195974,6.178735207539595,17.76184664365672,1.043249229772073,-2.642175904203435,-1.24435956427937,-11.863100731662167,clears
GOOGL,1592,0.06526035368206755,0.0149532710280237,0.05030708265404384,1.834302192859872,56.46984924623115,4.3642861524922605,11.815270030932034,1.0942833201388935,-3.103901886743063,-1.4072438388117638,-10.261900840059305,fails
META,1592,0.03196886391628736,0.0230669105168613,0.00890195339942605,0.22699776531062657,53.768844221105525,1.3859187554795849,-0.9351858440802441,1.5647150738083175,-3.718572952237551,-1.7583404116820203,-24.258513931888544,fails
AMZN,1592,0.1321952494215586,0.0147757775752954,0.11741947184626322,3.7018357511337516,59.04522613065326,8.94675415543508,31.729822720921398,1.2655942962862134,-4.037936700394294,-1.500244424298056,-10.20055325034578,clears
TSLA,1592,0.19046224793198624,0.0331619963521855,0.15730025157980077,2.747517082381963,56.09296482412061,5.743389086388162,39.170598471601004,2.2843389642370884,-7.20902989234024,-2.7694104584944856,-14.89529546758462,clears
SMH,1592,0.10179048951005992,0.0193461017604914,0.0824443877495685,2.860613988763391,57.4748743718593,5.261550402776047,21.02988229473275,1.1499352071744111,-3.2853333775352573,-1.6905187316024792,-11.70052039617257,clears
SPY,1592,0.035014548205735935,0.0035082180006633,0.03150633020507264,1.653590383928171,56.90954773869347,9.980721893313278,7.463662046030128,0.7602237163645267,-2.0990077010946777,-0.900572176293511,-10.740192450037004,fails
QQQ,1592,0.05005262336874636,0.0055140470348318,0.044538576333914545,2.0888395165752445,57.4748743718593,9.077293511021557,10.850386763399067,0.850751625645618,-2.5442577926238346,-1.1789016299356807,-9.457211188520327,clears
