entry_n,exit_ema,n,mean_pct,perbar_pct,cf_mean,cf_p95,cf_perbar,cf_pct,cf_pct_perbar,real_hold,cf_hold,thickness
20,30,30,5.996243022430485,0.21991111329207155,3.2914458470271466,6.111688520073256,0.15719604434162665,94.05,80.5,27.266666666666666,20.151300000000003,297.2937290521636
20,20,33,5.452607795187855,0.241201149116889,1.4197740795262996,2.7063061353210984,0.09407561800472546,99.9,99.3,22.606060606060606,14.615878787878788,270.3402944854685
15,30,36,5.220955195908854,0.21431515057322545,4.022651247691265,5.42465372746238,0.1979415164749908,91.4,62.050000000000004,24.36111111111111,20.12201388888889,258.85495861321334
15,20,38,5.169496268543396,0.24192223916828703,1.8827146304828513,4.127432216364024,0.1210562922749682,99.95,96.85000000000001,21.36842105263158,14.95617105263158,256.30362499443345
30,20,30,4.791064231522008,0.21199399254522158,1.2002552466247502,2.4256951290078073,0.08095283922005811,99.9,99.75,22.6,14.430783333333332,237.54096459890923
10,20,43,4.7181143108818375,0.23784163583577844,2.6384477554465886,4.05061798083971,0.1664303269700839,99.9,92.95,19.837209302325583,15.431790697674419,233.92410753356882
10,30,41,4.619751759406747,0.204988984995321,3.750527270011427,4.8250284907557806,0.19640397990002384,90.7,60.199999999999996,22.536585365853657,19.039365853658534,229.04729223143286
40,10,40,2.6793073102166307,0.22802615406098986,1.6445245572016385,2.5221580354617856,0.18311496590562898,96.89999999999999,78.25,11.725,8.8938875,132.84005644056742
55,10,38,2.677079526484053,0.23278952404209155,1.7563706577810863,2.6336520444292715,0.19343912428154822,95.85000000000001,73.25,11.473684210526315,9.004276315789474,132.7296029231062
10,10,60,2.4891987984751265,0.22629079986137512,1.5015781281776157,2.175652177392866,0.17030063073977653,99.15,91.64999999999999,10.983333333333333,8.718375,123.41447642842174
20,10,49,2.4404735926052794,0.21663624282184543,1.485719755573111,2.212127086211881,0.16861642456652845,98.0,85.2,11.244897959183673,8.706438775510204,120.99868072139422
15,10,55,2.3527344100873693,0.2135320009155203,1.4509499786233298,2.179610776465191,0.16501023865805722,97.3,87.4,11.0,8.688236363636362,116.64857205215536
30,10,45,1.9832074405631261,0.18065654822943455,1.5309307758933146,2.339019866762795,0.1724471910657831,81.5,55.2,10.955555555555556,8.765655555555556,98.32742490313969
