symbol,level_kind,n_sweeps,pct_confirmed,risk_med_pct,risk_p25,risk_p75,level_to_conf_med_pct,wait_bars_med,nearest_unswept_med_pct,nearest_unswept_med_xrisk,stacked_pool_med_pct,stacked_pool_med_xrisk,pct_with_stack,sweeps_per_week,weeks,confirmed_per_week,confirmed_per_trading_day
SPY,5-minute swing,92314,33.34922113655567,0.2158043228380556,0.1264326175403896,0.3805505362084806,0.1427598237946368,6.0,0.0784724038713082,0.3617021276596311,0.2104588930954241,1.0555555555556329,75.36542584291561,287.95145190562613,440.8,69.84119782214155,13.96823956442831
SPY,15-minute swing,36116,35.039871525085836,0.2231596967473765,0.1284415673283943,0.398323845596145,0.1447441933291224,6.0,0.1192214837113749,0.5454545454546393,0.3098320022032549,1.640121951219511,61.48557882259976,102.80852994555352,440.8,28.709165154264973,5.741833030852995
SPY,1-hour swing,9367,37.97373758940963,0.2592860588519096,0.1503323135351962,0.4586434047528093,0.1687581133708415,6.0,0.2641232575201861,1.1034482758619677,0.4491017964071901,2.2311320754716486,29.772280011245435,23.561705989110703,440.8,8.069419237749546,1.6138838475499093
SPY,4-hour swing,2393,39.406602590890095,0.2817804861286151,0.1590270951615017,0.5107817420105664,0.193382543687945,6.0,0.6455223277229225,2.6022947034204567,0.5104074924697792,2.5183823529414937,7.84729586426299,5.499092558983666,440.8,2.1392921960072595,0.4278584392014519
SPY,asia session,1898,40.5163329820864,0.2500607786614699,0.1447391016362956,0.4934934305651579,0.1609492261336652,7.0,0.2465804803695282,1.2386440677965966,,,0.0,4.246823956442831,440.8,1.7445553539019962,0.34891107078039924
SPY,london session,2528,37.38132911392405,0.2857248193481703,0.1581680019255164,0.4860971186782205,0.1931061118084414,6.0,0.3870445646277906,1.6258971291865256,0.2865018573629757,1.5156871747781002,0.6349206349206349,5.555807622504537,440.8,2.143829401088929,0.4287658802177858
SPY,ny session,2035,42.11302211302211,0.2303819114573502,0.1296514890570414,0.4359512999480488,0.1512249218671294,6.0,0.6491533802785623,2.953670705630734,0.5201886785999931,3.719444444444682,7.234539089848307,4.671052631578947,440.8,1.9441923774954628,0.38883847549909256
SPY,prior day,1952,38.26844262295082,0.2535108782652973,0.1482961159938294,0.4457277144695845,0.1649514110517372,6.0,0.904178674351602,3.870229007633576,0.8157230997347624,5.379629629629376,7.764390896921017,4.521324863883847,440.8,1.6946460980036298,0.338929219600726
QQQ,5-minute swing,87589,33.82159860256425,0.2929237223250196,0.1671299014797871,0.5123444262144177,0.1919776677707947,6.0,0.1033880654840159,0.3589743589742842,0.3064167267483894,1.1582404980340275,70.03443154199299,272.1574410163339,440.8,67.20508166969147,13.441016333938293
QQQ,15-minute swing,33955,35.29671624208511,0.3082066551742169,0.1745790392521272,0.5482222695337455,0.2003723040524511,6.0,0.1653380572778276,0.5552039381153031,0.45813933707154,1.7615679339817971,51.73133083020443,96.55399274047188,440.8,27.189201451905625,5.437840290381125
QQQ,1-hour swing,9172,38.15961622328827,0.3711916895755011,0.2114925369141277,0.6384373971591487,0.2394601140675936,6.0,0.3806581146937127,1.1139610389610823,0.6553999581977227,2.37654320987655,24.257142857142856,23.087568058076226,440.8,7.94010889292196,1.588021778584392
QQQ,4-hour swing,2266,37.86407766990291,0.4059863064997253,0.2432126825869889,0.678337656390017,0.2731921892012992,6.0,0.8657760449515458,2.2740437588540994,0.8334239721557531,2.129999999999995,4.778554778554779,5.176950998185117,440.8,1.9464609800362975,0.3892921960072595
QQQ,asia session,1857,41.0877759827679,0.3806968565316744,0.2126553131669732,0.6748171363639766,0.2475422589999252,7.0,0.2573152746927759,1.0214822771213763,,,0.0,4.099364791288566,440.8,1.7309437386569873,0.34618874773139746
QQQ,london session,2546,37.86331500392773,0.4034639600318764,0.2305914869874034,0.6608447023439861,0.2608643550256325,6.0,0.5278750336655094,1.5081967213114211,0.3123546948934645,0.8703703703704337,0.7261410788381742,5.612522686025408,440.8,2.186932849364791,0.4373865698729582
