family,cell,timeframe,dial_in_source_market,dial_re_derived_for_ethereum,train_trades,train_avg_profit_per_trade,train_win_pct,train_return_pct,train_worst_drawdown_pct,val_trades,val_avg_profit_per_trade,val_win_pct,val_return_pct,val_worst_drawdown_pct,profit_pct_of_position_train,profit_pct_of_position_val,times_bigger_than_trading_cost_train,times_bigger_than_trading_cost_val,median_stop_distance_pct_train,avg_leverage_out_train,median_hold_hours_train,verdict,source_market,t_stat_train,luck
A volatility-gated trend,4h 20/100 gate 1.80%,4h,1.50% (Bitcoin 4h),1.80% (4h),33,13.119844135282143,39.39393939393939,4.329548564643093,-9.07279036571722,12,6.398209441034569,33.33333333333333,0.7677851329241481,-7.289474471203509,0.5253093120240623,0.1741008372542909,2.918385066800346,0.9672268736349494,11.003490397830827,0.2278608013119213,136.0,SURVIVES (first 60% + middle 20%; final slice untouched),Bitcoin,,0.3
A volatility-gated trend,4h 10/50 gate 1.80%,4h,1.50% (Bitcoin 4h),1.80% (4h),74,3.0779954737933375,33.78378378378378,2.2777166506070756,-12.390252717076574,25,37.00604899468803,36.0,9.251512248672,-6.999021596819997,0.1246253881499085,1.3414712067078216,0.6923632674994921,7.452617815043454,10.50608887340762,0.2289563774184974,100.0,SURVIVES (first 60% + middle 20%; final slice untouched),Bitcoin,,0.3
A volatility-gated trend,4h 20/50 gate 1.80%,4h,1.50% (Bitcoin 4h),1.80% (4h),64,-17.89545669995533,39.0625,-11.453092287971412,-21.052426656473084,27,10.35723783259017,37.03703703703704,2.7964542147993487,-7.552641268853323,-0.732690323092377,0.3123417567519032,-4.07050179495765,1.7352319819550173,10.636495292181037,0.2460548660946176,92.0,DIES,Bitcoin,,0.3
A volatility-gated trend,4h 10/30 gate 1.80%,4h,1.50% (Bitcoin 4h),1.80% (4h),104,-5.268234113441209,29.807692307692307,-5.478963477978871,-18.27269346721075,42,-21.37713211480493,26.190476190476193,-8.97839548821806,-14.771453603293178,-0.2188215033294205,-0.739115848575063,-1.2156750184967804,-4.10619915875035,10.1870638338621,0.2335714805899429,84.0,DIES,Bitcoin,,0.3
A volatility-gated trend,1h 20/100 gate 0.83%,1h,1.50% (Bitcoin 4h),0.83% (1h),152,-13.828122585124389,33.55263157894737,-21.01874632938907,-28.961338860005565,63,-15.34013004155868,17.46031746031746,-9.664281926181973,-23.524919221552427,-0.2990042454654054,-0.3709247460284358,-1.6611346970300305,-2.0606930334913094,5.728420426379883,0.479713669121661,27.0,DIES,Bitcoin,,0.0
A volatility-gated trend,1h 10/50 gate 0.83%,1h,1.50% (Bitcoin 4h),0.83% (1h),287,-9.578233102954828,30.66202090592334,-27.489529005480385,-40.111376524874935,105,-0.200916783689749,34.285714285714285,-0.2109626228742334,-19.034364878208255,-0.2315470142875475,-0.0042682380732327,-1.2863723015974862,-0.0237124337401816,5.134151293746257,0.4655867200249526,22.0,DIES,Bitcoin,,0.0
A volatility-gated trend,1h 20/50 gate 0.83%,1h,1.50% (Bitcoin 4h),0.83% (1h),246,-12.456527638682289,31.30081300813008,-30.643057991158408,-41.92948560702069,94,-12.090014307003852,28.723404255319153,-11.364613448583627,-25.83304101956169,-0.2680683611685271,-0.2495128538143705,-1.4892686731584843,-1.386182521190947,5.423002353558916,0.504141288239373,23.5,DIES,Bitcoin,,0.0
A volatility-gated trend,1h 10/30 gate 0.83%,1h,1.50% (Bitcoin 4h),0.83% (1h),372,-2.7570513162359673,34.67741935483871,-10.256230896397788,-33.34943386269863,157,-15.582663115659752,31.84713375796178,-24.46478109158581,-25.970000423831777,-0.0566778568531472,-0.3478477983471231,-0.3148769825174844,-1.9324877685951285,4.848842716854104,0.4761717849208925,20.0,DIES,Bitcoin,,0.0
B donchian breakout,1d channel 15 bars (Ethereum's own length),1d,20 daily bars (gold),15 1d bars,24,49.759821556283505,45.83333333333333,11.942357173508045,-5.310683433572064,6,12.905239197248186,33.33333333333333,0.7743143518348816,-1.8802597645915555,3.143221686283262,0.9282822023684386,17.462342701573675,5.157123346491326,15.4179722802091,0.1489066214974125,276.0,NOT ENOUGH TRADES,gold,,0.2
B donchian breakout,1d channel 20 bars (gold's number copied straight across),1d,20 daily bars (gold),15 1d bars,18,10.613808991234755,55.55555555555556,1.910485618422264,-4.212837030070747,5,-7.406687148029792,40.0,-0.3703343574015028,-2.0481295395105006,0.7224166886370413,-0.6103876196011708,4.013426047983563,-3.3910423311176157,16.391733786132892,0.1441334555695885,324.0,NOT ENOUGH TRADES,gold,,0.2
