asset,family,config,gate,execution,tr_n,tr_exp,tr_win%,tr_dd%,tr_avgcost,tr_grossedge,va_n,va_exp,va_win%,va_dd%,va_avgcost,va_grossedge,verdict,tr_exp_makerENTRY_takerEXIT,va_exp_makerENTRY_takerEXIT,tr_exp_makerMAKER_theoretical,va_exp_makerMAKER_theoretical,trades_per_calm_day
BTCUSDT,S1-range-edge-fade,W24 K2.5 S0.3 hold4h,ungated,taker,9,33.80723139410535,77.77777777777779,-1.8488535271096456,18.217264821259644,52.02449621536499,13,-31.22790537243166,53.84615384615385,-4.059627698416116,17.4433200801556,-13.78458529227606,FAIL,40.874692460820285,-24.397228077341648,47.93072340444938,-17.573464787710595,
BTCUSDT,S1-range-edge-fade,W24 K2.5 S0.3 hold4h,ungated,maker,9,47.095392646332485,77.77777777777779,-1.6787159286754845,4.88986032941191,51.985252975744395,13,-19.916727906378302,61.53846153846154,-2.783825656777026,5.410881481961175,-14.505846424417127,FAIL,,,,,
BTCUSDT,S1-range-edge-fade,W24 K2.5 S0.5 hold2h,calm-gated,taker,4,0.39914647016394156,50.0,-1.7708773041849892,18.013179036279652,18.412325506443594,11,-10.714768804551237,45.45454545454545,-1.3923077124282894,17.977335577567654,7.262566773016417,FAIL,7.382602432528809,-3.733710490232873,14.375314159333318,3.2399022473933003,0.031053891440771173
BTCUSDT,S1-range-edge-fade,W24 K2.5 S0.5 hold2h,calm-gated,maker,4,14.439624716560502,50.0,-1.631735296837757,4.045713965067802,18.485338681628303,11,3.226290663426136,72.72727272727273,-0.9913276747777672,4.050666931238593,7.2769575946647285,INSUFFICIENT-SAMPLE,,,,,
BTCUSDT,S1-range-edge-fade,W24 K2.5 S0.5 hold2h,ungated,taker,9,33.598858850447265,66.66666666666666,-1.8313309378825895,18.319763360280938,51.9186222107282,13,-8.34890500709466,46.15384615384615,-1.2315824909629303,17.92501162973138,9.57610662263672,FAIL,40.709731262442794,-1.370853902622045,47.809326513004834,5.599127028644953,
BTCUSDT,S1-range-edge-fade,W24 K2.5 S0.5 hold2h,ungated,maker,9,48.04420555238357,66.66666666666666,-1.6317352968377667,4.13291070928717,52.17711626167075,13,5.620103094553857,76.92307692307693,-0.9913276747777672,4.010349755440364,9.63045284999422,INSUFFICIENT-SAMPLE,,,,,
BTCUSDT,S1-range-edge-fade,W24 K2.5 S0.5 hold4h,calm-gated,taker,4,1.3561939912865455,50.0,-1.8181165261744952,17.94943396839601,19.305627959682557,11,-26.45905388806965,54.54545454545454,-3.1765576128492525,17.83783755241564,-8.621216335654012,FAIL,8.337132887614537,-19.499669684687213,15.326691902738935,-12.55319649628849,0.031053891440771173
BTCUSDT,S1-range-edge-fade,W24 K2.5 S0.5 hold4h,calm-gated,maker,4,15.400084374022754,50.0,-1.6789402424132003,3.9876621015463196,19.387746475569074,11,-13.641754016315561,63.63636363636363,-2.2499810568504404,4.586970473994978,-9.054783542320582,FAIL,,,,,
BTCUSDT,S1-range-edge-fade,W24 K2.5 S0.5 hold4h,ungated,taker,9,47.578007124392265,77.77777777777779,-1.8785410872046517,18.39497777730432,65.97298490169658,13,-34.90675487237982,53.84615384615385,-4.537878133409377,17.52112170571431,-17.38563316666551,FAIL,54.7022547158112,-28.04857415100133,61.824438685694936,-21.193419554427773,
BTCUSDT,S1-range-edge-fade,W24 K2.5 S0.5 hold4h,ungated,maker,9,62.18926839149086,77.77777777777779,-1.6789402424132294,4.172734715109201,66.36200310660007,13,-22.13075721062887,61.53846153846154,-3.0802351621050748,4.363402534269705,-17.76735467635917,FAIL,,,,,
