family,config,symbol,tf,stop%,target%,tr_n,tr_exp,tr_win%,tr_ret%,tr_dd%,va_n,va_exp,va_win%,va_ret%,va_dd%,verdict
dipbuy-exit-variant,1-no-stop (R60 sanity check),SPY,1d,,,65,75.96973552569078,70.76923076923077,49.38032809169899,-7.750030823349347,29,33.76486852003862,72.41379310344827,9.791811870811195,-5.2128255047659176,SURVIVOR
dipbuy-exit-variant,2-stop_atr(1.5) (R60 sanity check),SPY,1d,,,69,63.484650296124315,66.66666666666666,43.80440870432579,-5.11153787513847,30,39.231307983251924,73.33333333333333,11.769392394975577,-6.017646215499879,SURVIVOR
dipbuy-exit-variant,3-stop_chandelier(3.0),SPY,1d,,,66,76.157077632874,71.21212121212122,50.26367123769682,-5.160301651760052,30,30.17660770773528,73.33333333333333,9.052982312320577,-7.1140728433421785,SURVIVOR
dipbuy-exit-variant,4-stop_structure_trailing(),SPY,1d,,,69,50.5462707843223,57.971014492753625,34.87692684118238,-6.428612222547811,29,25.580702613711967,68.96551724137932,7.418403757976471,-6.48479139633469,SURVIVOR
dipbuy-exit-variant,5-breakeven_after_1R(atr1.5),SPY,1d,,,69,59.589129278843295,63.76811594202898,41.11649920240188,-5.11153787513847,30,39.231307983251924,73.33333333333333,11.769392394975577,-6.017646215499879,SURVIVOR
dipbuy-exit-variant,"6-partial_scale(50%@1R,BE,ride)",SPY,1d,,,34,228.35994319180185,67.64705882352942,77.6423806852126,-3.333577220116139,15,233.47791099614193,80.0,35.02168664942129,-1.6118701121746868,SURVIVOR
dipbuy-exit-variant,1-no-stop (R60 sanity check),ES,1d,,,43,41.46837522363377,74.4186046511628,17.831401346162526,-9.822150807324059,22,27.947053182675244,77.27272727272727,6.1483517001885515,-4.60018037254868,SURVIVOR
dipbuy-exit-variant,2-stop_atr(1.5) (R60 sanity check),ES,1d,,,46,39.580092952158644,71.73913043478261,18.20684275799298,-5.013108936858452,22,20.70444482088535,77.27272727272727,4.554977860594776,-6.69103364105296,SURVIVOR
dipbuy-exit-variant,3-stop_chandelier(3.0),ES,1d,,,45,60.211846909824935,75.55555555555556,27.095331109421224,-4.731163191333359,22,10.493201050999467,77.27272727272727,2.3085042312198816,-7.89307193641746,SURVIVOR
dipbuy-exit-variant,4-stop_structure_trailing(),ES,1d,,,45,42.107798612634994,66.66666666666666,18.948509375685745,-4.306012717240755,22,26.595208354918327,77.27272727272727,5.850945838082031,-5.473070103082727,SURVIVOR
dipbuy-exit-variant,5-breakeven_after_1R(atr1.5),ES,1d,,,46,35.89728327585872,69.56521739130434,16.51275030689502,-5.086740844614046,22,15.724312054732154,72.72727272727273,3.4593486520410734,-6.760646884828704,SURVIVOR
dipbuy-exit-variant,"6-partial_scale(50%@1R,BE,ride)",ES,1d,,,28,22.589992519559246,57.14285714285714,6.325197905476592,-5.4303313257645245,14,58.99685936706616,57.14285714285714,8.259560311389261,-6.555829747850049,INSUFFICIENT-SAMPLE
