construction,key,entries,days,gross,t_naive,t_by_day,grossR,netR,stop_median
5-minute trigger (R370's construction),A,75023,2033,0.029622619982807335,3.105527328012318,3.302541414517691,0.07972768119131639,-0.9822268962823396,0.6627699478087105
1-MINUTE trigger (HIS construction),B,71073,2033,0.14349084410889182,18.370110487739858,13.769953128337654,0.6397058286831341,-6.040892660236498,0.24167619705241244
"RANDOM entry, same stop machinery",CTL,41623,2033,0.002355167473469809,0.25860446767020884,0.0636923523961624,0.1492579918555368,-7.740978100328805,0.2667100404404206
