symbol,n,corr_gapabs_vs_range,median_gap_pct,mean_range_pct_big_gap_days,mean_range_pct_small_gap_days,ratio_big_over_small
SPY,6740,0.5192587356237742,0.26400897745529567,1.563566575955776,1.0207794490373654,1.5317379061953882
ES,5219,0.2554905326386636,0.03902185223725286,1.7860185791608048,1.3293742446228716,1.3435032206957478
