family,config,symbol,tf,stop%,target%,tr_n,tr_exp,tr_win%,tr_ret%,tr_dd%,va_n,va_exp,va_win%,va_ret%,va_dd%,verdict
A-order-blocks,impulse1.5xATR touch<=5b stop=none,SPY,1d,,,43,3.1684442469631904,51.162790697674424,1.3624310261941774,-11.240826477523756,22,-51.41936475192597,45.45454545454545,-11.312260245423712,-16.043066437364846,FAIL
A-order-blocks,impulse1.5xATR touch<=5b stop=1.5xATR,SPY,1d,1.97857495599273,,43,-15.047664986086728,44.18604651162791,-6.470495944017296,-11.645350837933606,22,-25.19215309306624,45.45454545454545,-5.542273680474574,-9.524411566783506,FAIL
A-order-blocks,impulse1.5xATR touch<=10b stop=none,SPY,1d,,,66,18.496403532679295,56.060606060606055,12.207626331568333,-10.07170092366949,29,-46.95476417134912,48.275862068965516,-13.616881609691244,-18.224754044944856,FAIL
A-order-blocks,impulse1.5xATR touch<=10b stop=1.5xATR,SPY,1d,1.97857495599273,,66,-3.809550169890082,48.484848484848484,-2.5143031121274584,-9.728149587890403,29,-27.575285271957846,48.275862068965516,-7.996832728867775,-12.498040301585753,FAIL
A-order-blocks,impulse2.0xATR touch<=5b stop=none,SPY,1d,,,7,13.675826348232087,57.14285714285714,0.9573078443762428,-3.2071856801122034,2,-5.6312696947989025,50.0,-0.11262539389598203,-1.1784107584061196,FAIL
A-order-blocks,impulse2.0xATR touch<=5b stop=1.5xATR,SPY,1d,1.97857495599273,,7,-25.157294800079658,42.857142857142854,-1.7610106360055777,-2.4747546963275275,2,-5.6312696947989025,50.0,-0.11262539389598203,-1.1784107584061196,FAIL
A-order-blocks,impulse2.0xATR touch<=10b stop=none,SPY,1d,,,11,19.898954888789376,63.63636363636363,2.188885037766841,-5.09834025310563,3,16.634083600638405,66.66666666666666,0.4990225080191424,-1.1784107584061196,INSUFFICIENT-SAMPLE
A-order-blocks,impulse2.0xATR touch<=10b stop=1.5xATR,SPY,1d,1.97857495599273,,11,-29.95914868106113,45.45454545454545,-3.295506354916722,-5.905761987926376,3,16.634083600638405,66.66666666666666,0.4990225080191424,-1.1784107584061196,FAIL
A-order-blocks,impulse1.5xATR touch<=5b stop=none,ES,1d,,,29,-17.198203568062535,51.724137931034484,-4.98747903473814,-20.59671817247785,10,-198.2568448242344,30.0,-19.825684482423444,-20.501263621922114,FAIL
A-order-blocks,impulse1.5xATR touch<=5b stop=1.5xATR,ES,1d,2.0402621987498613,,29,-29.397484069019903,44.827586206896555,-8.52527038001577,-14.733906939389493,10,-79.72890738120786,20.0,-7.972890738120785,-8.748346005613042,FAIL
A-order-blocks,impulse1.5xATR touch<=10b stop=none,ES,1d,,,37,9.060658377386554,54.054054054054056,3.352443599633026,-20.817892935865263,17,-131.57233457178233,41.17647058823529,-22.367296877203003,-23.295244640708574,FAIL
A-order-blocks,impulse1.5xATR touch<=10b stop=1.5xATR,ES,1d,2.0402621987498613,,37,-24.867022794246598,43.24324324324324,-9.200798433871238,-14.441820384456413,17,-56.803620916511775,29.411764705882355,-9.656615555807003,-10.114339948527578,FAIL
A-order-blocks,impulse2.0xATR touch<=5b stop=none,ES,1d,,,0,0.0,0.0,0.0,0.0,1,21.151192463532425,100.0,0.21151192463533253,-0.1368896163002226,FAIL
A-order-blocks,impulse2.0xATR touch<=5b stop=1.5xATR,ES,1d,2.0402621987498613,,0,0.0,0.0,0.0,0.0,1,21.151192463532425,100.0,0.21151192463533253,-0.1368896163002226,FAIL
A-order-blocks,impulse2.0xATR touch<=10b stop=none,ES,1d,,,0,0.0,0.0,0.0,0.0,1,21.151192463532425,100.0,0.21151192463533253,-0.1368896163002226,FAIL
A-order-blocks,impulse2.0xATR touch<=10b stop=1.5xATR,ES,1d,2.0402621987498613,,0,0.0,0.0,0.0,0.0,1,21.151192463532425,100.0,0.21151192463533253,-0.1368896163002226,FAIL
