config,stop_pct,tr_n,tr_exp,tr_ret,tr_dd,tr_bh,va_n,va_exp,va_ret,va_dd,va_bh,combined_n,combined_exp,trades_per_yr,avg_notional,edge_pct_notional,thickness_x_cost,worst_adverse_pct,p5_adverse_pct,median_move_pct,chance_pctile,verdict,stage
rsi2<5 SMA200 stop=none (unchanged SPX config),,8,0.7482327811990217,0.059858622495911895,-22.780592660109303,-2.65633138270166,6,270.87645761640334,16.25258745698419,-8.20482534524325,14.551359612812842,14,116.5174719962866,3.670854271356784,10881.028368819081,1.0708314329018909,5.949063516121615,-13.783213792438072,-9.653685683041,2.7836717397248183,71.0,INSUFFICIENT SAMPLE,1_unchanged_replay
rsi2<5 SMA200 stop=1.0xATR(8.13%),8.125373763065097,8,76.40138088685376,6.1121104709483065,-8.97220882573208,-2.65633138270166,6,-25.3894885737224,-1.5233693144233396,-13.523635538345866,14.551359612812842,14,32.776722546606834,3.670854271356784,10717.407607365658,0.3058269662533005,1.699038701407225,-8.152936150936188,-8.152936150936185,2.7836717397248183,61.0,FAIL,2_native_stop_sweep
rsi2<5 SMA200 stop=1.5xATR(12.19%),12.188060644597645,8,-38.800110685303935,-3.104008854824314,-16.878214857468176,-2.65633138270166,6,270.87645761640334,16.25258745698419,-8.20482534524325,14.551359612812842,14,93.91841858685633,3.670854271356784,10800.974710571967,0.8695365103940964,4.830758391078313,-12.214404226404277,-12.214404226404259,2.7836717397248183,69.0,FAIL,2_native_stop_sweep
rsi2<5 SMA200 stop=2.5xATR(20.31%),20.313434407662744,8,-253.1390738079624,-20.25112590463699,-31.58779120199311,-2.65633138270166,6,270.87645761640334,16.25258745698419,-8.20482534524325,14.551359612812842,14,-28.560988911805648,3.670854271356784,10660.230158237298,-0.2679209406162418,-1.488449670090232,-20.337340377340443,-20.337340377340443,2.7836717397248183,53.0,FAIL,2_native_stop_sweep
