real_dollars,real_pct,real_total_pct,random_mean_dollars,random_mean_pct,random_mean_total_pct,random_5th,random_50th,random_95th,random_total_5th,random_total_50th,random_total_95th,percentile_of_real_per_trade,percentile_of_real_total,real_trades,random_mean_trades,symbol,edge,pool,slice,family
113.523748499005,0.8802804473753177,73.79043652435324,20.017002462376833,0.1846050723510413,19.494381491832502,-9.979223322381161,19.266643858586164,54.69522237221702,-9.574995691280009,18.3238462977819,52.84786859323541,100.0,99.5,65,97.2025,SPY,RSI2<5 dip buy,random day anywhere,train,
113.523748499005,0.8802804473753177,73.79043652435324,15.454544533177195,0.14481444697275683,14.875173869574535,-3.944025958033676,13.86459986833118,38.309437682810525,-3.8976533883996436,13.524597095172354,37.089332834460784,100.0,100.0,65,96.2075,SPY,RSI2<5 dip buy,"random day, already above the 200-day avg",train,
251.81595775949185,1.7989198005146925,186.34380874202398,518.4280017854729,4.219720299513639,109.14136027941174,234.48616874785617,488.3134011384308,924.3700223550989,54.15636206696965,105.9734606991702,175.1389388750249,6.75,97.25,74,21.57,SPY,long above 200-day avg,random day above 200-day avg,train,
35.003920437674104,0.3450210105640239,15.051685788199865,14.830152658587604,0.14105016382827718,9.968864783808629,-26.193714311094425,14.561884653275385,55.69300454299793,-17.753677519707228,9.77552332382623,38.1328244933853,78.5,61.25000000000001,43,67.0325,ES,RSI2<5 dip buy,random day anywhere,train,
35.003920437674104,0.3450210105640239,15.051685788199865,12.774250231675751,0.12284860108878337,8.500782946155264,-11.943663753615061,13.866340383293785,33.66443107211701,-7.899957292635337,9.165576098359796,22.59660983578204,95.75,78.5,43,66.3475,ES,RSI2<5 dip buy,"random day, already above the 200-day avg",train,
160.2636958232394,1.3742429237437581,83.33712182808448,295.4435891813925,2.7166953729859427,44.03450403824396,90.70055815218039,284.8735935094646,550.7084468694724,14.548268899984743,43.17798357680552,77.56533862661486,16.25,97.75,52,15.36,ES,long above 200-day avg,random day above 200-day avg,train,
79.87563008478078,0.6721363365695072,48.72413435171627,24.781613817090477,0.22846297884630468,22.51396012578071,-19.89415333828512,22.028372082888744,74.93398548703706,-17.897494771967185,20.074259561795962,69.86747749418245,95.25,84.0,61,90.48,QQQ,RSI2<5 dip buy,random day anywhere,train,
79.87563008478078,0.6721363365695072,48.72413435171627,16.451789300833795,0.15522629832479937,14.811697913364007,-14.27983690206565,15.1703472537696,50.128802629899866,-12.849908151739713,13.689710875828132,45.14315176593813,100.0,97.0,61,89.6825,QQQ,RSI2<5 dip buy,"random day, already above the 200-day avg",train,
145.18639734585238,1.3718209380816668,90.01556635442849,378.8011788348483,3.5730407087830547,64.0515244308971,49.44193181507752,355.57888630262255,772.3804818391985,10.107789042118304,63.04575183682638,123.08631673264227,13.750000000000002,77.25,62,17.58,QQQ,long above 200-day avg,random day above 200-day avg,train,
90.16452647848364,0.5947483736217268,142.45995183600414,22.19269971796093,0.20666936763335833,27.83816085252288,-23.599190886918727,16.66002954047127,84.662180431378,-28.34034037876619,20.97175760924358,104.74709500992878,96.0,99.5,158,125.4725,SPY,"buy 4 days before month end, hold 8 days, only above 200-day avg",random day anywhere,train,
90.16452647848364,0.5947483736217268,142.45995183600414,31.648912407128172,0.27662106620604215,36.906540663963234,-6.605052686302324,29.149462704863378,79.52918677279912,-7.661861116110692,34.16202280273834,92.65046442373252,97.75,100.0,158,116.455,SPY,"buy 4 days before month end, hold 8 days, only above 200-day avg","random day, already above the 200-day avg",train,
75.73632064804411,0.5242598464814308,132.5385611340772,10.435858237503407,0.10734751402353972,13.763065161325303,-24.81522859040343,7.158923931283853,53.70271188153915,-33.104761749140835,9.484990395558945,71.36883797467036,98.25,99.75,175,131.57,ES,"buy 4 days before month end, hold 7 days, no filter",random day anywhere,train,
75.73632064804411,0.5242598464814308,132.5385611340772,17.72799822376667,0.16511939500054987,21.037773065430773,-15.178336783854236,16.51520215259094,54.82773224336922,-18.266694438830424,19.365293496680927,66.59653379081831,99.25,100.0,175,118.785,ES,"buy 4 days before month end, hold 7 days, no filter","random day, already above the 200-day avg",train,
94.05670268138304,0.6642328836837107,115.68974429810113,5.097976739263423,0.06504676143177866,5.2628926552840065,-46.956770245054344,-3.3669201370220607,79.86643291741635,-48.27416887594433,-3.5861419524518325,82.50678443138803,97.25,98.0,123,103.555,QQQ,"buy 2 days before month end, hold 6 days, only above 200-day avg",random day anywhere,train,
94.05670268138304,0.6642328836837107,115.68974429810113,13.401991583770137,0.13616164267683964,12.990066884397198,-29.688064646781562,9.027171475733649,65.48252197258834,-28.547966756483547,8.962452462098103,62.19356084876566,98.75,99.75,123,96.96,QQQ,"buy 2 days before month end, hold 6 days, only above 200-day avg","random day, already above the 200-day avg",train,
437.0281028809103,3.2836490034057437,139.8489929218913,273.04633249326815,2.4533737797724604,44.62452104811769,-9.58294676540451,253.6838337301392,650.7314614375106,-1.538268204438713,41.64295273428843,103.04495470017866,79.75,99.5,32,16.975,SPY,"D1 trend 20/100 day avgs, only when daily range above 0.000% (0x this market's own median)",random day while the trend state is on,train,D1-vol-gated-trend
142.21339103826182,1.134014542215044,91.01657026448757,13.397209841960889,0.14530045684308793,41.04708575077844,-3.5940869422589703,12.113024872207903,34.90068943320879,-10.961965173889858,37.3283999228657,107.84578584561844,100.0,89.5,64,307.315,SPY,"D2 buy a new 40-day high, sell when price drops below the 40-day average",random day anywhere,train,D2-breakout
142.21339103826182,1.134014542215044,91.01657026448757,27.89347711686021,0.2616017303880144,57.37540193083016,8.0370046513662,26.5864274777093,50.013966886072986,16.582016957679457,55.13295436845438,102.45838835218326,100.0,88.25,64,206.8875,SPY,"D2 buy a new 40-day high, sell when price drops below the 40-day average","random day, already above the 200-day avg",train,D2-breakout
99.87043255512633,0.7968891361510956,58.92355520752452,18.2175170779792,0.16923287509095558,14.569032464718184,-17.37347067613265,16.09779933924797,60.80906005846949,-13.99428050587952,12.737175885253105,49.14241193063742,99.75,98.0,59,79.615,SPY,"D3 higher low in price with a lower low in RSI7 over 40 days, inside an uptrend",random day anywhere,train,D3-hidden-divergence
99.87043255512633,0.7968891361510956,58.92355520752452,14.384651180421939,0.13566095348796778,11.332220346802847,-10.081862936030374,14.293234753506962,41.30335802249488,-7.843980456125369,11.346455727079853,32.49998727235676,100.0,100.0,59,78.8775,SPY,"D3 higher low in price with a lower low in RSI7 over 40 days, inside an uptrend","random day, already above the 200-day avg",train,D3-hidden-divergence
194.31424431404952,1.4814861618939714,101.04340704330572,222.85661398492903,2.0008209107286916,47.969361625421364,85.96525410624555,213.28045434544737,376.8095887948253,19.514192975082505,46.9633496996682,79.38633898825141,40.25,99.25,52,21.7125,ES,"D1 trend 50/200 day avgs, only when daily range above 1.088% (0.8x this market's own median)",random day while the trend state is on,train,D1-vol-gated-trend
65.97735756861435,0.6290738188402877,33.64845235999332,6.813532702846147,0.08196203741447394,16.4210678129747,-9.511236855448328,5.1303610417612795,27.41710153231228,-23.376140977753803,12.184274757060754,65.8114545833467,99.75,75.5,51,243.8525,ES,"D2 buy a new 40-day high, sell when price drops below the 40-day average",random day anywhere,train,D2-breakout
