sig_i,sig_t,stop_pct,gross_pct,net_pct,net_low_pct,net_R,reason,bars_held,sym,level,dirn,y,day,R,netR_pt,win
101118,2017-01-12 17:15:00,0.035460992907794364,0.4299645390070917,0.3899645390070917,0.4099645390070917,10.997000000002174,close,224,SPY,prev day low,1,2017,2017-01-12,12.125000000002398,10.997000000002174,True
102825,2017-01-19 19:42:00,0.19481957051140036,0.044277175116225066,0.004277175116225065,0.024277175116225066,0.021954545454532636,close,77,SPY,prev day low,1,2017,2017-01-19,0.22727272727271552,0.021954545454532636,True
103473,2017-01-23 17:30:00,0.04874158099965156,0.2215526409074796,0.18155264090747958,0.2015526409074796,3.724799999999537,close,209,SPY,prev day low,1,2017,2017-01-23,4.545454545453981,3.724799999999537,True
103563,2017-01-23 19:00:00,0.03983534723144488,-0.03983534723144488,-0.07983534723144488,-0.059835347231444874,-2.004133333333295,stop,5,SPY,prev day low,1,2017,2017-01-23,-1.0,-2.004133333333295,False
105766,2017-01-31 16:43:00,0.08829242450998456,0.4591206074518771,0.4191206074518771,0.4391206074518771,4.746959999999556,close,256,SPY,prev day low,1,2017,2017-01-31,5.199999999999517,4.746959999999556,True
111963,2017-02-23 16:00:00,0.024281996615787334,-0.024281996615787334,-0.06428199661578733,-0.044281996615787335,-2.647310994763641,stop,1,SPY,prev day low,1,2017,2017-02-23,-1.0,-2.647310994763641,False
113234,2017-02-28 17:41:00,0.10581338750978773,0.10369711975959392,0.06369711975959391,0.08369711975959392,0.6019760000000183,close,198,SPY,prev day low,1,2017,2017-02-28,0.9800000000000183,0.6019760000000183,True
113335,2017-02-28 19:22:00,0.0437940452792333,-0.0437940452792333,-0.0837940452792333,-0.0637940452792333,-1.9133661835749072,stop,75,SPY,prev day low,1,2017,2017-02-28,-1.0,-1.9133661835749072,False
114468,2017-03-03 18:45:00,0.004196919461123652,-0.004196919461123652,-0.044196919461123654,-0.02419691946112365,-10.530799999981582,stop,1,SPY,prev day low,1,2017,2017-03-03,-1.0,-10.530799999981582,False
114505,2017-03-03 19:22:00,0.03358240282092709,0.10914280916799214,0.06914280916799215,0.08914280916799214,2.0588999999995643,close,97,SPY,prev day low,1,2017,2017-03-03,3.249999999999378,2.0588999999995643,True
114740,2017-03-06 16:47:00,0.03793946547508786,-0.03793946547508786,-0.07793946547508786,-0.057939465475087853,-2.0543111111110712,stop,13,SPY,prev day low,1,2017,2017-03-06,-1.0,-2.0543111111110712,False
114873,2017-03-06 19:00:00,0.012616704516780694,-0.012616704516780694,-0.052616704516780695,-0.0326167045167807,-4.17039999999988,stop,1,SPY,prev day low,1,2017,2017-03-06,-1.0,-4.17039999999988,False
114919,2017-03-06 19:46:00,0.02523128679562753,-0.02523128679562753,-0.06523128679562754,-0.04523128679562753,-2.5853333333332738,stop,11,SPY,prev day low,1,2017,2017-03-06,-1.0,-2.5853333333332738,False
115018,2017-03-07 14:55:00,0.016868384430477813,-0.016868384430477813,-0.056868384430477814,-0.03686838443047781,-3.371300000000472,stop,1,SPY,prev day low,1,2017,2017-03-07,-1.0,-3.371300000000472,False
115693,2017-03-08 19:40:00,0.0886412561732337,-0.0886412561732337,-0.12864125617323371,-0.10864125617323371,-1.4512571428571257,stop,52,SPY,prev day low,1,2017,2017-03-08,-1.0,-1.4512571428571257,False
116070,2017-03-09 19:27:00,0.15882091353789468,0.29858331745123523,0.25858331745123525,0.2785833174512352,1.6281439999999576,close,92,SPY,prev day low,1,2017,2017-03-09,1.8799999999999575,1.6281439999999576,True
118640,2017-03-20 15:47:00,0.0506115563053583,-0.0506115563053583,-0.0906115563053583,-0.0706115563053583,-1.7903333333333036,stop,29,SPY,prev day low,1,2017,2017-03-20,-1.0,-1.7903333333333036,False
119365,2017-03-22 14:52:00,0.09195107347532436,-0.09195107347532436,-0.13195107347532437,-0.11195107347532436,-1.4350139534883652,stop,3,SPY,prev day low,1,2017,2017-03-22,-1.0,-1.4350139534883652,False
119510,2017-03-22 17:17:00,0.14112817003806719,0.18817089338408147,0.14817089338408146,0.16817089338408148,1.0499030303029835,close,162,SPY,prev day low,1,2017,2017-03-22,1.3333333333332757,1.0499030303029835,True
120599,2017-03-27 15:56:00,0.03431708991078093,-0.03431708991078093,-0.07431708991078093,-0.054317089910780936,-2.1655999999998174,stop,145,SPY,prev day low,1,2017,2017-03-27,-1.0,-2.1655999999998174,False
123593,2017-04-06 13:50:00,0.08093716719914706,0.2726304579339665,0.2326304579339665,0.2526304579339665,2.874210526315752,close,369,SPY,prev day low,1,2017,2017-04-06,3.3684210526315472,2.874210526315752,True
124873,2017-04-11 15:40:00,0.0042755141305703135,-0.0042755141305703135,-0.04427551413057031,-0.024275514130570313,-10.355600000008508,stop,1,SPY,prev day low,1,2017,2017-04-11,-1.0,-10.355600000008508,False
124972,2017-04-11 17:19:00,0.03408461505688403,-0.03408461505688403,-0.07408461505688403,-0.05408461505688403,-2.1735499999998167,stop,5,SPY,prev day low,1,2017,2017-04-11,-1.0,-2.1735499999998167,False
129122,2017-04-27 14:59:00,0.08395248289467684,-0.08395248289467684,-0.12395248289467684,-0.10395248289467685,-1.476460000000027,stop,43,SPY,prev day low,1,2017,2017-04-27,-1.0,-1.476460000000027,False
129710,2017-04-28 18:17:00,0.03151061907862472,0.03571203495578344,-0.004287965044216559,0.01571203495578344,-0.13607999999991452,close,102,SPY,prev day low,1,2017,2017-04-28,1.1333333333336113,-0.13607999999991452,True
130854,2017-05-03 17:51:00,0.033595095116106366,-0.033595095116106366,-0.07359509511610637,-0.05359509511610637,-2.190650000000237,stop,28,SPY,prev day low,1,2017,2017-05-03,-1.0,-2.190650000000237,False
130886,2017-05-03 18:23:00,0.04197624144733842,-0.04197624144733842,-0.08197624144733842,-0.06197624144733842,-1.9529200000000542,stop,4,SPY,prev day low,1,2017,2017-05-03,-1.0,-1.9529200000000542,False
133077,2017-05-11 15:54:00,0.018853300374977865,-0.018853300374977865,-0.058853300374977865,-0.03885330037497786,-3.121644444443694,stop,5,SPY,prev day low,1,2017,2017-05-11,-1.0,-3.121644444443694,False
133217,2017-05-11 18:14:00,0.0501609329933437,0.07524139949003338,0.035241399490033375,0.05524139949003337,0.7025666666668634,close,105,SPY,prev day low,1,2017,2017-05-11,1.5000000000003555,0.7025666666668634,True
138045,2017-05-31 14:12:00,0.08304268393955201,0.2408237834246737,0.2008237834246737,0.2208237834246737,2.418319999999714,close,347,SPY,prev day low,1,2017,2017-05-31,2.899999999999673,2.418319999999714,True
138141,2017-05-31 15:48:00,0.10371722535678725,-0.10371722535678725,-0.14371722535678724,-0.12371722535678725,-1.385664,stop,143,SPY,prev day low,1,2017,2017-05-31,-1.0,-1.385664,False
138293,2017-05-31 18:20:00,0.012446067042814942,-0.012446067042814942,-0.052446067042814945,-0.03244606704281494,-4.213866666666545,stop,1,SPY,prev day low,1,2017,2017-05-31,-1.0,-4.213866666666545,False
138327,2017-05-31 18:54:00,0.03317850033179019,-0.03317850033179019,-0.07317850033179019,-0.053178500331790196,-2.2055999999998113,stop,12,SPY,prev day low,1,2017,2017-05-31,-1.0,-2.2055999999998113,False
139833,2017-06-06 18:00:00,0.05337932167200273,-0.05337932167200273,-0.09337932167200273,-0.07337932167200273,-1.7493538461538725,stop,90,SPY,prev day low,1,2017,2017-06-06,-1.0,-1.7493538461538725,False
140158,2017-06-07 16:55:00,0.0740710258836996,0.2633636475865252,0.2233636475865252,0.2433636475865252,3.015533333333778,close,184,SPY,prev day low,1,2017,2017-06-07,3.555555555556065,3.015533333333778,True
141064,2017-06-09 19:01:00,0.37470147410031496,0.2429383183727147,0.2029383183727147,0.22293831837271472,0.5415999999999576,close,58,SPY,prev day low,1,2017,2017-06-09,0.6483516483516031,0.5415999999999576,True
