symbol,n_quotes,n_windows,med_quoted_spread_pct,p75_quoted_spread_pct,roundtrip_cost_pct,roundtrip_cost_p75_pct
NVDA,69216,14,0.01045095887546732,0.02016942315449377,0.01045095887546732,0.02016942315449377
AMD,71464,14,0.012712133731653362,0.024866729887619968,0.012712133731653362,0.024866729887619968
AVGO,10930,14,0.047785772709167965,0.068278451941289,0.047785772709167965,0.068278451941289
MU,45649,14,0.024304289707128474,0.026004420751522588,0.024304289707128474,0.026004420751522588
MSFT,57941,14,0.009055100285227423,0.013587879611387155,0.009055100285227423,0.013587879611387155
GOOGL,46317,14,0.010396631491387332,0.014953271028023784,0.010396631491387332,0.014953271028023784
META,31802,14,0.016832655351382314,0.02306691051686131,0.016832655351382314,0.02306691051686131
AMZN,56985,14,0.01069575913150983,0.01477577757529546,0.01069575913150983,0.01477577757529546
TSLA,61072,14,0.02230275996654142,0.033161996352185585,0.02230275996654142,0.033161996352185585
SMH,60137,14,0.011904053330159372,0.019346101760491414,0.011904053330159372,0.019346101760491414
SPY,125751,14,0.00242898262062714,0.0035082180006633704,0.00242898262062714,0.0035082180006633704
QQQ,119519,14,0.0034253027111239807,0.005514047034831863,0.0034253027111239807,0.005514047034831863
