symbol,break_n,swing,earliest,n,mean_pct,t,win_pct,stop_pct,cf_mean,cf_p95,chance_pctile,cost_pct,thickness,mean_hold,slice,verdict
NVDA,6,TJR,600,1579,0.05060522032224837,1.5507823872730229,41.5452818239392,0.9357301640408682,-0.009069505183132539,0.01810383483507014,100.0,0.0201694231544937,2.509006823577582,39.78087397086764,,
NVDA,12,TJR,600,1471,0.01802950476665223,0.653340116437592,41.67233174711081,0.783378840324913,0.007767931127052735,0.03260833087325435,75.2,0.0201694231544937,0.8939028463307984,31.87491502379334,,
NVDA,24,TJR,600,1108,0.0011080341258991,0.03941174487720279,41.064981949458485,0.7233629291426719,0.071957826577578,0.10150310118502656,0.0,0.0201694231544937,0.0549363319620885,22.76534296028881,,
NVDA,6,k3,600,1580,0.050193517861855386,1.475898710541348,45.822784810126585,1.3204210614270842,-0.007793416382523874,0.019598763879808155,100.0,0.0201694231544937,2.4885946155912935,44.949367088607595,,
NVDA,12,k3,600,1469,0.022148927169487968,0.717857291267183,47.447243022464264,1.214843914326799,0.019582955089824397,0.04504979945340724,55.900000000000006,0.0201694231544937,1.0981438090634357,38.10823689584752,,
NVDA,24,k3,600,1108,0.021458952297263596,0.7043248365713103,46.931407942238266,1.0583602991091068,0.10950247732863962,0.13977683497255133,0.0,0.0201694231544937,1.0639348548985443,27.115523465703973,,
NVDA,6,TJR,600,530,0.07439239886115746,1.2352695007406138,,,0.010404494477160903,,97.3,0.0201694231544937,3.688375135536933,,MIDDLE,fails the coin flip
AMD,6,TJR,600,1578,0.06849833814688491,1.6210979027503907,39.48035487959443,1.1857659107055594,-0.03249644016600257,-0.0003720274268007872,100.0,0.0248667298876199,2.7546178551200398,39.2256020278834,,
AMD,12,TJR,600,1467,-0.005022191574792113,-0.13757553038717552,38.173142467621,1.0189632104260473,-0.013644930972568909,0.018217808210516825,66.60000000000001,0.0248667298876199,-0.20196429516421663,31.113837764144513,,
AMD,24,TJR,600,1044,0.05429230150859438,1.5280039800407974,44.252873563218394,0.9077004477420121,0.07572422872940666,0.10942655870309632,18.099999999999998,0.0248667298876199,2.1833309708979565,23.442528735632184,,
AMD,6,k3,600,1574,0.07299856052685605,1.65830998930166,43.900889453621346,1.6715862998515396,-0.032425744389105136,0.003212373876960134,100.0,0.0248667298876199,2.9355914853604843,45.03684879288437,,
