family,config,symbol,tf,stop%,target%,tr_n,tr_exp,tr_win%,tr_ret%,tr_dd%,va_n,va_exp,va_win%,va_ret%,va_dd%,verdict,shape,side,thresh,stop_style
B-gapday,continuation short thresh0.3% stop=priorclose,ES,1d,,,103,11.132592867443897,32.038834951456316,11.466570653467214,-4.923953420985872,73,9.066281731113646,28.767123287671232,6.618385663712963,-6.418397699688004,SURVIVOR,continuation,short,0.3,priorclose
B-gapday,continuation short thresh0.3% stop=structure_k5,ES,1d,,,101,-1.9937359462293902,40.5940594059406,-2.0136733056916785,-16.003391635530946,67,-14.917705078485954,43.28358208955223,-9.994862402585591,-18.66301374744892,FAIL,continuation,short,0.3,structure_k5
B-gapday,continuation short thresh0.3% stop=atr1.0x,ES,1d,,,103,-0.23701366719383418,41.74757281553398,-0.24412407720964466,-12.566857148467795,73,-5.6864327432524355,42.465753424657535,-4.151095902574279,-14.737632821281476,FAIL,continuation,short,0.3,atr1.0x
B-gapday,continuation short thresh0.5% stop=priorclose,ES,1d,,,53,0.14944101937455523,35.84905660377358,0.07920374026851086,-5.849455645441867,37,19.602905040630212,37.83783783783784,7.253074865033174,-8.31029775169521,SURVIVOR,continuation,short,0.5,priorclose
B-gapday,continuation short thresh0.5% stop=structure_k5,ES,1d,,,51,-10.474253013489289,41.17647058823529,-5.34186903687954,-15.727738368020164,35,-45.32262209720742,42.857142857142854,-15.8629177340226,-21.217133450933435,FAIL,continuation,short,0.5,structure_k5
B-gapday,continuation short thresh0.5% stop=atr1.0x,ES,1d,,,53,-3.4164238416518082,43.39622641509434,-1.8107046360754604,-11.804421406904785,37,-18.351703500665664,43.24324324324324,-6.790130295246298,-16.541090937767045,FAIL,continuation,short,0.5,atr1.0x
B-gapday,continuation short thresh0.8% stop=priorclose,ES,1d,,,35,4.460163904381849,40.0,1.5610573665336471,-5.859615050038046,21,51.307408687577,42.857142857142854,10.774555824391166,-6.495711872515981,SURVIVOR,continuation,short,0.8,priorclose
B-gapday,continuation short thresh0.8% stop=structure_k5,ES,1d,,,33,-2.608591304022433,42.42424242424242,-0.8608351303274034,-7.753448536597149,21,-43.94196866980581,42.857142857142854,-9.22781342065922,-14.684498824678135,FAIL,continuation,short,0.8,structure_k5
B-gapday,continuation short thresh0.8% stop=atr1.0x,ES,1d,,,35,3.1954357198469614,42.857142857142854,1.118402501946437,-6.126883937511005,21,-6.340177993760382,42.857142857142854,-1.3314373786896805,-12.649777544963515,FAIL,continuation,short,0.8,atr1.0x
B-gapday,reversal long thresh0.3% stop=structure_k5,ES,1d,,,98,12.162391844203782,52.04081632653062,11.919144007319705,-9.86049782597034,73,8.179288532282454,49.31506849315068,5.970880628566193,-15.106982829027988,SURVIVOR,reversal,long,0.3,structure_k5
