entry_idx,exit_idx,entry_time,exit_time,direction,entry_price,exit_price,stop_price,stop_dist_pct,notional,leverage,pnl,reason,hold_hours
436,446,2020-04-12 14:00:00+00:00,2020-04-13 00:00:00+00:00,1,6911.57285,6757.972000000001,6760.0,2.1930297674573387,9119.803249724499,0.9119803249724499,-214.63807471621672,"stop:stop_structure(k=8,n_back=1,buffer_pct=0.0,use=wick)",10.0
1130,1136,2020-05-11 12:00:00+00:00,2020-05-11 18:00:00+00:00,1,8923.17615,8258.021850000001,8260.5,7.426460476183689,2635.2693740618374,0.269307297388023,-199.68121213398337,"stop:stop_structure(k=8,n_back=1,buffer_pct=0.0,use=wick)",6.0
1275,1368,2020-05-17 13:00:00+00:00,2020-05-21 10:00:00+00:00,1,9774.9316,9260.72095,9263.5,5.2320734397773165,3664.199604032232,0.3822576313235241,-201.29637840841673,"stop:stop_structure(k=8,n_back=1,buffer_pct=0.0,use=wick)",93.0
1409,1446,2020-05-23 03:00:00+00:00,2020-05-24 16:00:00+00:00,1,9275.7819,8930.819950000001,8933.5,3.6900598104834694,5086.304730389639,0.5419966349374594,-197.4997590591233,"stop:stop_structure(k=8,n_back=1,buffer_pct=0.0,use=wick)",37.0
1694,1780,2020-06-04 00:00:00+00:00,2020-06-07 14:00:00+00:00,1,9662.898,9392.1815,9395.0,2.7724394896851776,6627.293118469807,0.7213863485356388,-200.63644753136535,"stop:stop_structure(k=8,n_back=1,buffer_pct=0.0,use=wick)",86.0
2021,2142,2020-06-17 15:00:00+00:00,2020-06-22 16:00:00+00:00,-1,9410.67595,9533.8593,9531.0,1.2785909390493808,14056.486486337964,1.5642219406677316,-179.71357146630626,"stop:stop_structure(k=8,n_back=1,buffer_pct=0.0,use=wick)",121.0
3073,3091,2020-07-31 11:00:00+00:00,2020-08-01 05:00:00+00:00,1,11180.3531,11610.575082210002,10963.5,1.9395907987915004,9080.817007558164,1.031145332946588,336.2816356394161,"target:target_fixed_r(stop=stop_structure(k=8,n_back=1,buffer_pct=0.0,use=wick),r=2.0)",18.0
4074,4121,2020-09-11 04:00:00+00:00,2020-09-13 03:00:00+00:00,-1,10218.9334,10488.64565,10485.5,2.6085559966561687,7009.867684683721,0.7667077120689536,-189.41869349053798,"stop:stop_structure(k=8,n_back=1,buffer_pct=0.0,use=wick)",47.0
5117,5191,2020-10-24 15:00:00+00:00,2020-10-27 17:00:00+00:00,1,13070.9201,13722.64227191,12743.0,2.508775950669298,7137.662090905214,0.7972015195164937,330.5659025822965,"target:target_fixed_r(stop=stop_structure(k=8,n_back=1,buffer_pct=0.0,use=wick),r=2.0)",74.0
5357,5402,2020-11-03 15:00:00+00:00,2020-11-05 12:00:00+00:00,1,13773.1307,14753.96458237,13280.5,3.5767517983402253,5191.281880796953,0.5591665602651239,360.3182957703116,"target:target_fixed_r(stop=stop_structure(k=8,n_back=1,buffer_pct=0.0,use=wick),r=2.0)",45.0
5498,5738,2020-11-09 12:00:00+00:00,2020-11-19 12:00:00+00:00,1,15808.741199999999,17717.683100000002,14359.5,9.167340913898943,2104.052153785189,0.21816577116355806,222.84114703805614,time_cap,240.0
5956,6003,2020-11-28 14:00:00+00:00,2020-11-30 13:00:00+00:00,1,17362.2071,19176.86651361,16452.0,5.242461944829581,3764.3088106555206,0.3815001465051197,386.47245132320063,"target:target_fixed_r(stop=stop_structure(k=8,n_back=1,buffer_pct=0.0,use=wick),r=2.0)",47.0
