attack,asset,rsi_n,rsi_th,guard,half,date_range,n_total,before_exp,n_kept,after_exp,n_skipped,skipped_total_pnl,control_pctile,note
2_family_sweep,ETH,3.0,20.0,True,,,221,-12.337708125700678,73.0,-6.5586457465190895,148.0,-2247.8523562839564,75.5,
2_family_sweep,ETH,3.0,20.0,False,,,1321,-6.870547158710008,451.0,-13.970376833091677,870.0,-2775.352844931575,0.0,
2_family_sweep,ETH,5.0,5.0,True,,,0,,,,,,,no trades
2_family_sweep,ETH,5.0,5.0,False,,,12,-26.607062771274286,3.0,-24.494794823117143,9.0,-245.80036878594,49.5,
2_family_sweep,ETH,5.0,10.0,True,,,12,53.120778124463264,2.0,46.459225288528614,10.0,544.5308869165019,37.0,
2_family_sweep,ETH,5.0,10.0,False,,,125,-13.09991647923374,65.0,-7.122689588897488,60.0,-1174.5147366258807,79.5,
2_family_sweep,ETH,5.0,15.0,True,,,49,2.3707648439020494,15.0,26.946179812065385,34.0,-288.0252198297803,89.0,
2_family_sweep,ETH,5.0,15.0,False,,,318,-16.13282654536009,133.0,-24.47165314111744,185.0,-1875.5089736558884,5.5,
2_family_sweep,ETH,5.0,20.0,True,,,130,-2.7512225427660058,44.0,11.062925239751786,86.0,-844.4276411086594,84.5,
2_family_sweep,ETH,5.0,20.0,False,,,578,-11.65779291294826,236.0,-21.312855055718273,342.0,-1708.3705105345816,0.5,
2_family_sweep,SOL,2.0,5.0,True,,,11,-51.01060031514581,4.0,-109.83200534971184,7.0,-121.78858206775658,0.5,
2_family_sweep,SOL,2.0,5.0,False,,,605,-9.214357056294494,279.0,-20.92492873109425,326.0,263.3690969171266,0.0,
2_family_sweep,SOL,2.0,10.0,True,,,44,-22.054551133121798,15.0,-21.498523705550905,29.0,-647.9223942740955,54.50000000000001,
2_family_sweep,SOL,2.0,10.0,False,,,1161,-8.077764477085696,441.0,-23.129190679110966,720.0,821.6885315914442,0.0,
2_family_sweep,SOL,2.0,15.0,True,,,110,-19.367766808640145,30.0,24.77001511408574,80.0,-2873.554802372988,100.0,
2_family_sweep,SOL,2.0,15.0,False,,,1542,-6.873026645063121,555.0,-16.244252263004363,987.0,-1582.6470807199134,0.0,
2_family_sweep,SOL,2.0,20.0,True,,,195,-16.070302993234687,55.0,19.46995538116811,140.0,-4204.55662964501,100.0,
2_family_sweep,SOL,2.0,20.0,False,,,1890,-6.051321336746827,658.0,-15.90234612111886,1232.0,-973.2535787552929,0.0,
2_family_sweep,SOL,3.0,5.0,True,,,4,-79.57549083477898,1.0,-109.22365891962727,3.0,-209.07830441948863,24.5,thin sample (<8)
2_family_sweep,SOL,3.0,5.0,False,,,164,-16.91203827124863,93.0,-16.863440270948313,71.0,-1205.2743312865823,47.5,
2_family_sweep,SOL,3.0,10.0,True,,,27,-47.12699401826359,9.0,-35.34889040585444,18.0,-954.288824840427,65.5,
2_family_sweep,SOL,3.0,10.0,False,,,425,-10.253491476809028,206.0,-16.77013491177466,219.0,-903.0860858182568,6.5,
2_family_sweep,SOL,3.0,15.0,True,,,83,-13.769367536658587,28.0,19.023068461347812,55.0,-1675.5034224604015,96.0,
2_family_sweep,SOL,3.0,15.0,False,,,801,-8.026323265738746,324.0,-25.11953054690189,477.0,1709.6429613394762,0.0,
2_family_sweep,SOL,3.0,20.0,True,,,167,-18.86883926715582,56.0,16.712252177448672,111.0,-4086.9822795521477,99.5,
2_family_sweep,SOL,3.0,20.0,False,,,1157,-8.123763971165157,432.0,-21.917158393764357,725.0,69.01751146811421,0.0,
2_family_sweep,SOL,5.0,5.0,True,,,1,-110.32973058403513,1.0,-110.32973058403513,0.0,0.0,,thin sample (<8)
2_family_sweep,SOL,5.0,5.0,False,,,13,-49.19903365554665,9.0,-22.039019750160353,4.0,-441.2362597706633,96.0,
2_family_sweep,SOL,5.0,10.0,True,,,9,-23.997321926915497,4.0,18.99093592185818,5.0,-291.9396410296722,85.0,
