section,asset,tf,direction,age_cutoff,touch_cutoff,dist_bar_cutoff,dist_atr_cutoff,bucket,split,n_trades,expectancy,trades_per_year,win_rate_pct
level_sweep,BTC,1h,short,100.0,3.0,,,STRUCTURAL,train,123,-40.360150168791556,32.38,40.65040650406504
level_sweep,BTC,1h,short,100.0,3.0,,,LOCAL,train,701,-12.551555942563711,184.57,42.93865905848788
level_sweep,BTC,1h,short,200.0,1.0,,,STRUCTURAL,train,95,-57.70448234756281,25.01,43.15789473684211
level_sweep,BTC,1h,short,200.0,1.0,,,LOCAL,train,700,-12.410921330650655,184.3,42.714285714285715
level_sweep,BTC,1h,short,200.0,2.0,,,STRUCTURAL,train,91,-53.146415266861915,23.96,41.75824175824176
level_sweep,BTC,1h,short,200.0,2.0,,,LOCAL,train,700,-12.286147917240976,184.3,42.857142857142854
level_sweep,BTC,1h,short,200.0,3.0,,,STRUCTURAL,train,87,-63.49711565312559,22.91,41.37931034482759
level_sweep,BTC,1h,short,200.0,3.0,,,LOCAL,train,701,-12.479391913318802,184.57,42.93865905848788
level_sweep,BTC,1h,short,500.0,1.0,,,STRUCTURAL,train,47,-89.12134773557158,12.37,44.680851063829785
level_sweep,BTC,1h,short,500.0,1.0,,,LOCAL,train,702,-12.732261611102457,184.83,42.73504273504273
level_sweep,BTC,1h,short,500.0,2.0,,,STRUCTURAL,train,44,-71.59669259777525,11.58,45.45454545454545
level_sweep,BTC,1h,short,500.0,2.0,,,LOCAL,train,702,-12.631583128570346,184.83,42.87749287749288
level_sweep,BTC,1h,short,500.0,3.0,,,STRUCTURAL,train,42,-88.2484118699915,11.06,45.23809523809524
level_sweep,BTC,1h,short,500.0,3.0,,,LOCAL,train,702,-12.631583128570346,184.83,42.87749287749288
level_selected,BTC,1h,short,20.0,2.0,,,STRUCTURAL,train,340,-8.906558854372799,89.52,46.1764705882353
level_selected,BTC,1h,short,20.0,2.0,,,STRUCTURAL,val,124,-7.3188647065135815,97.94,46.774193548387096
level_selected,BTC,1h,short,20.0,2.0,,,LOCAL,train,686,-12.908694824903627,180.62,42.565597667638485
level_selected,BTC,1h,short,20.0,2.0,,,LOCAL,val,223,-23.055074848321528,176.14,48.87892376681614
level_sweep,BTC,4h,long,20.0,1.0,,,STRUCTURAL,train,108,199.04074534102676,28.46,52.77777777777778
level_sweep,BTC,4h,long,20.0,1.0,,,LOCAL,train,188,-4.605360952681786,49.54,43.08510638297872
level_sweep,BTC,4h,long,20.0,2.0,,,STRUCTURAL,train,93,172.0799504801598,24.51,52.68817204301075
level_sweep,BTC,4h,long,20.0,2.0,,,LOCAL,train,188,-2.0414594691367305,49.54,43.08510638297872
level_sweep,BTC,4h,long,20.0,3.0,,,STRUCTURAL,train,77,254.56755277650603,20.29,57.14285714285714
level_sweep,BTC,4h,long,20.0,3.0,,,LOCAL,train,190,-4.568491918659277,50.07,42.63157894736842
level_sweep,BTC,4h,long,50.0,1.0,,,STRUCTURAL,train,60,87.2619833582362,15.81,51.66666666666667
level_sweep,BTC,4h,long,50.0,1.0,,,LOCAL,train,190,-0.7187044371917038,50.07,43.684210526315795
level_sweep,BTC,4h,long,50.0,2.0,,,STRUCTURAL,train,54,17.155252929014143,14.23,48.148148148148145
level_sweep,BTC,4h,long,50.0,2.0,,,LOCAL,train,190,-0.7187044371917038,50.07,43.684210526315795
level_sweep,BTC,4h,long,50.0,3.0,,,STRUCTURAL,train,40,-0.9711912155329173,10.54,47.5
level_sweep,BTC,4h,long,50.0,3.0,,,LOCAL,train,192,-2.989603185801618,50.6,43.22916666666667
level_sweep,BTC,4h,long,100.0,1.0,,,STRUCTURAL,train,36,154.68080749963326,9.49,52.77777777777778
level_sweep,BTC,4h,long,100.0,1.0,,,LOCAL,train,193,-3.776334165045854,50.86,43.005181347150256
level_sweep,BTC,4h,long,100.0,2.0,,,STRUCTURAL,train,32,150.67495375548765,8.43,50.0
level_sweep,BTC,4h,long,100.0,2.0,,,LOCAL,train,193,-3.776334165045854,50.86,43.005181347150256
level_sweep,BTC,4h,long,100.0,3.0,,,STRUCTURAL,train,26,186.32752451518976,6.85,57.692307692307686
level_sweep,BTC,4h,long,100.0,3.0,,,LOCAL,train,193,-3.776334165045854,50.86,43.005181347150256
level_sweep,BTC,4h,long,200.0,1.0,,,STRUCTURAL,train,22,275.7569394282709,5.8,54.54545454545454
level_sweep,BTC,4h,long,200.0,1.0,,,LOCAL,train,193,-3.776334165045854,50.86,43.005181347150256
level_sweep,BTC,4h,long,200.0,2.0,,,STRUCTURAL,train,16,286.9570296783518,4.22,56.25
level_sweep,BTC,4h,long,200.0,2.0,,,LOCAL,train,193,-3.776334165045854,50.86,43.005181347150256
level_sweep,BTC,4h,long,200.0,3.0,,,STRUCTURAL,train,14,377.5456709499628,3.69,64.28571428571429
level_sweep,BTC,4h,long,200.0,3.0,,,LOCAL,train,193,-3.776334165045854,50.86,43.005181347150256
level_sweep,BTC,4h,long,500.0,1.0,,,STRUCTURAL,train,13,20.92720967130369,3.43,38.46153846153847
level_sweep,BTC,4h,long,500.0,1.0,,,LOCAL,train,193,-0.5939850932071292,50.86,43.523316062176164
level_sweep,BTC,4h,long,500.0,2.0,,,STRUCTURAL,train,10,125.46248520401586,2.64,40.0
level_sweep,BTC,4h,long,500.0,2.0,,,LOCAL,train,193,-0.5939850932071292,50.86,43.523316062176164
level_sweep,BTC,4h,long,500.0,3.0,,,STRUCTURAL,train,9,158.05011055589623,2.37,44.44444444444444
level_sweep,BTC,4h,long,500.0,3.0,,,LOCAL,train,193,-0.5939850932071292,50.86,43.523316062176164
level_selected,BTC,4h,long,20.0,3.0,,,STRUCTURAL,train,77,254.56755277650603,20.29,57.14285714285714
level_selected,BTC,4h,long,20.0,3.0,,,STRUCTURAL,val,29,126.09680843801765,22.93,55.172413793103445
level_selected,BTC,4h,long,20.0,3.0,,,LOCAL,train,190,-4.568491918659277,50.07,42.63157894736842
level_selected,BTC,4h,long,20.0,3.0,,,LOCAL,val,62,109.72241387681179,49.02,54.83870967741935
level_eth_transfer,ETH,4h,long,20.0,3.0,,,STRUCTURAL,train,63,417.8858548080548,19.61,60.317460317460316
level_eth_transfer,ETH,4h,long,20.0,3.0,,,STRUCTURAL,val,23,-85.77047249470631,21.49,34.78260869565217
level_eth_transfer,ETH,4h,long,20.0,3.0,,,LOCAL,train,151,93.95004236969775,47.01,54.966887417218544
level_eth_transfer,ETH,4h,long,20.0,3.0,,,LOCAL,val,51,-54.53292922704885,47.64,37.254901960784316
level_sweep,BTC,4h,short,20.0,1.0,,,STRUCTURAL,train,95,-73.85657373253326,25.04,41.05263157894737
level_sweep,BTC,4h,short,20.0,1.0,,,LOCAL,train,164,-41.003321495583585,43.22,43.292682926829265
level_sweep,BTC,4h,short,20.0,2.0,,,STRUCTURAL,train,86,-76.16024465282459,22.66,39.53488372093023
level_sweep,BTC,4h,short,20.0,2.0,,,LOCAL,train,166,-37.88789180416574,43.75,43.373493975903614
level_sweep,BTC,4h,short,20.0,3.0,,,STRUCTURAL,train,78,-90.62593049047902,20.56,38.46153846153847
level_sweep,BTC,4h,short,20.0,3.0,,,LOCAL,train,167,-38.923681546043504,44.01,43.11377245508982
level_sweep,BTC,4h,short,50.0,1.0,,,STRUCTURAL,train,59,-106.17884698993204,15.55,40.67796610169492
level_sweep,BTC,4h,short,50.0,1.0,,,LOCAL,train,170,-44.768101833620186,44.8,41.76470588235294
level_sweep,BTC,4h,short,50.0,2.0,,,STRUCTURAL,train,55,-114.64304207690498,14.49,38.18181818181819
level_sweep,BTC,4h,short,50.0,2.0,,,LOCAL,train,170,-41.98084170350285,44.8,42.35294117647059
level_sweep,BTC,4h,short,50.0,3.0,,,STRUCTURAL,train,49,-113.12671776174403,12.91,40.816326530612244
level_sweep,BTC,4h,short,50.0,3.0,,,LOCAL,train,171,-42.90052528834912,45.06,42.10526315789473
